"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e938d721-d7be-41ae-a58c-9a5adf22074f","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P50"
"259a690c-631d-458c-87f9-8875a9bf79d3","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P53"
"1828df4f-bf73-48e8-ab6a-95799778a632","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P54"
"f3bedf07-b92d-4324-b679-ed59ca51dbfa","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P55"
"66eb0a78-962e-4d2b-9c29-f6aea8fa6901","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P56"
"5153dba5-fe88-4c56-91de-7d52d2562769","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P57"
"ab1e2b75-afb5-4bdf-bd91-198d15bf25a4","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P58"
"8be5e34d-7deb-4b43-a33a-5418d4115eea","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P59"
"fed9d951-bd80-44c8-be14-f89b10143109","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P60"
"bb12ea57-3ae6-456b-a5a5-ad0063652606","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P61"
"4d8962da-42c6-40da-b674-223b04b4403e","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P62"
"e433d333-5857-422c-a985-2676a9653f91","","folder-normal","not-started","","step","TRUE","FALSE","Building Y","Installation QA","Level BY","Landing"
"5dc14374-924a-435e-a39d-54a667ca8a14","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Landing","BY-LD15"
