Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Aspire Tower (Hickory) - Floor/Wall Penetrations,,,,,,
,Scope,,,,,
,Rows,,,,,
,,pour 1,,pour 1,floor/wall penetrations,level 46
,,pour 2,,floor/wall penetrations,level 46,pour 2
,,lobby,,lobby,floor/wall penetrations,level 46
,,Level 47,grouping,level 47,floor/wall penetrations,
,,zone 1,,level 47,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 47,floor/wall penetrations
,,pour 2,,level 47,floor/wall penetrations,pour 2
,,lobby,,level 47,lobby,floor/wall penetrations
,,Level 48,grouping,level 48,floor/wall penetrations,
,,zone 1,,level 48,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 48,floor/wall penetrations
,,pour 2,,level 48,floor/wall penetrations,pour 2
,,lobby,,level 48,lobby,floor/wall penetrations
,,Level 49,grouping,level 49,floor/wall penetrations,
,,zone 1,,level 49,zone 1,floor/wall penetrations
,,pour 1,,level 49,pour 1,floor/wall penetrations
,,pour 2,,level 49,floor/wall penetrations,pour 2
,,lobby,,level 49,lobby,floor/wall penetrations
,,Level 50,grouping,level 50,floor/wall penetrations,
,,zone 1,,level 50,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 50,floor/wall penetrations
,,pour 2,,level 50,floor/wall penetrations,pour 2
,,lobby,,level 50,lobby,floor/wall penetrations
,,Level 51,grouping,level 51,floor/wall penetrations,
,,zone 1,,level 51,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 51,floor/wall penetrations
,,pour 2,,level 51,floor/wall penetrations,pour 2
,,lobby,,level 51,lobby,floor/wall penetrations
,,Level 52,grouping,level 52,floor/wall penetrations,
,,zone 1,,level 52,zone 1,floor/wall penetrations
,,pour 1,,level 52,pour 1,floor/wall penetrations
,,pour 2,,level 52,floor/wall penetrations,pour 2
,,lobby,,level 52,lobby,floor/wall penetrations
,,Level 53,grouping,floor/wall penetrations,level 53,
,,zone 1,,zone 1,floor/wall penetrations,level 53
,,pour 1,,pour 1,floor/wall penetrations,level 53
,,pour 2,,floor/wall penetrations,level 53,pour 2
,,lobby,,lobby,floor/wall penetrations,level 53
,,Level 54,grouping,level 54,floor/wall penetrations,
,,zone 1,,level 54,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 54,floor/wall penetrations
,,pour 2,,level 54,floor/wall penetrations,pour 2
,,lobby,,level 54,lobby,floor/wall penetrations
,,Level 55,grouping,level 55,floor/wall penetrations,
,,zone 1,,level 55,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 55,floor/wall penetrations
,,pour 2,,level 55,floor/wall penetrations,pour 2
