"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bbea557d-b9c6-42d7-b4c2-8c7134cc5d04","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","69 - Gridline G-I – Low Voltage 2 x 80."
"659a95d3-6780-44a2-9df1-31f2a0d95bb9","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","70 - Gridline H-I – Low Voltage 2 x 100."
"aa194f06-eab0-4ae5-a10e-474871da1252","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","71 - Gridline G-H – Low Voltage 1 x 80."
"bc329003-68b2-4ddc-be4c-3b8878c88524","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","72 - Gridline G-J – Low Voltage 1 x 150."
"dd279d7e-e630-47e8-9526-db98b5e10164","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","73 - Gridline H-I – Low Voltage 1 x 80."
"af56785a-cde7-45ff-8918-429f66d88ce6","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","74 - Gridline H-I – Low Voltage 1 x 80."
"41acc43a-1ac5-4176-8e8a-d06dd8e70359","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","75 - Gridline H-J – Low Voltage 1 x 80."
"082786e2-8648-40ff-9f6a-bca9f4d4c0e9","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","76 - Gridline I-J – Comms 1 x 100."
"fe1e783f-a147-44cc-83b4-3a54948209ec","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","77 - Gridline J-K – Low Voltage 1 x 80."
"df88d2b0-a3e8-40b6-9425-1c9215a45791","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","78 - Gridline J-K – Low Voltage 2 x 100."
"71325472-0e8b-4171-835a-4af7f9a3b2e4","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","79 - Gridline J – Low Voltage 1 x 80."
"e25a9fe7-e172-45a6-b5c6-c3f49d6389f6","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","80 - Gridline J – Low Voltage 1 x 80."
"1075b34d-4542-4a38-9eff-10f668eef4fd","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","81 - Gridline J – Low Voltage 1 x 80."
"55f541d5-3696-4063-9b06-5af905d891f7","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","82 - Gridline J-L – Low Voltage 1 x 80."
"e876cbc3-7bf6-44d6-8dac-fffe8e3c5333","","not-started","","folder","TRUE","FALSE","Cable Containment","DUCTING - UNDERSLAB"
"29b1e25e-2ea4-451a-b30c-d9da64d6bc76","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","1 - Gridline A – Comms 4 x 150."
"018420a6-1275-4b55-92e7-9e0fc48a4b9f","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","2 - Gridline A – Lightning Protection 2 x 50."
"3403f80a-7ed2-453a-bcb8-c2f307bff856","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","3 - Gridline A-B – Low Voltage 3 x 50."
"8ae74c0c-c9fe-41e4-8c68-d83a8292e158","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","4 - Gridline A-B – High Voltage 6 x 150."
"69192354-7620-4c41-ab03-42acfe93a154","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","5 - Gridline A-B – High Voltage 2 x 50 + 2 x 150."
"4a0c2fb3-ffeb-4dfd-a15f-0f4d298aa606","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - UNDERSLAB","6 - Gridline A-B – High Voltage 4 x 150 + 2 x 50."
