type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,STANDARD EQUIPMENT Commissioning Checklist,,,,,,STANDARD EQUIPMENT Commissioning Checklist
checkpoint,Check all terminations,,,,,,
checkpoint,Power supply Tested Voltage,,,,,,
checkpoint,Correct operation tested,,,,,,
checkpoint,AMP Draw Tested,,,,,,
checkpoint,Labels installed on all equipment,,,,,,
,,,,,,,
checklist-flat,VRF Condensing unit Commissioning Checklist,,,,,,VRF Condensing unit Commissioning Checklist
checkpoint,Check all terminations,,,,,,
checkpoint,Power supply Tested Voltage,,,,,,
checkpoint,AMP Draw Tested,,,,,,
checkpoint,Labels installed on all equipment,,,,,,
,,,,,,,
checklist-flat,VRF FCU Commissioning Checklist,,,,,,VRF FCU Commissioning Checklist
checkpoint,Check all terminations,,,,,,
checkpoint,Power supply Tested Voltage,,,,,,
checkpoint,AMP Draw Tested,,,,,,
checkpoint,Controller Online,,,,,,
checkpoint,Heat tested,,,,,,
checkpoint,Cool Tested,,,,,,
checkpoint,Labels installed on all equipment,,,,,,
,,,,,,,
checklist-flat,DOL FAN/PUMP Commissioning Checklist,,,,,,DOL FAN/PUMP Commissioning Checklist
checkpoint,Check all terminations,,,,,,
checkpoint,Power supply tested Voltage,,,,,,
checkpoint,Enable tested,,,,,,
checkpoint,Run light tested,,,,,,
checkpoint,Fault light tested,,,,,,
checkpoint,Rotation tested,,,,,,
checkpoint,AMP Draw tested,,,,,,
checkpoint,Labels installed on all equipment,,,,,,
,,,,,,,
checklist-flat,EC FAN Commissioning Checklist,,,,,,EC FAN Commissioning Checklist
checkpoint,Power supply tested Voltage,,,,,,
checkpoint,"AOM, local switch tested",,,,,,
checkpoint,Run light tested,,,,,,
checkpoint,Fault light tested,,,,,,
checkpoint,Speed tested,,,,,,
checkpoint,Fan rotation tested,,,,,,
checkpoint,AMP Draw tested,,,,,,
checkpoint,Labels installed on all equipment,,,,,,
,,,,,,,
checklist-flat,WC FCU Commissioning Checklist,,,,,,WC FCU Commissioning Checklist
checkpoint,Check all terminations,,,,,,
checkpoint,Power supply Tested,,,,,,
checkpoint,Space temp Tested,,,,,,
checkpoint,Supply air temp Tested,,,,,,
checkpoint,Cooling Valve Tested,,,,,,
checkpoint,Heating Valve Tested,,,,,,
checkpoint,Air DP Tested,,,,,,
checkpoint,SAF Enable Tested,,,,,,
checkpoint,AMP Draw tested,,,,,,
checkpoint,Labels installed on all equipment,,,,,,
,,,,,,,
checklist-flat,AHU Commissioning Checklist,,,,,,AHU Commissioning Checklist
checkpoint,Check all terminations,,,,,,
checkpoint,Power supply Tested,,,,,,
checkpoint,All control points tested,,,,,,
checkpoint,"Valves, actuators stroked and tested",,,,,,
checkpoint,AMP Draw tested,,,,,,
checkpoint,Labels installed on all equipment,,,,,,
,,,,,,,
checklist-flat,AHPB Commissioning,,,,,,AHPB Commissioning
checkpoint,AHPB operating,,,,,,
checkpoint,Neon working,,,,,,
checkpoint,Label installed,,,,,,
,,,,,,,
checklist-flat,SPLIT AC Commissioning Checklist,,,,,,SPLIT AC Commissioning Checklist
checkpoint,Check all terminations,,,,,,
checkpoint,Power supply to condensing unit Voltage,,,,,,
checkpoint,Power on indoor unit,,,,,,
checkpoint,Local controller operational,,,,,,
checkpoint,Cool Tested,,,,,,
checkpoint,Heat Tested,,,,,,
