"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Regent Street Progress"
,"Scope",,
,"Rows"
,,"Basement 02 -Fire Pump Room",,"basement","fire pump room","basement 02","regent street"
,,"706 -Ensuite",,"706","ensuite","level 7","regent street"
,,"706 -Bathroom",,"706","level 7","regent street","bathroom"
,,"706 -Balcony",,"706","level 7","balcony","regent street"
,,"707 -Laundry",,"707","level 7","regent street","laundry"
,,"707 -Ensuite",,"707","ensuite","level 7","regent street"
,,"707 -Bathroom",,"707","level 7","regent street","bathroom"
,,"707 -Balcony",,"707","level 7","balcony","regent street"
,,"708 -Laundry",,"708","level 7","regent street","laundry"
,,"708 -Bathroom",,"708","level 7","regent street","bathroom"
,,"708 -Balcony",,"708","level 7","balcony","regent street"
,,"801 -Laundry",,"801","level 8","regent street","laundry"
,,"801 -Ensuite",,"801","ensuite","level 8","regent street"
,,"801 -Bathroom",,"801","level 8","regent street","bathroom"
,,"801 -Balcony",,"801","level 8","balcony","regent street"
,,"802 -Laundry",,"802","level 8","regent street","laundry"
,,"802 -Bathroom",,"802","level 8","regent street","bathroom"
,,"802 -Balcony",,"802","level 8","balcony","regent street"
,,"803 -Laundry",,"803","level 8","regent street","laundry"
,,"803 -Bathroom",,"803","level 8","regent street","bathroom"
,,"803 -Balcony",,"803","level 8","balcony","regent street"
,,"804 -Laundry",,"804","level 8","regent street","laundry"
,,"804 -Bathroom",,"804","level 8","regent street","bathroom"
,,"804 -Balcony",,"804","level 8","balcony","regent street"
,,"805 -Laundry",,"805","level 8","regent street","laundry"
,,"805 -Bathroom",,"805","level 8","regent street","bathroom"
,,"805 -Balcony",,"805","level 8","balcony","regent street"
,,"806 -Laundry",,"806","level 8","regent street","laundry"
,,"806 -Ensuite",,"806","ensuite","level 8","regent street"
,,"806 -Bathroom",,"806","level 8","regent street","bathroom"
,,"806 -Balcony",,"806","level 8","balcony","regent street"
,,"807 -Laundry",,"807","level 8","regent street","laundry"
,,"807 -Ensuite",,"807","ensuite","level 8","regent street"
,,"807 -Bathroom",,"807","level 8","regent street","bathroom"
,,"807 -Balcony",,"807","level 8","balcony","regent street"
,,"808 -Laundry",,"808","level 8","regent street","laundry"
,,"808 -Bathroom",,"808","level 8","regent street","bathroom"
,,"808 -Balcony",,"808","level 8","balcony","regent street"
,,"901 -Laundry",,"901","level 9","regent street","laundry"
,,"901 -Ensuite",,"901","ensuite","level 9","regent street"
,,"901 -Bathroom",,"901","level 9","regent street","bathroom"
,,"901 -Balcony",,"901","level 9","balcony","regent street"
,,"902 -Laundry",,"902","level 9","regent street","laundry"
,,"902 -Bathroom",,"902","level 9","regent street","bathroom"
,,"902 -Balcony",,"902","level 9","balcony","regent street"
,,"903 -Laundry",,"903","level 9","regent street","laundry"
,,"903 -Bathroom",,"903","level 9","regent street","bathroom"
,,"903 -Balcony",,"903","level 9","balcony","regent street"
,,"904 -Laundry",,"904","level 9","regent street","laundry"
,,"904 -Bathroom",,"904","level 9","regent street","bathroom"
,,"904 -Balcony",,"904","level 9","balcony","regent street"
,,"905 -Laundry",,"905","level 9","regent street","laundry"
,,"905 -Bathroom",,"905","level 9","regent street","bathroom"
,,"905 -Balcony",,"905","level 9","balcony","regent street"
,,"906 -Laundry",,"906","level 9","regent street","laundry"
,,"906 -Ensuite",,"906","ensuite","level 9","regent street"
,,"906 -Bathroom",,"906","level 9","regent street","bathroom"
,,"906 -Balcony",,"906","level 9","balcony","regent street"
,,"907 -Laundry",,"907","level 9","regent street","laundry"
,,"907 -Ensuite",,"907","ensuite","level 9","regent street"
,,"907 -Bathroom",,"907","level 9","regent street","bathroom"
,,"907 -Balcony",,"907","level 9","balcony","regent street"
,,"908 -Laundry",,"908","level 9","regent street","laundry"
,,"908 -Bathroom",,"908","level 9","regent street","bathroom"
,,"908 -Balcony",,"908","level 9","balcony","regent street"
,,"1001 -Laundry",,"1001","level 10","regent street","laundry"
,,"1001 -Ensuite",,"1001","level 10","ensuite","regent street"
,,"1001 -Bathroom",,"1001","level 10","regent street","bathroom"
,,"1001 -Balcony",,"1001","level 10","balcony","regent street"
,,"1002 -Laundry",,"1002","level 10","regent street","laundry"
,,"1002 -Bathroom",,"1002","level 10","regent street","bathroom"
,,"1002 -Balcony",,"1002","level 10","balcony","regent street"
,,"1003 -Laundry",,"1003","level 10","regent street","laundry"
,,"1003 -Bathroom",,"1003","level 10","regent street","bathroom"
,,"1003 -Balcony",,"1003","level 10","balcony","regent street"
,,"1004 -Laundry",,"1004","level 10","regent street","laundry"
,,"1004 -Bathroom",,"1004","level 10","regent street","bathroom"
,,"1004 -Balcony",,"1004","level 10","balcony","regent street"
,,"1005 -Laundry",,"1005","level 10","regent street","laundry"
,,"1005 -Bathroom",,"1005","level 10","regent street","bathroom"
,,"1005 -Balcony",,"1005","level 10","balcony","regent street"
,,"1006 -Laundry",,"1006","level 10","regent street","laundry"
,,"1006 -Ensuite",,"1006","level 10","ensuite","regent street"
,,"1006 -Bathroom",,"1006","level 10","regent street","bathroom"
,,"1006 -Balcony",,"1006","level 10","balcony","regent street"
,,"1007 -Laundry",,"1007","level 10","regent street","laundry"
,,"1007 -Ensuite",,"1007","level 10","ensuite","regent street"
,,"1007 -Bathroom",,"1007","level 10","regent street","bathroom"
,,"1007 -Balcony",,"1007","level 10","balcony","regent street"
,,"1008 -Laundry",,"1008","level 10","regent street","laundry"
,,"1008 -Bathroom",,"1008","level 10","regent street","bathroom"
,,"1008 -Balcony",,"1008","level 10","balcony","regent street"
,,"Balcony -Balcony 1",,"balcony 1","level 11","balcony","regent street"
,,"Balcony -Balcony 2",,"balcony 2","level 11","balcony","regent street"
,,"Balcony -Balcony 3",,"balcony 3","level 11","balcony","regent street"
,,"Balcony -Balcony 4",,"level 11","balcony","balcony 4","regent street"
,,"Plant room -Plant room 1",,"plant room","level 11","regent street","plant room 1"
,,"Plant room -Plant room 2",,"plant room","level 11","plant room 2","regent street"
,,"Plant room -Plant room 3",,"plant room","plant room 3","level 11","regent street"
,,"Plant room -Hot water plant",,"plant room","hot water plant","level 11","regent street"
,,"Planter Box -Planter Box 1",,"planter box 1","level 11","regent street","planter box"
,,"Planter Box -Planter Box 2",,"planter box 2","level 11","regent street","planter box"
,,"Planter Box -Planter Box 3",,"planter box 3","level 11","regent street","planter box"
,,"Planter Box -Planter Box 4",,"planter box 4","level 11","regent street","planter box"
,,"Planter Box -Planter Box 5",,"level 11","regent street","planter box 5","planter box"
,,"Planter Box -Planter Box 6",,"level 11","regent street","planter box","planter box 6"
,,"Planter Box -Planter Box 7",,"planter box 7","level 11","regent street","planter box"
,,"Planter Box -Planter Box 8",,"level 11","planter box 8","regent street","planter box"
,,"Planter Box -Planter Box 9",,"planter box 9","level 11","regent street","planter box"
,,"Planter Box -Planter Box 10",,"planter box 10","level 11","regent street","planter box"
,,"Planter Box -Planter Box 11",,"planter box 11","level 11","regent street","planter box"
,,"Planter Box -Planter Box 12",,"planter box 12","level 11","regent street","planter box"
,,"Planter Box -Planter Box 13",,"planter box 13","level 11","regent street","planter box"
,,"Planter Box -Planter Box 14",,"level 11","regent street","planter box 14","planter box"
,,"Roof -Roof area",,"roof","regent street","roof area"
,,"Roof -Lift overun",,"roof","lift overun","regent street"
,"Columns"
