"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2dba1e85-7dca-453c-92b8-a45bf5328af2","","folder-normal","","","step","TRUE","FALSE","Basement 1"
"09490238-0503-4731-bbad-66a004cc7147","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-40"
"aec39421-3ff0-4832-b059-9ae5f13a8fe5","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-40(2)"
"14c1107f-a41f-4f7e-b5b9-53da56415379","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-42"
"0bcc19db-5d90-4367-9416-10d6eef8aee4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-43"
"99866161-a19f-45a1-9cff-7153f7e7eba5","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-44"
"a5421ad5-158d-4aae-9b4f-de0be47cbb9c","","folder-normal","","","step","TRUE","FALSE","Level 2"
"62b70c08-7900-4f61-a48d-a2c48897f82e","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C01"
"9dfd54a8-0b36-4bb0-9f1a-19621659770b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C02"
"cfcc40fc-c2fa-43ee-8547-678a5f432667","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C03"
"c6eaca92-027e-41ed-9fcf-5393c95b22c3","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C04"
"cc43e139-732f-4d15-ae95-b8f690f8f43d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C05"
"c3685814-6f12-4fcd-9a54-845e4d4ea561","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C06"
"43d75bd1-12da-448e-9d70-a51a9bd3a28f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C07"
"14cfba00-afbf-470f-8dfc-82074a7c3c56","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C08"
"77859f97-7ab7-4800-ab05-71c1119afa30","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C09"
"a2b0f330-b4bd-4f92-ba44-ceca5accd015","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C10"
"182816ae-2a1d-4b7b-a72c-b0a9e5fc70e1","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C11"
"22bcddc9-7257-4bb3-843f-f5a0cc567d9e","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C12"
"a828d3c5-8741-4b51-bdde-49d8a1816226","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C13"
"6bf6214c-339a-468f-a8c4-8d344599db7b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P01"
"a31169ae-61ec-4e85-917f-f5c438fcd696","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P02"
"696f3a93-bee3-421c-baf2-ba08c6cc3193","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P03"
"d8f03da9-44bc-4100-998b-4300f9b551e0","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P04"
"f7d7331c-4acf-45b8-bca6-e1e2cb00e681","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P11"
"26f1a6f4-6c9c-402a-9e8a-fef33200efd7","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P12"
"9e9a1d7b-a10c-4d81-b695-e4e09ae33aff","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P13"
"8387519c-a755-4779-b516-6ba0e0e1f206","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P14"
"20be5fe5-b63e-4674-bed5-d9f173d52f42","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P15"
"d4921344-ccd4-4ea0-9ac9-a8041e560e11","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P16"
"af3fc6b7-e153-49a5-aff1-c19dea80b5a5","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P17"
"c5616892-b798-4538-a114-3d3a73ab65fa","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P18"
"92a3106e-70c1-451a-a894-3a5952e43bd9","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P19"
"007b66ca-a214-421a-8c48-cc8ba8120a07","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P20"
"4572eb90-92cf-42e3-959c-c314e05a7847","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P21"
"e8b30cc1-cbbf-4ac5-8006-766d02a9eb36","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P22"
"7d4d5630-5e00-47f2-a6cf-731ac42fa756","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P23"
"fdfaf803-46a2-49c4-8623-f88b88ef1abf","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P26"
"185da8c7-f66d-4610-b97e-d1078e930580","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P27"
"c8e9df1d-b9b6-4341-8462-ea5048347426","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P29"
"9b483021-f23a-47ce-96be-781b3b540ec1","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P30"
"13f56fcc-6614-4af4-a4f7-149b9161f6cc","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P33"
"d32f3c3f-70d8-4b98-99ba-f08d843cdcf4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P34"
"de5038cf-e138-40fe-879a-09a80be1ee51","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P39"
"cc28c014-69d3-43ee-9284-4a17bd157418","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P40"
"98216fdd-a613-4daf-88c2-492d0d8ce548","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P41"
"1a1eb108-cb5a-4900-beff-568ace5f29b7","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P43"
"484d152f-748c-45da-9cc2-8c346a0ac7e7","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P44"
"f9b73e3a-ed51-450a-9ea8-592386973ad0","","folder-normal","","","step","TRUE","FALSE","Level 3"
"e850160f-a3fe-433b-9639-7fb1dcf44357","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C01"
"ac215742-ddae-463e-9811-6a207e75c946","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C02"
