"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8087e01d-514b-47c1-badf-f5eb7fb8b695","","folder-normal","","","step","TRUE","FALSE","Footings Ground"
"3710f621-f3f5-42e7-ade2-3f1a1a0fa91d","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 1"
"4ddd3f7b-b0c5-4596-999b-e2c0117b1bad","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid A","Precast Install"
"9626b4a4-0ba9-47f9-9c75-00c356c9148d","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid b"
"76b20116-573a-49d1-a950-c70251f16a3a","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid b","Upper Floor Slab"
"478c348e-a600-4221-ab48-77e94260cfb2","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid b","Precast Install"
"df179458-253c-47bd-b94a-ae7229372524","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid c"
"41789f2b-66ff-4e24-995a-75df4b857b64","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid c","Upper Floor Slab"
"d6d3baaf-56fe-4dc0-be3c-5c7fcae045b8","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid c","Precast Install"
"d8e13222-0f8f-4e67-b2c5-6f411af158d9","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid d"
"1b473f93-490d-4ed7-9939-e2bcbc74382e","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid d","Upper Floor Slab"
"68ed7a56-892d-4234-b21c-00788b364383","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid d","Precast Install"
"35adba06-4c52-42cd-90bf-34630357c15c","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid e"
"0ccac110-15cb-4f49-8ca0-8d4aa48f88f5","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid e","Upper Floor Slab"
"d3453dad-0261-4d2c-a62b-3aafa3f2edd7","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid e","Precast Install"
"d0db4a46-5ad0-4f1c-ba1e-a14359ca47fa","","folder-normal","","","step","TRUE","FALSE","Level 1 Slab","Grid f"
"35cb4dd4-2c36-4ee0-9498-347f8dcb48f7","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid f","Upper Floor Slab"
"55d9e2b1-e5d8-40b5-be85-73eb6748b026","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid f","Precast Install"
"e8da5a7d-ee25-47be-9a2c-5f7d7343cb3c","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab"
"0b37196a-e740-473d-a104-19b0de4a4dbb","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 1"
"8b08aade-adbe-4caf-a345-f2413173a527","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 1","Upper Floor Slab"
"d9cd3782-3932-45c2-9d6a-461996244bfc","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 1","Precast Install"
"6933a061-f2b9-433f-95b1-429569f1533b","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 2"
"d1ad84aa-4fbd-4c8c-abd9-13af5aaf8374","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 2","Upper Floor Slab"
"10aa44ec-ea09-41a7-a27f-6200ae5db13c","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 2","Precast Install"
"7fe58db1-527c-4c0a-8168-7e46d8511616","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 3"
"9727c771-bd9a-4b7b-8cf3-a727c252b072","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 3","Upper Floor Slab"
"5bc47fb8-4d1c-4b29-a111-ff0eaf487f19","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 3","Precast Install"
"3dc50931-1ba8-4f02-879f-4311d67ecf08","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 4"
"3df93a66-6dc3-4686-8af0-25efc69ca9e7","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 4","Upper Floor Slab"
"130e326d-e634-4803-a06a-680e0cca3701","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 4","Precast Install"
"13468439-8ec0-4b47-8cb4-d166a8754947","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 5"
"06f4ca54-706c-4461-a3d6-e8308bc9aefb","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 5","Upper Floor Slab"
"d051eca7-02cf-46fa-8527-c37a845b4df8","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 5","Precast Install"
"3fcb326c-263f-4422-81d7-3cda31f1cbca","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 6"
"3663a072-da9e-42c3-98ee-5732ae9dbdbb","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 6","Upper Floor Slab"
"f979b0a6-2b0b-48dd-b18a-b95840862645","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 6","Precast Install"
"8d88babe-856c-440d-bbac-2d2cc953eb89","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 7"
"01907144-bac6-414d-9d62-fc1a1ba56a1e","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 7","Upper Floor Slab"
"a9721cb8-61ea-495a-9d15-707bdee6a7ef","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 7","Precast Install"
"24cd1cf7-e280-46ac-a3cb-c0f1dd4c194d","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 8"
"79aef82e-19b8-4a42-be72-8d75aded231b","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 8","Upper Floor Slab"
"b3974a2a-3905-4d13-be30-a0f4138a4c1d","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 8","Precast Install"
"5d381b2f-eb2a-42f3-97d4-d11cf329f642","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 9"
"1ea5e242-96f1-462f-aaf3-724403ed8b53","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 9","Upper Floor Slab"
"7e247df9-1f08-416e-bdd0-285ccfef1267","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 9","Precast Install"
"3648c450-5d43-4eb0-8d69-61d8dead13ad","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 10"
"ba5d0b8b-7153-434c-a470-331f60bdc80a","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 10","Upper Floor Slab"
"226322f5-4b2c-4cf8-b2a6-1adb77ba369a","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 10","Precast Install"
"787282ff-9265-42f9-ba91-3a9f50aa554e","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 11"
"2444d43d-e922-4caa-a725-89d35dc68e6b","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 11","Upper Floor Slab"
"663b24b1-26dc-47fe-8853-535272af6eb6","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 11","Precast Install"
"f40af227-3de5-459b-82dc-f6c6de6807f8","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 12"
"d732d6da-fe14-4c4d-af0d-43eb02c3bab1","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 12","Upper Floor Slab"
"dbb0e1d1-5f53-4d86-8b29-528c29374a24","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 12","footing"
"e8ae2279-fbbf-4974-b58d-e03b1a941618","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 12","Precast Install"
"219d29ef-3dd8-40f5-a81d-a0b3bdd0e09a","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 13"
"eb0a7898-5f9e-4e73-a54f-25b568965e81","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 13","Upper Floor Slab"
"1ea4d27d-7778-4744-916c-48e3cebc93df","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 13","Precast Install"
"b3180d88-3238-4834-b188-e9baeaaf505a","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 14"
"b9affe39-ccaa-4c74-b12d-d524d7f4c86c","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 14","Upper Floor Slab"
"8b1952f8-c1e8-4a33-af6a-58052695544b","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 14","Precast Install"
"fa3098c8-b775-498a-86a8-0ea33f3bace3","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 15"
"2a836ce7-eb60-447d-90ab-61ebd0aa845a","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 15","Upper Floor Slab"
"18d265d8-9bac-4648-96f2-044a6c73fbe7","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 15","Precast Install"
"3b38ad39-9e89-4e8c-93b1-df328f288931","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 16"
"03524cf4-3412-4093-8593-de4030cd7cf7","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 16","Upper Floor Slab"
"17ce5d1b-518c-48f9-8cac-e93278bb4b17","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 16","Precast Install"
"76b80409-86c5-494c-bd6a-e02f58a221f4","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 17"
"ccdba766-ac2c-4746-adc8-8841caa3b864","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 17","Upper Floor Slab"
"90b3bb49-a74d-4806-9e8c-0f94141ae226","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 17","Precast Install"
"90b58049-a1fa-439e-8958-0b7e8ec62c0e","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 18"
"060ff656-9bce-49a9-afe2-0712595ddae3","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 18","Upper Floor Slab"
"b9268826-8f03-44e5-88e6-dc0ae39c4adb","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 18","Precast Install"
"a0a8b74d-dbab-4537-a8fa-32fb1693cf72","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 19"
"b09b074e-fa83-4a91-9218-26d3e918c189","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 19","Upper Floor Slab"
"72bde393-9af9-4df2-8345-50bc1f91863a","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 19","Precast Install"
"694e6225-9b96-4e4d-a127-cf2a674db791","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 20"
"81e22114-5d6c-45d4-bdf1-3f81c71464f1","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 20","Upper Floor Slab"
"13d6fe80-082d-4c15-b024-4c05b295e7fd","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 20","Precast Install"
"464e9b70-3c17-44c9-ba4c-665762434442","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid 21"
"16c569fc-a93e-48d9-b350-c601844494ee","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 21","Upper Floor Slab"
"7dd89bc6-82c6-44b2-98c4-64b1835adcdf","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 21","Precast Install"
"f1554a14-28e4-4a85-a897-06d2c97c1225","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid A"
"be7528e0-e3b4-49cf-ba92-994f1dc7961a","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid A","Upper Floor Slab"
"fc0105ce-3173-464c-8d5c-a7d1fa30e20a","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid A","Precast Install"
"3e901adf-2a64-45e4-b2e1-764b385b39ab","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid b"
"e5436896-4fd7-45ae-9e17-a48c47b23356","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid b","Upper Floor Slab"
"ac11432e-7ed3-41e5-a8b1-69543156ec96","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid b","Precast Install"
"09c15b74-3e4d-46bf-9114-8cdc4c878dad","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid c"
"23a4197a-66bc-448f-8ca2-82656c85d1af","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid c","Upper Floor Slab"
"89c9c18e-f405-4b90-9b5e-ad1439d16432","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid c","Precast Install"
"eb843890-22eb-4439-b678-db11a1d1ffac","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid d"
"9a37d025-26b5-4de1-b1fe-84664300d22e","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid d","Upper Floor Slab"
"2191e49b-e488-421a-bad0-5efcd0caed01","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid d","Precast Install"
"4989d0bf-e780-44f9-a76e-fce7d1cd239f","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid e"
"2994dbee-e574-4d9f-a12f-b7e829e38738","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid e","Upper Floor Slab"
"ae3bc6ab-6a97-458c-9720-8dae2491dfaf","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid e","Precast Install"
"0665efcf-0b7e-40e8-bb60-81dc5894a33e","","folder-normal","","","step","TRUE","FALSE","Level 2 Slab","Grid f"
"69f2bf1b-c29f-4009-9ea4-a0ed4d32a652","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid f","Upper Floor Slab"
"db7d078f-5779-469f-a660-350b4adadf68","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid f","Precast Install"
"89989bd1-d204-4ca4-8166-66781c7d3cf8","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab"
"8799e1d7-e117-4c34-a4d0-96c37f1c5d93","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 1"
"84f60bd1-5524-42ad-a7d6-fe80ed69076d","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 1","Upper Floor Slab"
"eb60f5ba-e2e2-488e-b51b-783a03877859","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 1","Precast Install"
"ddc9e6a4-7162-499e-b309-286ea49252fc","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 2"
"2af2406c-5d12-4778-abe5-74bd1fec3e36","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 2","Upper Floor Slab"
"c3ec6408-14a1-44f2-b4ca-02292094e5d8","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 2","Precast Install"
"b5e9a875-36ef-49b9-bac7-26d9e9e993e6","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 3"
"be024a21-378e-45d4-88d8-fa78e92b0abf","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 3","Upper Floor Slab"
"bf2c8149-4f71-45f7-af6f-db14a7efee32","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 3","Precast Install"
"6f956b14-3126-4601-99b1-4e546ac49dde","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 4"
"82c7d312-6a2d-4b83-85c5-14aa31eb2ec3","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 4","Upper Floor Slab"
"d8e2c78c-6937-4277-a6bd-aa68d86671b0","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 4","Precast Install"
"fa265162-6f0b-49c7-bcf4-20d496324f6a","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 5"
"4575e91d-18d5-432c-8d21-2ade6ba87543","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 5","Upper Floor Slab"
"7c0543ee-0321-41cb-b043-456cde174baa","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 5","Precast Install"
"a6f01451-50b0-42b7-bc69-9d0facd2fb8b","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 6"
"de1b519c-8a80-404b-a943-4f7158ff9c87","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 6","Upper Floor Slab"
"a55d059b-9367-46f0-949b-ce51b8c7be7d","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 6","Precast Install"
"b9b04ede-a21c-41b7-810d-7fb8ed850744","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 7"
"aa0c00bf-2611-41bf-b575-2fa584ac18ec","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 7","Upper Floor Slab"
"a7a6f67c-bb05-4550-9340-78675a62a33e","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 7","Precast Install"
"b92e1688-5bce-4f2e-8de3-0cf8c67a368b","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 8"
"d4f32d40-6b54-46df-b0db-ca9928430100","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 8","Upper Floor Slab"
"ccd794cf-6991-43cd-9fbf-4b941144f457","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 8","Precast Install"
"b1b1aa34-affa-48ff-97bf-d7db1946000e","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 9"
"d372f896-be53-4311-b4a1-6c0c23150c69","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 9","Upper Floor Slab"
"ddb28ede-ca5a-4acd-b249-9d686f9fa88d","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 9","Precast Install"
"3203d215-4fed-48f9-9dc9-8d1e076d8af8","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 10"
"23601867-1989-45a8-b721-b287c989accf","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 10","Upper Floor Slab"
"10bd023a-0a64-430c-88c9-62d609204e62","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 10","Precast Install"
"9b182037-9490-4b82-ba8b-e0a2d9228425","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 11"
"a22d484f-9f78-4bff-9efd-c43c6c1eb1f0","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 11","Upper Floor Slab"
"371494fc-d1a5-4274-983a-7fbe06e8ce5e","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 11","Precast Install"
"1cc2fc6d-e2f0-4a72-87db-6e530f79797a","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 12"
"908982d6-b3a0-4761-ac3e-453a1cb237e2","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 12","Upper Floor Slab"
"625bdeac-da10-4aa1-9fe4-ef641921fcd7","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 12","Precast Install"
"97253b70-ab82-4130-8e27-6f30c2f611c3","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 13"
"4a9ffc39-7a98-4cad-a84a-e6c3e114f7f3","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 13","Upper Floor Slab"
"6488ca9b-4de9-4613-b785-0a1f68438d19","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 13","Precast Install"
"45950c87-e7b5-4ab0-ab61-411d7acde6e0","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 14"
"672ba051-213e-42de-b40d-cd903488caf0","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 14","Upper Floor Slab"
"149d1508-3770-4329-991d-daf7e54aeb78","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 14","Precast Install"
"0f68426a-bb8a-4c55-b69c-5264cd6f3990","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 15"
"cd6f3812-9bad-43e2-800c-c6cec5dc8607","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 15","Upper Floor Slab"
"6e7b5321-d25b-4f0e-8df8-61166db81317","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 15","Precast Install"
"ddf65376-cf00-45fd-b0c6-f0fa950e7d10","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 16"
"11398561-e0df-48a7-8f95-32d28bc8f1bd","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 16","Upper Floor Slab"
"c521f03a-520c-4e33-b1fe-3167846b030a","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 16","Precast Install"
"1a7267f5-b367-4bd8-a008-42ec40667c84","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 17"
"07374267-ee88-46ea-8f89-9043dbee63e9","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 17","Upper Floor Slab"
"e9cc18c6-6d2c-47aa-8447-fab15de1cf0b","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 17","Precast Install"
"7e2db8de-b452-4d82-a99b-5985a100f95e","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 18"
"73334a39-c78f-4a96-b2ce-04389da87bdc","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 18","Upper Floor Slab"
"01bc16d5-b2d9-4366-8c2c-43fb79bd8094","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 18","Precast Install"
"351a3ebb-6f21-4aab-85b2-11c9b7fb1722","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 19"
"8ab757fe-e8e3-46c9-b06a-977f3c50fd67","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 19","Upper Floor Slab"
"125c1dd2-c066-4a56-8908-da05e5f3dab1","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 19","Precast Install"
"81a45a4a-0cc5-45ab-8680-8abda40dec55","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 20"
"5701d936-d1c4-4b63-8579-4b71ed0cae21","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 20","Upper Floor Slab"
"8b1368bb-18ef-4ff4-9641-523c6af39f19","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 20","Precast Install"
"db4a39fc-2e08-43fe-af10-82e5226a5cce","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid 21"
"09210453-0d99-423a-bd43-dde57634c775","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 21","Upper Floor Slab"
"cedb3eee-7131-481a-bd80-d4a7464866dd","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid 21","Precast Install"
"3f71e33e-4fa8-4d1c-b937-4b45ead3e9a3","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid A"
"f9a48218-dc96-4bde-8bff-8d6fcccfa624","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid A","Upper Floor Slab"
"e9461518-0502-4180-bb3a-d66c23da1b83","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid A","Precast Install"
"3589b0cb-9ad2-40b9-bf36-c00857419d14","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid b"
"2480c901-19de-474a-a56b-82bf0b0f5713","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid b","Upper Floor Slab"
"ee94d7cf-25e6-400c-8859-ca5bc90bc764","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid b","Precast Install"
"4356b780-00f2-4c07-ae48-31bc3c8f6bb0","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid c"
"7c154f11-2bf8-4804-bfd6-484ed88cf628","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid c","Upper Floor Slab"
"8205292d-73e2-4db4-b298-051c4a0747c0","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid c","Precast Install"
"e8ebf8b1-72fa-4030-997d-a1beab8f911c","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid d"
"8cd5c97a-7a27-4359-b657-e60acbcb4427","","checklist-flat","","Uppper floor slab","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid d","Upper Floor Slab"
"c7cd50f3-5119-4b7e-8706-5e68438e0a27","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Level 3 Slab","Grid d","Precast Install"
"6511357e-b9ca-4392-a469-5698bb1dfac5","","folder-normal","","","step","TRUE","FALSE","Level 3 Slab","Grid e"
