"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ed961fdb-d0d9-431b-8fa7-26333d4bdb9c","","folder-normal","fail","","step","TRUE","FALSE","Ground"
"bea6e1be-b814-4c5a-b4c3-1ab894e4cb97","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","W903.01"
"fbf5fa93-a6cd-4da7-91aa-0a30b9ad9b88","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 9","D903.07"
"4722c2db-475d-462e-a575-87bf683a94f7","","folder-normal","fail","","step","TRUE","FALSE","Level 10"
"2268517c-f78b-4192-ab76-f8850fc6ef9f","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","D1002.06"
"e697c69d-a48e-4346-bcb6-32071f698476","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","W1002.01"
"31199fa8-4157-4c86-a187-b3ef219993df","","checklist-flat","fail","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","W1002.02"
"04388b98-1cd7-46fe-846a-20315ecd379c","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","D1001.02"
"fcca6c25-7951-4b72-ab75-6e44e51ee150","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","W1001.01"
"b4c6d3ec-6376-424c-8ad7-42470bd62430","","checklist-flat","fail","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","W1001.02"
"01b4db05-3dac-49da-bfa0-97670fa75472","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","W1010.01"
"8df8a613-32dc-4e42-b15d-ce108c18d826","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","W1006.01"
"4cf45647-5f22-4ce7-b45d-dbabe0ff80f0","","checklist-flat","fail","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","W1006.02"
"f30ae12b-edbc-40dd-9ad7-089ee02644fe","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","D1006.02"
"ced1fa7d-2ed2-492e-a3ba-54489426034b","","checklist-flat","fail","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","W1005.01"
"c47211c9-a4d6-4a38-961c-4908a2b833ce","","checklist-flat","fail","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","W1005.02"
"58486ae2-7aca-4b46-a9e7-a2080608f4d5","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","D1005.06"
"dc35ac3f-522f-4629-9f85-a2697d97fd50","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","W1004.01"
"cba20d5c-0a17-41b2-8416-99503f34bf26","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","D1004.07"
"d29b15b5-4014-485c-9825-7851a4a40057","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","W1003.01"
"eb5695e1-bafb-4201-acc8-4bcb0b791366","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 10","D1003.07"
"2ea3e461-6769-4c8e-aaba-7fd5c22466e5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 11"
"3c5cec2e-8ef3-4230-94cd-4e739227a2ac","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","D1102.06"
"c82592a4-bb3d-4e3b-893a-562a780cc94b","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","W1102.01"
"8e76c113-8d51-4a9a-b54c-42dbe6f826d9","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","W1102.02"
"a04e795c-c6d8-422e-94ce-7fcd157e09e3","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","D1101.02"
"fdc4cd70-efb5-43b1-a491-91c46159ccc0","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","W1101.01"
"a7ce27fa-8653-41ae-adba-0df9870c0164","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","W1101.02"
"070c1a19-317b-48d6-b8ba-f389f9fa069f","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","W1110.01"
"0f24a0ea-e285-42f1-84cb-7df3e9568aa5","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","W1106.01"
"20470c53-7d8e-4b66-a343-6d369d962fb7","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","W1106.02"
"96ea835b-ae51-4927-9e4b-36c10a47c23e","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","D1106.02"
"dcb37a9f-cf61-42a2-ad32-4dd960551ded","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","W1105.01"
"e6be51bb-e9ec-4978-8ab4-c328ac61fcc4","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","W1105.02"
"1eaa5d73-f80d-4ddd-bae3-642973176330","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","D1105.06"
"083d4b24-c1e2-4ffa-879e-3c3a06097f8a","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","W1104.01"
"cc81794d-6449-4068-aee4-095aa0ab80f4","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","D1104.07"
"0b0995e1-18f5-4ec8-a7a1-767e48e267a4","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","W1103.01"
"9ba91396-b625-4493-a34a-bd9e4681b878","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 11","D1103.07"
"07ef477b-a4ec-43f4-adca-4603af353e42","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 12"
"31d371ea-306d-444e-a5f2-8e1cbd3a050f","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","D1202.06"
"4cc8cd8f-bdfa-45b9-9784-1e748c6c0e81","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","W1202.01"
"79bbca71-9a05-4a80-b47d-4fe38ad01bbf","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","W1202.02"
"7fbb0198-8397-4bb7-ad8c-c898581f56c4","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","D1201.02"
"24c78a0d-940d-4e47-80ac-7c7e9e8f1cad","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","W1201.01"
"592e4057-5775-4ac6-89e5-38c01b7505f2","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","W1201.02"
"cd777d41-97a6-47de-9f4e-80eaa4768b70","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","W1210.01"
"c38629ff-2794-4d8c-a0f4-af5ac36df1ef","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","W1206.01"
"6df6e354-dc40-49f7-8438-d83337dde139","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","W1206.02"
"2fb04c12-c185-4204-b606-281a126f1282","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","D1206.02"
"e7915d84-9716-465e-97d0-7d2a4e709ae7","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","W1205.01"
"f8cb6675-923e-422d-9e10-30af9b1e97bb","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","W1205.02"
"7ffb7941-84ea-4cc8-a3f4-ee9a5d79fbab","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","D1205.06"
"49f85b1e-b6fd-4b5f-8d04-f3c9a8e4f6ea","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","W1204.01"
"80d06501-7701-47db-abef-ecbed245be76","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","D1204.07"
"cab1dcd4-8012-4a07-b865-5a75a729747e","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","W1203.01"
"fe71542a-1ce8-4040-be90-18aa5e5a4ce8","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 12","D1203.07"
