"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a360b275-d1dc-5063-87a6-8c22912a96e3","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","D004.06","Site Glazing Completed"
"1004750a-8301-5f4d-b3c5-0fec5703069a","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","D004.06","Trade clean/protected"
"21a7d51e-4e63-5021-8db3-eeeea9c5df1a","","checklist-flat","fail","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140","checklist-flat","FALSE","FALSE","Ground","W004.01"
"45088831-16d0-49fa-aafa-d30714295307","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W004.01","Opening and sill acceptable. All elements approved as per drawings"
"4471c419-24ba-553c-9497-2df5b6beb374","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W004.01","Opening wrapped & prepared correctly by others"
"9cfd6c4a-2cdd-5e88-9424-6e0c7893f870","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W004.01","External flashings installed as per shop drawings"
"060d4f7b-96d9-5b09-8b44-cd8889b76ed7","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W004.01","Installed / Fixed As Per Shop Drawings"
"2bdecce3-fd32-535c-a476-85183215fe21","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W004.01","Airseals Completed (photo)"
"5128a3ac-4d68-55a1-929e-68b246863612","","checkpoint-status","fail","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W004.01","Site Glazing Completed"
"13b77dc4-538b-57b6-a4f2-f86d9de0c8ec","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W004.01","Trade clean/protected"
"ee91a3e8-c171-5149-b922-73f157932232","","checklist-flat","work-in-progress","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140","checklist-flat","FALSE","FALSE","Ground","W003.01"
"deb5af47-0445-4853-8595-55b53190df08","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W003.01","Opening and sill acceptable. All elements approved as per drawings"
"44089eb1-e6c4-5595-8785-79dfc96c2be5","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W003.01","Opening wrapped & prepared correctly by others"
"3fbe37d3-51bd-5fa7-9210-74d36abd463f","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W003.01","External flashings installed as per shop drawings"
"126de19b-d519-5df5-a689-f7609180ece1","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W003.01","Installed / Fixed As Per Shop Drawings"
"3c8e952a-000d-59cc-a152-82905751f11e","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W003.01","Airseals Completed (photo)"
"c70f2914-36ef-5609-924a-57b3f5f2b4c2","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W003.01","Site Glazing Completed"
"408ed481-17db-5c1e-9f57-bbdaa98ff5fa","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W003.01","Trade clean/protected"
"ed247ec1-bd5e-5860-a0de-4559ad83fbf4","","checklist-flat","work-in-progress","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140","checklist-flat","FALSE","FALSE","Ground","D003.06"
"e7c0fbc3-1ba8-4371-b1ac-b22f3024a651","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D003.06","Opening and sill acceptable. All elements approved as per drawings"
"75ffcbee-f90d-5967-875b-7b0c1c9850fa","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","D003.06","Opening wrapped & prepared correctly by others"
"485e95cf-940d-546c-b512-08112705f0d3","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","D003.06","External flashings installed as per shop drawings"
"1b304529-9b54-5c30-86d6-5a8ea821d838","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","D003.06","Installed / Fixed As Per Shop Drawings"
"d13421b5-ddbc-5bad-927d-b811c3c28b86","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","D003.06","Airseals Completed (photo)"
