resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.13 ALS Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.14 ALS Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.15 ALS Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.16 ALS Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.17 ALS Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.18 ALS Room,,,,,,,
VRV Cassette,,checklist,,,,,,AC 3.19 Lift Lobby,,,,,,,
VRV Cassette,,checklist,,,,,,AC 3.20 Servery/Dining,,,,,,,
VRV Cassette,,checklist,,,,,,AC 3.21 Servery/Dining,,,,,,,
VRV Cassette,,checklist,,,,,,AC 3.22 Servery/Dining,,,,,,,
VRV Cassette,,checklist,,,,,,AC 3.23 Servery/Dining,,,,,,,
Split HW,,checklist,,,,,,AC 3.24 Treatment Room,,,,,,,
Split HW,,checklist,,,,,,AC 3.25 Hub,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.26 ALS Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.27 ALS Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.28 ALS Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.29 ALS Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.30 ALS Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.31 ALS Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.32 ALS Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.33 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.34 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.35 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.36 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.37 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.38 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.39 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.40 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.41 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.42 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.43 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.44 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.45 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.46 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.47 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.48 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.49 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.50 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.51 Care Room,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 3.52 Care Room,,,,,,,
Split HW,,checklist,,,,,,AC 3.53 Comms Room,,,,,,,
,,step,,,,,Level 4,,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.01 Apartment,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.02 Apartment,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.03 Apartment,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.04 Apartment,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.05 Apartment,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.06 Apartment,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.07 Apartment,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.08 Apartment,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.09 Apartment,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.10 Apartment,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.11 Apartment,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.12 Apartment,,,,,,,
VRV High Wall,B01 - Extract Fan,folder-with-checklists,,,,,,AC 4.13 Apartment,,,,,,,
