"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c36395ad-ce7c-4e84-886d-a58ea79afb40","","work-in-progress","","folder","TRUE","FALSE","Raleigh Road Bus Lane"
"8c4906a4-b981-4214-9591-2e8745043f3f","","pass","","folder","TRUE","FALSE","Raleigh Road Bus Lane","Midblock 1"
"bc4f375d-d467-45d4-9c02-ed1c2e07ccb8","","work-in-progress","","folder","TRUE","FALSE","Devonport Town Centre","Kerr St Small (Site 4)"
"c4013c3f-0a56-4477-abd4-69ea8b2548ec","","work-in-progress","Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Devonport Town Centre","Kerr St Small (Site 4)","ITP - Enabling Works - Footpath, Kerb and channel"
"b3e57398-70c7-421f-8b79-b1f54d304b87","","not-started","Devonport Town Centre - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Devonport Town Centre","Kerr St Small (Site 4)","ITP - Stormwater Drainage"
"cb10f8ef-171e-4604-9e7f-5640a2db2843","","work-in-progress","Devonport Town Centre - ITP - Raised Table","checklist","FALSE","FALSE","Devonport Town Centre","Kerr St Small (Site 4)","ITP - Raised Table"
"e2d55670-f7a2-4d70-b37a-2a790000cb26","","not-started","Devonport Town Centre - ITP - Ducting","checklist","FALSE","FALSE","Devonport Town Centre","Kerr St Small (Site 4)","ITP - Ducting"
"b2c735f1-0399-49ec-b6ce-e8a9dc4e3cd6","","not-started","Devonport Town Centre - ITP - Traffic Islands","checklist","FALSE","FALSE","Devonport Town Centre","Kerr St Small (Site 4)","ITP - Traffic Islands"
"8624ec76-afcd-4079-8c28-85ab5955aa71","","not-started","Devonport Town Centre - ITP - Construction Works - Signage & E-Signage","checklist","FALSE","FALSE","Devonport Town Centre","Kerr St Small (Site 4)","ITP - Construction Works - Signage & E-Signage"
"c1cbf16d-a8db-45ca-aa74-1cbb41453b48","","not-started","","folder","TRUE","FALSE","Devonport Town Centre","Victoria Rd Bus Pad (Site 5)"
"ee217c60-0ec5-434f-b93c-a188a515112e","","not-started","Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Rd Bus Pad (Site 5)","ITP - Enabling Works - Footpath, Kerb and channel"
"4d51697b-5c5b-4990-b542-cb69102927ee","","not-started","Devonport Town Centre - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Rd Bus Pad (Site 5)","ITP - Stormwater Drainage"
"2379160f-b3ad-4f2a-bd8c-b6b16e7b32c1","","not-started","Devonport Town Centre - ITP - Raised Table","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Rd Bus Pad (Site 5)","ITP - Raised Table"
"7180caad-f469-4743-8af7-a1dd4aa8ed42","","not-started","Devonport Town Centre - ITP - Ducting","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Rd Bus Pad (Site 5)","ITP - Ducting"
"bc38e71a-b3fd-4a42-91a3-68b5bcc1bb5f","","not-started","Devonport Town Centre - ITP - Traffic Islands","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Rd Bus Pad (Site 5)","ITP - Traffic Islands"
"6a74dadd-3953-4478-91b2-44bc4f0002bd","","not-started","Devonport Town Centre - ITP - Construction Works - Signage & E-Signage","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Rd Bus Pad (Site 5)","ITP - Construction Works - Signage & E-Signage"
"04233200-cc73-4ba1-86d4-0c055e77f823","","not-started","","folder","TRUE","FALSE","Devonport Town Centre","Flaggstaff Tce (Site 6)"
"cebf1950-91d3-46c3-b4d3-a4f30ef8615b","","not-started","Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Devonport Town Centre","Flaggstaff Tce (Site 6)","ITP - Enabling Works - Footpath, Kerb and channel"
"dc8e08c0-4e22-47d2-979f-4a15260ace6a","","not-started","Devonport Town Centre - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Devonport Town Centre","Flaggstaff Tce (Site 6)","ITP - Stormwater Drainage"
"8561c6ff-3e4f-4d83-be49-3d0260bacf69","","not-started","Devonport Town Centre - ITP - Raised Table","checklist","FALSE","FALSE","Devonport Town Centre","Flaggstaff Tce (Site 6)","ITP - Raised Table"
"631e94d2-7d1e-43d8-9f4b-f3ed952aa6f3","","not-started","Devonport Town Centre - ITP - Ducting","checklist","FALSE","FALSE","Devonport Town Centre","Flaggstaff Tce (Site 6)","ITP - Ducting"
"5153bae7-f99d-414b-ad13-4cb77591ae15","","not-started","Devonport Town Centre - ITP - Traffic Islands","checklist","FALSE","FALSE","Devonport Town Centre","Flaggstaff Tce (Site 6)","ITP - Traffic Islands"
"9d2abb81-93a9-4e48-90c8-f17f95fffd7a","","not-started","Devonport Town Centre - ITP - Construction Works - Signage & E-Signage","checklist","FALSE","FALSE","Devonport Town Centre","Flaggstaff Tce (Site 6)","ITP - Construction Works - Signage & E-Signage"
"66300071-badf-4bfc-b48a-6a878d2e90c5","","not-started","","folder","TRUE","FALSE","Devonport Town Centre","Victoria Rd Library Speed Table (Site 7)"
"0bd53f9e-1f38-4a09-a6c4-eedd43da24f0","","not-started","Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Rd Library Speed Table (Site 7)","ITP - Enabling Works - Footpath, Kerb and channel"
"03acd20e-a427-4ae8-950e-a625d8b204bb","","not-started","Devonport Town Centre - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Rd Library Speed Table (Site 7)","ITP - Stormwater Drainage"
"94900c91-31d9-437e-8d19-56b41a89fc18","","not-started","Devonport Town Centre - ITP - Raised Table","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Rd Library Speed Table (Site 7)","ITP - Raised Table"
"e896d8e1-1f93-41cc-bc06-338362525aeb","","not-started","Devonport Town Centre - ITP - Ducting","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Rd Library Speed Table (Site 7)","ITP - Ducting"
"c0b8847e-55b6-4b38-98af-69f157011101","","not-started","Devonport Town Centre - ITP - Traffic Islands","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Rd Library Speed Table (Site 7)","ITP - Traffic Islands"
"36143b09-b0a5-4e01-9722-2c78397eefd3","","not-started","Devonport Town Centre - ITP - Construction Works - Signage & E-Signage","checklist","FALSE","FALSE","Devonport Town Centre","Victoria Rd Library Speed Table (Site 7)","ITP - Construction Works - Signage & E-Signage"
"32dfca50-fd61-41cf-a2c3-d6ce25f069ff","","not-started","","folder","TRUE","FALSE","Devonport Town Centre","Victoira Rd Pram Crossing (Site 8)"
"2008181d-f055-4acc-aa8a-d9706a9e2748","","not-started","Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Devonport Town Centre","Victoira Rd Pram Crossing (Site 8)","ITP - Enabling Works - Footpath, Kerb and channel"
"fe9db8c5-b3e5-4954-8220-decb30537365","","not-started","Devonport Town Centre - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Devonport Town Centre","Victoira Rd Pram Crossing (Site 8)","ITP - Stormwater Drainage"
"e2b7189d-d0a0-49e3-a018-2bc47b8fa113","","not-started","Devonport Town Centre - ITP - Raised Table","checklist","FALSE","FALSE","Devonport Town Centre","Victoira Rd Pram Crossing (Site 8)","ITP - Raised Table"
"f0768661-2f9f-4ba0-8dff-f9935c6e2482","","not-started","Devonport Town Centre - ITP - Ducting","checklist","FALSE","FALSE","Devonport Town Centre","Victoira Rd Pram Crossing (Site 8)","ITP - Ducting"
"29153e03-e8d0-4b33-8169-79d638e4c125","","not-started","Devonport Town Centre - ITP - Traffic Islands","checklist","FALSE","FALSE","Devonport Town Centre","Victoira Rd Pram Crossing (Site 8)","ITP - Traffic Islands"
"60d440dd-b06d-41b2-9a26-b1828d166ffe","","not-started","Devonport Town Centre - ITP - Construction Works - Signage & E-Signage","checklist","FALSE","FALSE","Devonport Town Centre","Victoira Rd Pram Crossing (Site 8)","ITP - Construction Works - Signage & E-Signage"
"8e2f7df4-93c7-4669-b25b-a180d6502f3a","","not-started","","folder","TRUE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 9)"
"68f547cb-e52f-48d9-902f-412cd2c89786","","not-started","Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 9)","ITP - Enabling Works - Footpath, Kerb and channel"
"e7096bdd-57cd-42f2-8f4c-c44fe3bf7153","","not-started","Devonport Town Centre - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 9)","ITP - Stormwater Drainage"
"f6dc3e5c-9602-4fe6-9c90-bf700ca1726b","","not-started","Devonport Town Centre - ITP - Raised Table","checklist","FALSE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 9)","ITP - Raised Table"
"c2f94cc8-ee9b-4867-b2ac-204d6d98ef90","","not-started","Devonport Town Centre - ITP - Ducting","checklist","FALSE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 9)","ITP - Ducting"
"9a4c9352-9243-41bd-bf91-3a669dbdd1a6","","not-started","Devonport Town Centre - ITP - Traffic Islands","checklist","FALSE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 9)","ITP - Traffic Islands"
"c86a461b-c3d9-4794-9a56-3120ede371e0","","not-started","Devonport Town Centre - ITP - Construction Works - Signage & E-Signage","checklist","FALSE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 9)","ITP - Construction Works - Signage & E-Signage"
"c9a511eb-c2d1-4742-a5f7-f203e401bb64","","not-started","","folder","TRUE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 10)"
"4a983939-b3de-4dc1-a17b-d9a1da4f693a","","not-started","Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 10)","ITP - Enabling Works - Footpath, Kerb and channel"
"daa12038-85b8-4fc7-9637-c44e31dac21a","","not-started","Devonport Town Centre - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 10)","ITP - Stormwater Drainage"
"66d6f76f-22e6-40eb-90be-6f3f600c73c7","","not-started","Devonport Town Centre - ITP - Raised Table","checklist","FALSE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 10)","ITP - Raised Table"
"4fb36c5c-66df-4bc3-9520-e0979aa2cd53","","not-started","Devonport Town Centre - ITP - Ducting","checklist","FALSE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 10)","ITP - Ducting"
"9391307c-842a-4d7d-b099-0ac02d3399ca","","not-started","Devonport Town Centre - ITP - Traffic Islands","checklist","FALSE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 10)","ITP - Traffic Islands"
"c48d3b9d-d964-4543-9908-ecb5775e6841","","not-started","Devonport Town Centre - ITP - Construction Works - Signage & E-Signage","checklist","FALSE","FALSE","Devonport Town Centre","King Edward Victoria Rd (Site 10)","ITP - Construction Works - Signage & E-Signage"
"b0ec4ee7-7d0e-42e7-8a6d-80a9cb3e47b7","","pass","","folder","TRUE","FALSE","Archives - 21/22"
"e7a84e65-2b34-40aa-a271-5d199db12a60","","pass","","folder","TRUE","FALSE","Archives - 21/22","Graeme Road"
"b4c8be45-9ed9-40df-b9b4-1637852b6e69","","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist","FALSE","FALSE","Archives - 21/22","Graeme Road","ITP - Raised Pedestrian Crossing"
"31836c4a-ea07-41f0-959c-260f9734f6a7","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Graeme Road","ITP - Enabling Works - Footpath, Kerb and channel"
"be0b3125-c77d-458f-b433-e3a28e189d17","","pass","Graeme Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Archives - 21/22","Graeme Road","ITP - Stormwater Drainage"
"edf572f8-3fd5-4eb7-9e8a-1da1e6fa3a40","","pass","","folder","TRUE","FALSE","Archives - 21/22","Stancombe Road"
"c0ea0a3b-45c5-444b-ab29-3436ae4330e2","","pass","Stancombe Road - ITP - Enabling Works - Footpath + Pram","checklist","FALSE","FALSE","Archives - 21/22","Stancombe Road","ITP - Enabling Works - Footpath + Pram"
"49225bf8-0b23-4aff-ad20-1a5dc1f0a20b","","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","Archives - 21/22","Stancombe Road","ITP - Traffic Islands"
"89e2c651-e80e-4033-bcfd-73dbf2a02c3f","","pass","","folder","TRUE","FALSE","Archives - 21/22","Portland Road"
"6b2acbcb-facc-4051-94d4-83e3be4a6ebf","","pass","Portland Road - ITP - Enabling Works - Footpath, Kerb and Channel","checklist","FALSE","FALSE","Archives - 21/22","Portland Road","ITP - Enabling Works - Footpath, Kerb and Channel"
"2deaba16-01bd-4f2e-a076-080725b95419","","pass","Portland Road - ITP - Raised Pedestrian Crossing","checklist","FALSE","FALSE","Archives - 21/22","Portland Road","ITP - Raised Pedestrian Crossing"
"f48e30bd-4120-4e1e-8355-c20c90df3894","","pass","Portland Road - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Archives - 21/22","Portland Road","ITP - Stormwater Drainage"
"4d7d1eaa-bf36-4dc2-8824-70e8df73f9b9","","pass","","folder","TRUE","FALSE","Archives - 21/22","East Coast Road - VRU"
"8e95681c-1b22-4cf5-b3e9-3ba99ffb079d","","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist","FALSE","FALSE","Archives - 21/22","East Coast Road - VRU","ITP - Raised Pedestrian Crossing"
"c2168a3f-3f19-430c-9bfc-ad86139e0a17","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","East Coast Road - VRU","ITP - Enabling Works - Footpath, Kerb and channel"
"b43a57dc-ceae-4c99-9f82-47f248051e60","","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","Archives - 21/22","East Coast Road - VRU","ITP - Traffic Islands"
"19c8b988-2a7d-471e-af88-928cf4eb1616","","pass","","folder","TRUE","FALSE","Archives - 21/22","Beachcroft Avenue"
"04a4587d-08fc-4528-8c52-9b5dd05c74dd","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Beachcroft Avenue","ITP - Enabling Works - Footpath, Kerb and Channel (Beachcroft North)"
"9ae052a8-1b52-4b5f-baf5-59077eb10365","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Beachcroft Avenue","ITP - Enabling Works - Footpath, Kerb and Channel (Beachcroft South)"
"caff52ef-700b-4210-b495-cb29eeb8bba0","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Beachcroft Avenue","ITP - Enabling Works - Footpath, Kerb and Channel (Pleasant Street Corners)"
"e0da327b-9bde-4ea0-aeeb-dcac24e12336","","pass","","folder","TRUE","FALSE","Archives - 21/22","Walmsley/Mahunga/Donnell"
"a97abd7e-b9e8-4708-9fc9-1d9085b6a4dd","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Walmsley/Mahunga/Donnell","ITP - Enabling Works - Footpath, Kerb and channel (SW)"
"b83c9f08-3715-45e3-84dc-d862a963f859","","pass","Graeme Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Archives - 21/22","Walmsley/Mahunga/Donnell","ITP - Stormwater Drainage"
"1f322b32-8f0d-436f-96ca-ebfbf22f2ba0","","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","Archives - 21/22","Walmsley/Mahunga/Donnell","ITP - Traffic Islands (NE)"
"f242eff3-4b38-4079-9f53-60cfd078f972","","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","Archives - 21/22","Walmsley/Mahunga/Donnell","ITP - Traffic Islands (NW)"
"72ad9bda-8203-462f-86c2-44188b4cf7c9","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Walmsley/Mahunga/Donnell","ITP - Enabling Works - Footpath, Kerb and channel (SE)"
"bf5c99be-eb27-4155-85d0-bff34612610d","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Walmsley/Mahunga/Donnell","ITP - Enabling Works - Footpath, Kerb and channel (NE)"
"df10660e-aed3-4c12-a225-5e404d6bf212","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Walmsley/Mahunga/Donnell","ITP - Enabling Works - Footpath, Kerb and channel (NW)"
"c4343c6d-492d-45de-9123-579465c82a40","","pass","","folder","TRUE","FALSE","Archives - 21/22","Rogan Arundel"
"896f4176-2c0a-4b31-b231-73d82c099476","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Rogan Arundel","ITP - Enabling Works - Footpath, Kerb and channel NW"
"9edf0a6b-2fe0-4ba3-894e-e8ee98564a96","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Rogan Arundel","ITP - Enabling Works - Footpath, Kerb and channel NE"
"96296abd-9f84-4d0c-a8ee-4102b230963b","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Rogan Arundel","ITP - Enabling Works - Footpath, Kerb and channel SW"
"1549f948-5a67-416e-8138-900a7f653bf0","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Rogan Arundel","ITP - Enabling Works - Footpath, Kerb and channel SE"
"c050aee4-bc90-488d-ae9f-ce66d21d832f","","pass","Portland Road - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Archives - 21/22","Rogan Arundel","ITP - Stormwater Drainage NE"
"38a9e0da-1e75-47af-a7c8-fa45116ac5bf","","pass","Portland Road - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Archives - 21/22","Rogan Arundel","ITP - Stormwater Drainage SE"
"89cc11ba-5ca2-4a60-9c44-477c1bb1c403","","pass","","folder","TRUE","FALSE","Archives - 21/22","Rockfield Road"
"68f7a67e-f09b-4436-ba55-e352861f3ac7","","pass","ITP - Rockfield Road - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Rockfield Road","ITP - Rockfield Road - Enabling Works - Footpath, Kerb and channel"
"6b452369-af24-42f9-b200-540ee172125d","","pass","ITP - Rockfield Road - Enabling Works - Stormwater Drainage	","checklist","FALSE","FALSE","Archives - 21/22","Rockfield Road","ITP - Rockfield Road - Enabling Works - Stormwater Drainage"
"5e8fa30e-7302-402f-90c4-b6a6a45152bd","","pass","ITP - Rockfield Road - Raised Pedestrian Crossing	","checklist","FALSE","FALSE","Archives - 21/22","Rockfield Road","ITP - Rockfield Road - Raised Pedestrian Crossing"
"ef86a9d8-22ce-4da6-91ab-2b17eecedfcb","","pass","","folder","TRUE","FALSE","Archives - 21/22","VRU - Motatau Road"
"8ddcc06f-28ea-4a9d-a9cd-26bc00cb2567","","pass","ITP - Motatau - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","VRU - Motatau Road","ITP - Motatau - Enabling Works - Footpath, Kerb and channel"
"3bbfa3af-105a-4f8e-9b57-88b0cc7d0a6f","","pass","ITP - Motatau - Raised Pedestrian Crossing ","checklist","FALSE","FALSE","Archives - 21/22","VRU - Motatau Road","ITP - Motatau - Raised Pedestrian Crossing"
"7a8c4364-b731-4c2f-92cd-72e1cf0a460d","","pass","","folder","TRUE","FALSE","Archives - 21/22","Willcott Road"
"33664ca5-5b41-44ac-aa32-8aaad865acb2","","pass","ITP - Willcott Street  - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Willcott Road","ITP - Willcott Street  - Enabling Works - Footpath, Kerb and channel"
"646119cd-c363-40ed-828d-17453212dcb8","","pass","ITP - Willcott Street - Raised Pedestrian Crossing        ","checklist","FALSE","FALSE","Archives - 21/22","Willcott Road","ITP - Willcott Street - Raised Pedestrian Crossing"
"7dac82a1-1f02-45a5-a40a-ab9d16e88dcc","","pass","ITP - Willcott Street - Stormwater Drainage	","checklist","FALSE","FALSE","Archives - 21/22","Willcott Road","ITP - Willcott Street - Stormwater Drainage"
"b47d4012-7c5f-478e-b5d4-d1316fd66772","","pass","","folder","TRUE","FALSE","Archives - 21/22","VRU - Loloma Drive "
"66e9971b-209c-4e4a-8d06-bc1f610a6439","","pass","ITP - Rockfield Road - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","VRU - Loloma Drive ","ITP - Loloma drive -  Enabling works - Footpath, Kerb and channel"
"f1242183-4d5c-44ad-a28d-640494445c69","","pass","ITP - Motatau - Raised Pedestrian Crossing ","checklist","FALSE","FALSE","Archives - 21/22","VRU - Loloma Drive ","ITP - Loloma- Raised Pedestrian Crossing"
"c48a29fd-10f8-4a26-b979-227c024800d5","","pass","","folder","TRUE","FALSE","Archives - 21/22","VRU - George street"
"ec4ddf5f-a061-4299-a50c-aa304c91e724","","pass","Graeme Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Archives - 21/22","VRU - George street","ITP - Stormwater Drainage"
"8a3ab97a-280f-48db-aa98-514ef515ee43","","pass","Portland Road - ITP - Raised Pedestrian Crossing","checklist","FALSE","FALSE","Archives - 21/22","VRU - George street","ITP - Raised Pedestrian Crossing"
"3d5b5511-a9e8-4cd1-9c1e-f0c9c120605e","","pass","ITP - Motatau - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","VRU - George street","ITP - George - Enabling Works - Footpath, Kerb and channel"
"f4c41e8c-f82a-43b8-8821-1ebeea66cd99","","pass","","folder","TRUE","FALSE","Archives - 21/22","VRU- Gladstone"
"86c22cb4-c1ec-40cb-b847-7bf89071a875","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","VRU- Gladstone","ITP - Enabling Works - Footpath, Kerb and channel"
"a522be7d-74a0-4062-8cd9-1393f1f8697b","","pass","Graeme Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Archives - 21/22","VRU- Gladstone","ITP - Stormwater Drainage"
"67957a96-3387-45c8-b32a-288551d463cd","","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist","FALSE","FALSE","Archives - 21/22","VRU- Gladstone","ITP - Raised Pedestrian Crossing"
"eb4025c0-5d66-4b39-b072-421963456e4c","","pass","","folder","TRUE","FALSE","Archives - 21/22","VRU - Waiatarua"
"f4841688-3fe8-4794-afe7-eca5675d825d","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","VRU - Waiatarua","ITP - Enabling Works - Footpath, Kerb and channel"
"3004fcb7-4be3-43b2-ac89-62e01202f309","","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist","FALSE","FALSE","Archives - 21/22","VRU - Waiatarua","ITP - Raised Pedestrian Crossing"
"300fb587-4c72-41b4-8eb9-8a3254c9dd25","","pass","","folder","TRUE","FALSE","Archives - 21/22","VRU - golfland "
"f971aab1-7cf9-466c-9869-627f80fa64a1","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","VRU - golfland ","ITP - Enabling Works - Footpath, Kerb and channel"
"78938830-66c4-440f-89b1-4cbed2787783","","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist","FALSE","FALSE","Archives - 21/22","VRU - golfland ","ITP - Raised Pedestrian Crossing"
"8cf91bd2-c6b4-465a-b63c-347e176e44c1","","pass","Graeme Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Archives - 21/22","VRU - golfland ","ITP - Stormwater Drainage"
"ea5fecd7-bdac-4f63-80f6-8cd93f011eab","","pass","","folder","TRUE","FALSE","Archives - 21/22","Sunnybrae Road"
"232029c9-18e1-41b2-8c7a-8a3e8ee50cc9","","pass","","folder","TRUE","FALSE","Archives - 21/22","Sunnybrae Road","Stage 1"
"5c514268-1949-4a24-95cc-3b2d425b2d83","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Sunnybrae Road","Stage 1","ITP - Enabling Works - Footpath, Kerb and channel"
"2f6296d7-fcd8-4626-a0b7-28907306cebd","","pass","","folder","TRUE","FALSE","Archives - 21/22","Sunnybrae Road","Stage 2"
"6f4a0415-c012-426c-a79a-28db71b19b47","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Sunnybrae Road","Stage 2","ITP - Enabling Works - Footpath, Kerb and channel"
"e508620f-a268-405b-94f2-6cc74a975f68","","pass","","folder","TRUE","FALSE","Archives - 21/22","Sunnybrae Road","Stage 3"
"b1d03abc-e4e7-441b-a644-11a4ef2de713","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Sunnybrae Road","Stage 3","ITP - Enabling Works - Footpath, Kerb and channel"
"a4ddb539-b17e-4520-b72e-e4e5e78c059c","","pass","","folder","TRUE","FALSE","Archives - 21/22","Sunnybrae Road","Stage 4"
"ef0c90e4-4247-464c-95e8-a9c0fac03be8","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Sunnybrae Road","Stage 4","ITP - Enabling Works - Footpath, Kerb and channel"
"b20017b8-bbc0-49d9-a119-69f4cb533037","","pass","","folder","TRUE","FALSE","Archives - 21/22","Sunnybrae Road","Stage 5"
"669c0e67-cb22-4e49-b0d4-411b9a3e023b","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Sunnybrae Road","Stage 5","ITP - Enabling Works - Footpath, Kerb and channel"
"c42a44b2-c0e7-4d57-8a07-232412fece29","","pass","","folder","TRUE","FALSE","Archives - 21/22","Fred Thomas Drive"
"97c9b426-3d76-4e2d-aae2-1921124b4270","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Fred Thomas Drive","ITP - Enabling Works - Footpath, Kerb and channel"
"ae27d1e1-0b16-49d0-8522-412fedc98e7b","","pass","","folder","TRUE","FALSE","Archives - 21/22","Hillsborough Road"
"611a8693-081f-4194-81da-314f5d20e198","","pass","ITP - Griffen Park / Hillsborough Rd - Footpath, Kerb and channel","checklist","FALSE","FALSE","Archives - 21/22","Hillsborough Road","ITP - Footpath, Kerb and channel"
"6b1f36d3-c873-4953-bbdd-208dc96e05e4","","pass","ITP - Griffen Park / Hillsborough Rd - Pavement Construction","checklist","FALSE","FALSE","Archives - 21/22","Hillsborough Road","ITP - Pavement Construction"
"f608a781-e928-4963-96c2-a9b6d496fe30","","pass","ITP - Griffen Park / Hillsborough Rd - Raised Pedestrian Crossing","checklist","FALSE","FALSE","Archives - 21/22","Hillsborough Road","ITP - Raised Pedestrian Crossing"
