"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8c386a6d-c87d-48f2-9d7c-1ed813dbb8d4","","folder-normal","fail","","step","FALSE","FALSE","Zone 1"
"3beed634-fa11-4f11-89db-8d2343eadac7","","folder-normal","fail","","step","TRUE","FALSE","Zone 1","Eastbound"
"6425aa4f-219c-47c7-9566-d7f4b90dfe64","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone 1","Eastbound","Utilities"
"3a23b95e-f700-41a2-a78b-82d1e5034171","","checklist-sectioned","pass","ITP - Shared Services Trench","checklist","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910"
"0180ae6a-7112-56f7-94c7-9c485034ed93","","checkpoint-group","pass","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Setout, Materials and Preparation"
"e44b51d6-a882-526f-b85e-3b802de27b23","","holdpoint","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Pipes","HOLDPOINT"
"fcdee887-4849-5691-b06b-c0060ca6399c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Pipes","300.1 - Pipe bedding"
"f29f3830-ae8a-5271-ab05-f232e26d8a91","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Pipes","300.11 - Pipe installation"
"cfb52f9f-48ea-5cb0-975e-f99ec139f0e8","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Pipes","300.12 - Pipe haunching"
"b93a80d1-08df-512e-856f-7a6f2d53ad7e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Pipes","300.13 - Trench backfill"
"65e2b9c6-b9e2-5a1a-aa49-8c4bd91c132c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Pipes","300.14 - Pavement Layer Construction if in road."
"57da4f67-b299-553b-8545-32defa86aa93","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Pipes","300.14 - Pavement Layer Construction if in road"
"a3ff55a0-acb1-5dd5-8602-7a65f738b349","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Pipes","300.15 - CCTV Inspection"
"0ce5981c-28ff-57e8-b681-ab05fdf2c44b","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)"
"850999c3-c280-53f3-888e-326118803b24","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.16 - Determine Subgrade Strength"
"ad97eca7-1bfe-5313-b982-685b79e22475","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","HOLDPOINT"
"491d689d-6376-5f59-a8e5-4b1670569eec","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.17 - Structures (manholes, head walls, catchpits etc.)"
"495783db-a496-5365-b94c-86b8866ffe39","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.19 - Structures (manholes, head walls, catchpits etc.)"
"3583e57e-182a-5d7e-9669-ed58ec8b96be","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.2 - Structures (manholes, head walls, catchpits etc.)"
"d076ee29-14d2-5d79-95c4-063ef4255a40","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.21 - Structures (manholes, head walls, catchpits etc.) Pavement Layer Construction if in road."
"e27252d1-103b-5ecb-89e5-002bfd438450","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.21 - Structures (manholes, head walls, catchpits etc.) Pavement Layer Construction if in road"
"a4e176dc-f6f7-55da-a4ea-c15ecac2e355","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.22 - Structures (manholes, head walls, catchpits etc.)"
"5f02f3a6-c9a9-5178-abfd-5ae5f814fe6f","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Close Out"
"e914cfa8-15cc-5feb-b828-f110fed3bf38","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Close Out","300.23 - Collate above documentation"
"682a972c-7247-5d17-9edc-a3a9cb470bc4","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Close Out","HOLDPOINT"
"5f6e69cc-3b58-5d76-b5f3-6432ffa2154b","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Close Out","300.24 - As-built drawings"
"11b66ec6-d025-58dd-8fe3-2b01b0c44eb1","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Close Out","HOLDPOINT"
"729cc410-9fb2-5d37-a5d8-7b606c164a2a","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Close Out","Client Final Inspection - the signature below verifies that this ITP has been completed in accordance with NZTA Specifications and verifies lot compliance."
"7ec1a48d-a5d5-5819-b8e8-627b67abb3f1","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-02","Close Out","Add Signature"
"69474977-0d8c-46ca-bfeb-3eeb179f3c0d","","checklist-sectioned","work-in-progress","ITP - Stormwater","checklist","FALSE","FALSE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02"
"2987da1a-52d9-5858-a698-2378bfb3f51c","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation"
"7917f704-6e78-5cee-ae81-b70067848f0b","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","300.1 - Mark out works"
"5ee89238-8a9a-52cc-90bf-203a5fdf1d88","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","HOLDPOINT"
"644e75ad-1429-5f11-9d7f-4382f27ad84e","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","300.2 - Underground services"
"e75d0afb-49e1-54b5-96fc-c329e0b4be28","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","HOLDPOINT"
"552d22d2-804e-553b-ab0d-7627344dbbd0","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","300.3 - Precast Concrete Pipes"
"ed1760ba-1faa-52f9-bb33-0f1c33b5d33a","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","HOLDPOINT"
"77f8cfb5-82c6-5ba7-a96c-ef047c9339b4","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","300.4 - Precast headwall/wingwall units"
"1ed61be0-10c5-56a1-9a7f-5a43d8305a70","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","HOLDPOINT"
"99183f14-ae03-51cf-a8b6-e2e5d6a1a778","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","300.5 - Precast manholes"
"b58325a4-8880-5049-bfe1-5ef60fa526b2","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","HOLDPOINT"
"bb0d42e7-0621-50d3-bd91-5b17b5136467","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","300.6 - PVC Pipes"
"220ea360-bc6d-5627-b2dc-2adc17973630","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","HOLDPOINT"
"491ed273-ffd5-5672-a304-5bfd9292a67f","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","300.7 - Precast catchpit"
"4b381681-a950-5bed-8b0b-4f511b0f55da","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","HOLDPOINT"
"651ef3d3-963d-56d5-9129-ab2a0b8cd1e2","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","300.8 - Drainlayer Qualification"
"68d2bef2-d8f7-5114-8000-05aa0bf0baf6","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","300 - Setout, Materials and Preparation","HOLDPOINT"
"75422e5b-b842-5e87-8d73-6dcd6610edef","","checkpoint-group","not-applicable","","","FALSE","FALSE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Pipes"
"5e128254-5002-5346-b646-0c18dc3aec95","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Pipes","300.9 - Determine Subgrade Strength"
"b29b145e-5bdf-5953-8b5a-dd5b3062d128","","holdpoint","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Pipes","HOLDPOINT"
"c6c7d58c-723c-599b-97e8-2724478ff172","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Pipes","300.1 - Pipe bedding"
"51d13c32-2da0-5a7b-9a9a-a8b672c7e2cd","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Pipes","300.11 - Pipe installation"
"d3ae2d3e-66cb-510a-b2f8-a860028cbd86","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Pipes","300.12 - Pipe haunching"
"5bc939a0-207c-526b-adbe-d90c63cc041c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Pipes","300.13 - Trench backfill"
"8f91c542-4d0e-5a0d-b40e-b21643023add","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Pipes","300.14 - Pavement Layer Construction if in road."
"bd5073f9-2ebc-5627-8cb9-e1c99bfbba9b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Pipes","300.14 - Pavement Layer Construction if in road"
"298a51ff-5baa-5d09-8936-c44fd2991d91","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Pipes","300.15 - CCTV Inspection"
"2777d137-8845-58f4-885b-b1d6292d23c6","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)"
"bb8b57ed-6ee8-599e-a5c7-bfb22c3f68a0","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.16 - Determine Subgrade Strength"
"5fa567b6-c2e6-5533-beb6-fde563926b42","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","HOLDPOINT"
"87a8ba6f-3f4c-5ded-84dc-4a585514c6a9","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.17 - Structures (manholes, head walls, catchpits etc.)"
"43da658d-ba01-53d5-8e01-584409ee4020","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.19 - Structures (manholes, head walls, catchpits etc.)"
"88ed5399-3cd9-5036-a569-60c6583e7f37","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.2 - Structures (manholes, head walls, catchpits etc.)"
"135a1306-d5b0-52db-96a7-81d95d79bcb8","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.21 - Structures (manholes, head walls, catchpits etc.) Pavement Layer Construction if in road."
"b088fa55-ade8-5dc3-a188-4bb7d2dc8a30","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.21 - Structures (manholes, head walls, catchpits etc.) Pavement Layer Construction if in road"
"1d2832de-9692-5f1b-a37b-beeefe5f7503","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.22 - Structures (manholes, head walls, catchpits etc.)"
"47294cb7-01d2-58d7-8f9e-66c026988204","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Close Out"
"7ac9682c-453f-541a-acaf-0e7cc2763e4f","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Close Out","300.23 - Collate above documentation"
"b370a425-ce8b-529e-af1a-1daf632b2e46","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Close Out","HOLDPOINT"
"dc661315-7cfe-550f-9fa7-dd75fbd021cf","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Close Out","300.24 - As-built drawings"
"8c4b03c9-3e90-55c7-b02c-aa5b445434a3","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Close Out","HOLDPOINT"
"9bb8f77a-1594-549b-972f-9b4c0a636987","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Close Out","Client Final Inspection - the signature below verifies that this ITP has been completed in accordance with NZTA Specifications and verifies lot compliance."
"4b9b4c81-70be-5f11-b4c5-ab2a2739a167","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-01-02","Close Out","Add Signature"
"4b36341d-e9b4-477e-b608-96835987513b","","checklist-sectioned","work-in-progress","ITP - Stormwater","checklist","FALSE","FALSE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03"
"d3a2fbf4-86f7-5010-a6d8-f7ce645f871b","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation"
"df59bc19-97b4-5cb7-b13d-4ef587f88419","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","300.1 - Mark out works"
"c333cdef-e6ea-595b-9b5e-9ab02fbfca48","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","HOLDPOINT"
"325f23f7-81f6-5c13-865a-62a8bdb27902","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","300.2 - Underground services"
"b1ecf350-9c31-5c4b-b159-960223d68310","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","HOLDPOINT"
"076680cd-0e21-5b85-98d6-2eb554b1a09a","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","300.3 - Precast Concrete Pipes"
"d8d8eaae-0f8d-54c8-afe8-e912942726e0","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","HOLDPOINT"
"1d262ac3-ecb8-57ef-ba84-2459ff432253","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","300.4 - Precast headwall/wingwall units"
"d6dc17c2-cd55-5bbd-85d5-5a5dea517f10","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","HOLDPOINT"
"6ce79db6-25b6-5ee3-90fa-a39d68bc0694","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","300.5 - Precast manholes"
"25e69a39-d4fe-5e63-a596-02e123cf8b2c","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","HOLDPOINT"
"fd9e6fd0-99ab-52d1-b233-84d15342019f","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","300.6 - PVC Pipes"
"060049dd-7209-56d9-81c8-e5d702792b14","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","HOLDPOINT"
"9452034b-e702-55e0-a30e-63a05ed124a4","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","300.7 - Precast catchpit"
"7952b30a-8ea1-58c0-b149-b286d6c2bcf8","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","HOLDPOINT"
"b8193eb5-25dd-5049-afc2-c6159b8b1cab","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","300.8 - Drainlayer Qualification"
"85e95359-7fc9-592b-a94a-aeafa36bd2df","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","300 - Setout, Materials and Preparation","HOLDPOINT"
"8d9cb2be-4c00-54c0-abb9-95188046480d","","checkpoint-group","not-applicable","","","FALSE","FALSE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Pipes"
"872008f0-4a63-5ac2-84e5-e2ae2bbf7562","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Pipes","300.9 - Determine Subgrade Strength"
"80305c87-d9b3-5fae-bea3-018d8eb80c21","","holdpoint","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Pipes","HOLDPOINT"
"0e62eb9c-7310-5878-a9d2-606ef7823236","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Pipes","300.1 - Pipe bedding"
"92b3789d-6c47-527e-a277-4bd46f3d870e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Pipes","300.11 - Pipe installation"
"dcc4342a-e9ac-5bd3-9a3f-41e575223910","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Pipes","300.12 - Pipe haunching"
"99fc9ad1-d13d-5e4a-a646-8aa442af689a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Pipes","300.13 - Trench backfill"
"772e12f9-f4c0-521d-ae27-8f8a55b7906b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Pipes","300.14 - Pavement Layer Construction if in road."
"005a6c19-d6b7-5e19-b095-906970f2f2ab","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Pipes","300.14 - Pavement Layer Construction if in road"
"a2ef0b0e-09d8-506f-83ef-699fdf3fb1ce","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Pipes","300.15 - CCTV Inspection"
"6613934e-f861-52f0-9f0e-e06f50fd73be","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)"
"0228e3fe-7f82-549a-8560-9d7bceb7420f","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.16 - Determine Subgrade Strength"
"553b4f12-3b42-52f2-8c3d-8ce2ad446575","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","HOLDPOINT"
"6e5534ca-c8fb-52da-8deb-588d5a134a12","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.17 - Structures (manholes, head walls, catchpits etc.)"
"2acbb05d-1a2b-5063-80d7-a16dd9dba8cd","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.19 - Structures (manholes, head walls, catchpits etc.)"
"c7c1c1aa-b90d-500c-982c-975bc5e019dc","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.2 - Structures (manholes, head walls, catchpits etc.)"
"7d69f32b-6ae2-537c-98b0-05d936b8e4a9","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.21 - Structures (manholes, head walls, catchpits etc.) Pavement Layer Construction if in road."
"5049c1c2-a9f9-5f30-a4c7-809be3e05e09","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.21 - Structures (manholes, head walls, catchpits etc.) Pavement Layer Construction if in road"
"06a20e3d-2b81-50cb-a65a-a5fe69dae1d2","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Construction and Finishing - Structures (manholes, head walls, catchpits etc.)","300.22 - Structures (manholes, head walls, catchpits etc.)"
"46c3d7ea-3495-5674-9eae-6b748dc9848b","","checkpoint-group","not-started","","","FALSE","FALSE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Close Out"
"4f0da095-5eb8-54e2-9223-e2f89b81f2a6","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Close Out","300.23 - Collate above documentation"
"f3e0724e-c3f6-503d-8446-ea50e1563d28","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Close Out","HOLDPOINT"
"29a3cb92-c7fc-501d-800d-b5f34272e147","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Close Out","300.24 - As-built drawings"
"b02f3dd6-d341-5811-8bb9-8d86aad0d5aa","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Close Out","HOLDPOINT"
"31c65237-2d13-5821-b54d-0fd35115ac26","","checkpoint-status","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Close Out","Client Final Inspection - the signature below verifies that this ITP has been completed in accordance with NZTA Specifications and verifies lot compliance."
"2af607d7-e799-5731-92e5-3ed71986ca20","","holdpoint","not-started","","","TRUE","TRUE","Zone 1","Eastbound","Stormwater","ITP - Stormwater CP 03-03","Close Out","Add Signature"
