"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"802deb95-ea9a-42c2-839f-2cf2608008e4","","folder-normal","not-started","","step","TRUE","FALSE","Elevation / Zone 2"
"52bfde7a-8a00-4925-9cec-74896d6c7334","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 2","W.203-01"
"e95b998a-dc66-492c-b5f7-c65df48b0390","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 3","W311-02"
"cabd17f8-e7f3-55ff-9e42-1611b9ab1a4c","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 3","W311-02","Opening Prepared, Wrapped & Datums"
"824675a7-ead3-5f97-ae5b-01b976a6a8b0","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 3","W311-02","Seismic Installed As Per Shop Drawings"
"e5ff6196-945b-5afc-8b58-e25e93d99d36","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 3","W311-02","Splicers & Soakers Sealed (provide photo reference)"
"db5ce26b-f350-5115-b19e-bdcd19a3fb33","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 3","W311-02","Panel Fitted & Locked Off"
"223f706d-7cc2-5a6a-a7c2-f273f8a3fe5d","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 3","W311-02","Airseal and Internal Flashings (Photo)"
"0306d0b0-e57c-5c0f-9a4d-5223d686cbe6","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 3","W311-02","External Flashings / Weather Seals / Drainage"
"bf5558f4-4c2c-56b0-8b45-57e031ffa6ee","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 3","W311-02","Site Glazing Completed"
"084714bc-cb44-50cd-841f-42cf9593d43e","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 3","W311-02","Trade Clean"
"7d3f1393-0092-524d-b626-7d08527bed5d","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 3","W311-02","Wights - Sign Off"
"d5d812f7-3126-4eda-b062-5b22b10e031a","","folder-normal","not-started","","step","TRUE","FALSE","Elevation / Zone 4"
"61d5f2c4-b05c-4bf1-945b-ddc53475396f","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 4","W.401-01"
"9ea97dbc-1c81-57a8-a355-7b833caf0b38","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 4","W.401-01","Opening Prepared, Wrapped & Datums"
"f7e2420c-43f1-50e2-9e74-87baf8beaad1","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 4","W.401-01","Seismic Installed As Per Shop Drawings"
"44a68e8b-05b1-559d-a385-ba6487e06b10","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 4","W.401-01","Splicers & Soakers Sealed (provide photo reference)"
"2c94c253-d24c-58d4-b063-da8fcb8d03f5","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 4","W.401-01","Panel Fitted & Locked Off"
"c8e39572-4ff8-58de-a227-0919843b7170","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 4","W.401-01","Airseal and Internal Flashings (Photo)"
"c99d3f31-7cd7-548d-a2a5-860bf5c1a8f2","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 4","W.401-01","External Flashings / Weather Seals / Drainage"
"338b85f5-e87e-57f1-87b5-c4ef29dd5f06","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 4","W.401-01","Site Glazing Completed"
"b14cab20-1849-589e-b5ae-46c2223f3afa","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 4","W.401-01","Trade Clean"
"ec721bda-6a3e-5f59-9ea4-03cffef6bccc","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 4","W.401-01","Wights - Sign Off"
"0921382b-a6a9-497b-b45d-102d8827f01e","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 4","W.401-02"
"711e1922-a96c-5872-80e8-93394431f2ca","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 4","W.401-02","Opening Prepared, Wrapped & Datums"
"fc3c68ba-f698-5468-89fc-11911ac1c8c3","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 4","W.401-02","Seismic Installed As Per Shop Drawings"
"e2de39cc-c23a-50ab-a92f-273d1d557819","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 4","W.401-02","Splicers & Soakers Sealed (provide photo reference)"
"ee2bb699-c399-5285-9286-77ceafe505b0","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 4","W.401-02","Panel Fitted & Locked Off"
"c6aca4df-d1fb-51e1-8f53-b2fcce9f9e4b","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 4","W.401-02","Airseal and Internal Flashings (Photo)"
"c5fe13ee-ff89-5e99-8f8f-8911acc4a32c","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 4","W.401-02","External Flashings / Weather Seals / Drainage"
"ddc00a84-26ae-5fa8-b826-3d97c00cee88","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 4","W.401-02","Site Glazing Completed"
"2e4b7503-702a-5098-8fd5-007271ccb4cb","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 4","W.401-02","Trade Clean"
"5486fa03-7b50-5408-abd2-32161ec7153d","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 4","W.401-02","Wights - Sign Off"
"e36deecf-1dc4-48c9-82a4-260f75d80a7c","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 4","W.401-03"
"24bd6a39-c848-5168-a4d6-bca5eb8db014","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 4","W.401-03","Opening Prepared, Wrapped & Datums"
"ab038538-392a-57a6-809d-638a93413490","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 4","W.401-03","Seismic Installed As Per Shop Drawings"
"336a2d68-1054-5054-b49d-4a10dae969d6","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 4","W.401-03","Splicers & Soakers Sealed (provide photo reference)"
"2beed76f-ce49-5703-8c7c-3e3d87c89f41","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 4","W.401-03","Panel Fitted & Locked Off"
"51d944d1-a775-5246-bcca-8c571e7cd8d0","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 4","W.401-03","Airseal and Internal Flashings (Photo)"
"1081a97a-9afe-55eb-85ac-a7b6d1b5380e","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 4","W.401-03","External Flashings / Weather Seals / Drainage"
"01633694-bf51-56d6-8c64-06a6c814145e","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 4","W.401-03","Site Glazing Completed"
"c4a80b1b-dd29-5265-801b-131e308f1aae","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 4","W.401-03","Trade Clean"
"7a2886d7-ce6c-5ce9-b0e1-4d056a0493e8","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 4","W.401-03","Wights - Sign Off"
"f1ad89fa-572c-44dc-b81d-fa0f36aed65a","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 4","W.405-02"
"2d19283a-2985-524b-81ed-42ab20b6b864","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Opening Prepared, Wrapped & Datums"
"7a4f2284-3df5-5529-9222-9f6053eb6a2e","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Seismic Installed As Per Shop Drawings"
"87df4ce8-42a2-5926-b8b5-9bc876e1fd97","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Splicers & Soakers Sealed (provide photo reference)"
"9fc119d9-0e95-5959-8990-403482f886b7","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Panel Fitted & Locked Off"
"87ee38af-f63f-5bc8-9619-b3b87d2847a0","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Airseal and Internal Flashings (Photo)"
"071e8911-9a39-5861-bc49-5a31b8859907","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 4","W.405-02","External Flashings / Weather Seals / Drainage"
"7c1117aa-75d1-5d46-8aa0-4847ba919cc0","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Site Glazing Completed"
"f562098e-3ebc-517a-a0e6-04c6ceb4cda4","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Trade Clean"
"8c666a0a-0f74-5f59-a3ca-d7161746077a","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Wights - Sign Off"
"862f3daa-6a72-4e2b-a503-73668d0a85bb","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 4","W.405-03"
"ff9115e2-1b78-5641-85b6-ad2fac2b13ac","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 4","W.405-03","Opening Prepared, Wrapped & Datums"
"4bb79671-98af-5292-b1b4-cd6e422486fe","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 4","W.405-03","Seismic Installed As Per Shop Drawings"
"2098e6df-8599-5b0b-8d08-c9490f6fadad","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 4","W.405-03","Splicers & Soakers Sealed (provide photo reference)"
"78936c9b-21a5-5ea2-92dd-352f7cea5312","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 4","W.405-03","Panel Fitted & Locked Off"
"27ef28d7-3202-51c0-b733-543232d865ae","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 4","W.405-03","Airseal and Internal Flashings (Photo)"
"0f97ae1d-1e1f-52ed-997f-948580cfab02","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 4","W.405-03","External Flashings / Weather Seals / Drainage"
"b23d1bfb-a4e9-54f4-89c0-e7bd7beda9d1","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 4","W.405-03","Site Glazing Completed"
"99147711-7ca2-549a-a1ed-de07c7b08af2","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 4","W.405-03","Trade Clean"
"42df9d35-0d74-5b67-8e73-651e2615e0a0","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 4","W.405-03","Wights - Sign Off"
"c3a46388-5744-477d-b705-a5a992a2f6d8","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 4","W.405-04"
"b7ab8e46-b942-552b-aa98-19d2e95f4c34","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 4","W.405-04","Opening Prepared, Wrapped & Datums"
"9e868e11-0b18-5601-9dd2-6fa3ca012963","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 4","W.405-04","Seismic Installed As Per Shop Drawings"
"a3a07e87-2e80-5a77-9c9d-421586dae36f","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 4","W.405-04","Splicers & Soakers Sealed (provide photo reference)"
"c38ba3d6-8b20-50a5-961c-acf6f3904ee0","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 4","W.405-04","Panel Fitted & Locked Off"
"8fcc76b0-fed7-5b41-b143-192dc66d283c","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 4","W.405-04","Airseal and Internal Flashings (Photo)"
"827f8f6f-c986-5835-aeb7-955fbb31022b","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 4","W.405-04","External Flashings / Weather Seals / Drainage"
"221aca78-94aa-584c-9f69-d361a952ab66","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 4","W.405-04","Site Glazing Completed"
"23c397d9-ad05-5d75-ab4d-c71617175fc4","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 4","W.405-04","Trade Clean"
"17f644b1-dd72-5a57-9538-dba6002bd95e","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 4","W.405-04","Wights - Sign Off"
"4adb50d1-f5a0-4e64-a5db-65c9f217b541","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 4","W.405-05"
"7acb2ab7-fd37-5ccd-8e11-a3f15c779724","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 4","W.405-05","Opening Prepared, Wrapped & Datums"
"a725ed2c-4791-5f51-8f6a-75723066dae5","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 4","W.405-05","Seismic Installed As Per Shop Drawings"
"c0335488-67d8-5294-a726-5662d0dc0ea4","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 4","W.405-05","Splicers & Soakers Sealed (provide photo reference)"
"71477f66-6019-5cf9-b679-954e9875fa0d","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 4","W.405-05","Panel Fitted & Locked Off"
"faa9c49f-2814-5c37-9dfc-bdf517394c58","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 4","W.405-05","Airseal and Internal Flashings (Photo)"
"faf684ee-1add-5c4d-9af8-385223b174bc","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 4","W.405-05","External Flashings / Weather Seals / Drainage"
"7262c910-548c-593b-828d-c3d6e8d84f5f","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 4","W.405-05","Site Glazing Completed"
"7ce42f77-1f01-5248-9a4f-1066727f09e0","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 4","W.405-05","Trade Clean"
"6349dc0e-8c68-57e6-95b6-a1c5a5f81da1","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 4","W.405-05","Wights - Sign Off"
"f24c1163-3ae2-42d9-8309-9a04816ae963","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 4","W.405-02"
"f3218090-8d37-5c00-9378-ee7fc26cca75","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Opening Prepared, Wrapped & Datums"
"bf047016-a112-521f-8839-6b1a01c9e6ec","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Seismic Installed As Per Shop Drawings"
"9c40bc70-04a5-50d7-b3b0-101793692ca0","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Splicers & Soakers Sealed (provide photo reference)"
"d57bcc9e-c84c-52b5-95ec-8f0e6ef27967","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Panel Fitted & Locked Off"
"51908e52-5740-5377-9c81-1c8c1a667f64","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Airseal and Internal Flashings (Photo)"
"ba537136-7067-59e6-891d-5da4f175cea1","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 4","W.405-02","External Flashings / Weather Seals / Drainage"
"99132e3d-0aa2-5b04-88db-508429f215e8","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Site Glazing Completed"
"1adcbdff-abb0-54d1-8f8f-a65707eb7bd7","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Trade Clean"
"816c2783-83a8-5308-bd7a-7a42ee864730","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 4","W.405-02","Wights - Sign Off"
"39f66ff2-2582-4220-91e1-6b90103b662d","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 4","W.407-03"
"cb98faa8-d180-53e8-8250-68e2106fb5c9","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 4","W.407-03","Opening Prepared, Wrapped & Datums"
"2d4fe9dd-721c-5091-ac84-02936b2af0ff","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 4","W.407-03","Seismic Installed As Per Shop Drawings"
"31e6568a-b772-5acf-a158-e9509adc9acb","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 4","W.407-03","Splicers & Soakers Sealed (provide photo reference)"
"eddeb4c8-456d-50fb-a5e4-ee186e305456","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 4","W.407-03","Panel Fitted & Locked Off"
"10366cd9-71c2-596c-b0e8-9e83a7962eab","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 4","W.407-03","Airseal and Internal Flashings (Photo)"
"aa8c9286-cf76-5844-b0ff-51a25c602121","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 4","W.407-03","External Flashings / Weather Seals / Drainage"
"c52a1c61-6d4e-5db3-8bce-ed8865ea4542","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 4","W.407-03","Site Glazing Completed"
"30b77c27-2fbb-5fb3-bc3f-6f294785f9f4","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 4","W.407-03","Trade Clean"
"0edab36c-5045-59ce-ad89-9b2ddd1dba0b","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 4","W.407-03","Wights - Sign Off"
"85710471-e7fc-4e24-bc0e-26cd668f7941","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 4","W.408-02"
"309acfdc-7398-5a0e-8704-760aa70f4e92","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 4","W.408-02","Opening Prepared, Wrapped & Datums"
"ae4405da-fdad-5e78-b095-f6dba0f6937d","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 4","W.408-02","Seismic Installed As Per Shop Drawings"
"b2ed232e-ab76-5fc7-b368-af1ef7b85500","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 4","W.408-02","Splicers & Soakers Sealed (provide photo reference)"
"d858d636-d666-51b0-96f7-e1369d315c39","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 4","W.408-02","Panel Fitted & Locked Off"
"23c37b65-fe5f-5497-97e2-9f8858f30b61","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 4","W.408-02","Airseal and Internal Flashings (Photo)"
"de15e142-ba70-5ef6-97fa-2d46767810c5","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 4","W.408-02","External Flashings / Weather Seals / Drainage"
"411c7f48-4bfa-5c84-a7fd-51fad0182ad8","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 4","W.408-02","Site Glazing Completed"
"25ceba09-8fa3-5e8e-8f71-72ec103db4c3","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 4","W.408-02","Trade Clean"
"0967508f-827e-5215-90fb-9f0ab3e41fa0","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 4","W.408-02","Wights - Sign Off"
"2c3f5fbf-49a4-47b7-8afd-628c8aaf74de","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 4","W.408-03"
