"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"416372f5-c273-4a25-952a-6b279f3e408a","","","","folder","TRUE","FALSE","Entire Village"
"aad06648-b0c9-4532-b1ed-862af2cc838a","","","Independent Apartments - Cook - 176","checklist","FALSE","FALSE","Independent Apartments - Cook","138. Independent Apartments - Cook - 176"
"329dc339-db87-4b26-8344-939f25cd1e4b","","","Independent Apartments - Tenzing/Cook/Ross - 250/452/178/271/372/388","checklist","FALSE","FALSE","Independent Apartments - Cook","139. Independent Apartments - Cook - 178"
"702ea1e2-d0d7-4b27-99e8-d9f613644734","","","Independent Apartments - Tenzing/Cook/Ross - 250/452/178/271/372/388","checklist","FALSE","FALSE","Independent Apartments - Cook","140. Independent Apartments - Cook - 271"
"caff7e62-6afe-4093-a514-e9ce8ad37fe8","","","Independent Apartments - Cook - 279","checklist","FALSE","FALSE","Independent Apartments - Cook","141. Independent Apartments - Cook - 279"
"71e3dec6-bae0-476f-b591-7be1d3eb9502","","","Independent Apartments - Tenzing/Cook/Ross - 250/452/178/271/372/388","checklist","FALSE","FALSE","Independent Apartments - Cook","142. Independent Apartments - Cook - 372"
"0544f4d1-71fe-45ca-a64b-a72f4ddb89fd","","","Rest Home/Independent Apartments - Shackleton/Cook/Everest/Ross - Lounge 2/341/G77/374/170/191","checklist","FALSE","FALSE","Independent Apartments - Cook","143. Independent Apartments - Cook - 374"
"ca2bb2db-e3b0-43fa-99e4-0f61fd9e7cbf","","","","folder","TRUE","FALSE","Independent Apartments - Everest"
"4302a6ec-bee5-4e0a-8172-a0f8d0129d31","","","Independent Apartments - Everest - 163","checklist","FALSE","FALSE","Independent Apartments - Everest","144. Independent Apartments - Everest - 163"
"fe6336e3-3780-4e1c-a24a-dce09572f087","","","Rest Home/Independent Apartments - Shackleton/Cook/Everest/Ross - Lounge 2/341/G77/374/170/191","checklist","FALSE","FALSE","Independent Apartments - Everest","145. Independent Apartments - Everest - 170"
"4991df8c-bf5e-423c-82d8-3015cf5fc18a","","","Independent Apartments - Everest - 263","checklist","FALSE","FALSE","Independent Apartments - Everest","146. Independent Apartments - Everest - 263"
"6ed46097-943a-490d-a1f4-e4dc5ec11d9e","","","Serviced Apartments/Independent Apartments Everest - 318/266","checklist","FALSE","FALSE","Independent Apartments - Everest","147. Independent Apartments - Everest - 266"
"0102b70f-6b52-4967-a612-d2156083a478","","","","folder","TRUE","FALSE","Independent Apartments - Ross"
"9f19b866-bff2-4d87-b26a-08a292545fc5","","","Rest Home/Independent Apartments - Shackleton/Cook/Everest/Ross - Lounge 2/341/G77/374/170/191","checklist","FALSE","FALSE","Independent Apartments - Ross","148. Independent Apartments - Ross - 191"
"ecc45f81-169a-4a75-9d97-97a8f719aaee","","","Independent Apartments - Ross - 285","checklist","FALSE","FALSE","Independent Apartments - Ross","149. Independent Apartments - Ross - 285"
"afe6d647-305c-446c-a67a-da2dafd33a53","","","Independent Apartments - Tenzing/Cook/Ross - 250/452/178/271/372/388","checklist","FALSE","FALSE","Independent Apartments - Ross","150. Independent Apartments - Ross - 388"
"3eaacb94-04cb-47a1-b3a2-8f944085bbb5","","","","folder","TRUE","FALSE","Independent Apartments - Nepal"
"2de3ac1c-f573-415b-9c09-2a26399ca46c","","","Independent Apartments - Nepal - 301","checklist","FALSE","FALSE","Independent Apartments - Nepal","151. Independent Apartments - Nepal - 301"
"e8ad3689-b7ab-47ac-85af-9635e84b6789","","","Independent Apartments - Nepal - 302","checklist","FALSE","FALSE","Independent Apartments - Nepal","152. Independent Apartments - Nepal - 302"
