Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6
8b4c6e28-eb46-4012-8e68-4d56e867fdc2,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 10,10.23,ENSUITE Fit Off,
4322f3c5-f7a2-4df6-8013-7404ebbbeba1,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 10,10.24,ENSUITE Fit Off,
c17bfd5a-2f01-4136-b201-5b34471842a9,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 10,10.25,ENSUITE Fit Off,
e8655004-c9ca-446c-87f0-0226dc199a74,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 10,10.26,ENSUITE Fit Off,
e8f60495-4e90-4964-9231-6e22afd1b801,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 10,10.27,ENSUITE Fit Off,
549c276b-7095-4bb9-a7b1-7908bc8c3e6f,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 11,11.01,ENSUITE Fit Off,
33df5f45-a29e-4bf9-9577-00a2d7dcb786,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 11,11.02,ENSUITE Fit Off,
518a478e-2560-4772-bcf8-f3c4cf9c3bf3,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 11,11.12,ENSUITE Fit Off,
2e0f0565-42f0-40ee-969c-b0a7916eab9c,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 11,11.13,ENSUITE Fit Off,
0420b754-7c3d-49b5-8426-8c35854fe948,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 11,11.14,ENSUITE Fit Off,
86055c1c-4d48-45ad-86db-7d94d065bb75,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 11,11.23,ENSUITE Fit Off,
d1d067b3-43ca-41a3-9cff-9fec220f0ca0,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 11,11.24,ENSUITE Fit Off,
0f7ac034-fe49-4891-bcb8-812fc1b982b3,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 11,11.25,ENSUITE Fit Off,
428bc45d-38bf-4feb-aa3c-4f54c3b43af7,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 11,11.26,ENSUITE Fit Off,
eb008056-88df-42d9-9929-1b9565f35e7a,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 11,11.27,ENSUITE Fit Off,
2b084545-cacc-469c-b5e6-d0ca3e50c061,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.01,ENSUITE Fit Off,
93fe8085-f031-4ee8-94ff-69e149af021d,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.02,ENSUITE Fit Off,
2edfdb3c-a8f7-4bed-bc25-1565d13d868b,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.03,ENSUITE Fit Off,
ac36abac-ad14-4b1e-a182-fc93392f4e2b,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.04,ENSUITE Fit Off,
ad6b4482-1c31-40ae-9dc4-16478c5e92d7,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.05,ENSUITE Fit Off,
1da0b804-635f-4d74-856f-1fb309d01d9c,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.08,ENSUITE Fit Off,
ef6518ad-0a49-4f8a-bd6f-f735539220ab,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.09,ENSUITE Fit Off,
50610a9e-31a5-42c4-91ce-4f2d87ed7cf1,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.11,ENSUITE Fit Off,
f7115118-4067-4f68-80ab-f969074de3ba,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.12,ENSUITE Fit Off,
27b46d8b-3c90-4607-a96f-cea7a37249a6,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.13,ENSUITE Fit Off,
d079067d-1f64-45fc-bbed-355d2ad3baf0,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.15,ENSUITE Fit Off,
11d6709a-2b84-4861-b5e7-888d42353b85,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.16,ENSUITE Fit Off,
655ccda3-2716-4c4e-8859-aed806866277,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.17,ENSUITE Fit Off,
1c201515-b7bc-4a82-b87b-493c265eb512,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 12,12.18,ENSUITE Fit Off,
5bba24e5-53cc-4576-9c1f-1749d468eeed,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.01,ENSUITE Fit Off,
39af68f5-434e-4184-b9f7-3639b6c56949,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.02,ENSUITE Fit Off,
d74e7039-c566-41b9-8375-5dea2750127d,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.03,ENSUITE Fit Off,
b7d47b41-3aa1-43f0-ac9d-0037a1d5bba2,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.04,ENSUITE Fit Off,
c7096679-5c19-4ae7-8adb-fcc325baf452,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.05,ENSUITE Fit Off,
ee80d6a6-0f00-4600-b189-3461655ca481,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.07,ENSUITE Fit Off,
88ae58d1-3ed9-4516-8976-3bdd01c5582b,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.08,ENSUITE Fit Off,
66992662-947e-4325-9956-5ff8d7723ad4,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.09,ENSUITE Fit Off,
2d7144e9-e8ca-4bf7-8946-5a3f1c92f857,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.1,ENSUITE Fit Off,
1e7ded40-141b-4c93-be9c-4fabd16a4ba0,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.11,ENSUITE Fit Off,
e9744c92-490d-42b1-aaab-03d41bc6d028,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.13,ENSUITE Fit Off,
9221605d-69c7-4997-a1d5-80ee9e2c5cee,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.14,ENSUITE Fit Off,
dc7a8b15-bdea-40f9-a3dd-bc03ea3b7172,,,ENSUITE Fit Off,checklist,FALSE,FALSE,Site QA,Fit Off,Level 13,13.15,ENSUITE Fit Off,
304ddd0d-7cc5-469e-aa54-1463067d10ad,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 1,01.13,ENSUITE Commissioning,
f55aa66a-34de-486d-8afd-4c1c495392b5,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 1,01.14,ENSUITE Commissioning,
407f0631-ea84-4563-a34c-1127cdc601ac,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 1,01.17,ENSUITE Commissioning,
1ebfbd09-074f-4e74-ab62-6861f82f3aba,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 1,01.24,ENSUITE Commissioning,
1df6bfee-d419-4bb5-928d-e2e6704f72a2,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 1,01.25,ENSUITE Commissioning,
1bb20002-0581-4734-8359-ce2d73e7a3e2,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 1,01.26,ENSUITE Commissioning,
1c805d12-037f-4ed6-979c-ef099dcecaa2,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 1,01.29,ENSUITE Commissioning,
e959e163-a292-4f22-ba14-9f8d6067450a,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 1,01.30,ENSUITE Commissioning,
aa822693-3c72-41e1-87fe-24ae34bf8d07,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 2,02.01,ENSUITE Commissioning,
1fe2fa84-35a6-4339-a27d-f7b816ead9c9,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 2,02.02,ENSUITE Commissioning,
a98583dd-3e08-4304-ad9c-a5e379e231bf,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 2,02.14,ENSUITE Commissioning,
e77d8803-e95b-4009-9b7c-bac7bb9b5c6b,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 2,02.15,ENSUITE Commissioning,
aa0698e3-cb84-47f9-a098-6965c606def9,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 2,02.18,ENSUITE Commissioning,
f21f4ef8-da76-49bd-a18a-01b7db34a97c,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 2,02.27,ENSUITE Commissioning,
329d8228-5448-4c7c-876b-4f91a9ff4d4c,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 2,02.28,ENSUITE Commissioning,
248a18a6-4a36-41ad-9921-bd43679564d4,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 2,02.32,ENSUITE Commissioning,
39175fba-72b0-4be0-b797-ca0b4e18b03c,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 2,02.33,ENSUITE Commissioning,
c36f5a17-1df4-4992-8664-b66d9057475e,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 3,03.01,ENSUITE Commissioning,
f4dbacf2-a1ee-4d2b-9874-554d24899e98,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 3,03.02,ENSUITE Commissioning,
42d04e6c-c960-42f2-81b5-26acecdb5ad9,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 3,03.14,ENSUITE Commissioning,
1221c2da-21c3-4e75-bcd8-1f5139bf241b,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 3,03.15,ENSUITE Commissioning,
48c441eb-d982-441c-8195-0ba113d2a72b,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 3,03.18,ENSUITE Commissioning,
230696a2-9ad1-4cb4-aca2-44892221790c,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 3,03.27,ENSUITE Commissioning,
c3da3c29-a44f-4d33-8852-f6fb83b2cb6e,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 3,03.28,ENSUITE Commissioning,
4c806b34-8ac6-4f17-ad2e-55722f5cade8,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 3,03.32,ENSUITE Commissioning,
101bef4c-7c94-4a2f-bb6c-59621acccc30,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 3,03.33,ENSUITE Commissioning,
b28e81e5-f5b3-448e-a74d-6be741966999,,,ENSUITE Commissioning,checklist,FALSE,FALSE,Site QA,Commissioning,Level 4,04.01,ENSUITE Commissioning,
