"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"04580ef3-c649-440f-82a1-570ff7065ef4","","folder-normal","","","step","TRUE","FALSE","Ground"
"ca22566b-708b-45bb-b66e-1e64cf118f01","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.1-W1"
"81696443-1358-5ff9-8285-b67dd7cbcc39","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.6-DE7","Glass installed correct way around"
"a60958a1-d7a8-57c2-b537-bf7dc731bbdf","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.6-DE7","Beads installed"
"02e38201-2592-5c7c-9c28-5b72f79be9c6","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.6-DE7","Wedge installed"
"01e865f7-021c-5a48-ae9f-1b9d090047b1","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.6-DE7","Trade clean"
"c3145d16-b79d-46bb-a9a8-ba5743b77a0e","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.7-DE7"
"8d9ec8a5-7ba7-555b-bd13-aa3b195d022e","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.7-DE7","Frame prep"
"d1e41bc8-6c4a-560e-af5d-7dc505d5b6e8","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.7-DE7","Glass installed correct way around"
"73e72480-9c06-5c0e-abf4-9e0c6e7f41bb","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.7-DE7","Beads installed"
"a40528fd-7de3-5ff5-85c9-5a41339a3d1e","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.7-DE7","Wedge installed"
"f2c48442-4db0-56de-aba5-5daf1acf59c7","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.7-DE7","Trade clean"
"6211cf86-5a30-45a5-b144-1ca72ca4a506","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.W101"
"6e3b9be5-df0a-5cd6-ac3d-a7fbf89023e1","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.W101","Frame prep"
"9e1e7d47-25b2-5057-9e57-a9d90dda54a2","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.W101","Glass installed correct way around"
"3e1140d2-abd9-5e6d-a00c-25c2a93ae03d","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.W101","Beads installed"
"75a24900-e5fe-5f2c-8fa0-4f6817ece340","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.W101","Wedge installed"
"b1fac469-7523-59bb-a1a7-5837a1a9152e","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.W101","Trade clean"
"e156e37e-0459-4b32-83e1-a21629634911","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.W100"
"070a726d-0137-5b73-886a-206b21433901","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.W100","Frame prep"
"cff8aa02-04b3-59da-b807-702ec6e67fa3","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.W100","Glass installed correct way around"
"3d7b5ce0-25b0-5647-9cce-b0f8a9fda30c","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.W100","Beads installed"
"b2b5724a-8584-54b1-ac86-56d1b55f2d3a","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.W100","Wedge installed"
"6f7fc85f-fcde-5fe1-a55f-0ecc162fdfa2","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.W100","Trade clean"
"6b309381-4b6c-4df2-9ac1-0d30e0e50789","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.DE101"
"199ca414-db49-5f53-986c-5bb417e2a371","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.DE101","Frame prep"
"4f1edbcb-90f3-579e-8443-cd78fb2b4e21","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.DE101","Glass installed correct way around"
"0c3af444-b3d4-5b50-86a1-568f9b763734","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.DE101","Beads installed"
"2cd578ee-cc86-5983-9369-4bb706fbbe59","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.DE101","Wedge installed"
"c4e6dcbf-c778-519b-b80e-2ec140ab19f6","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.DE101","Trade clean"
"c0b45df4-9287-4e64-afbc-97c80dd60db4","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.W103"
"f22e5160-5756-5170-a7b1-003dd768cae5","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.W103","Frame prep"
"31480a9d-74ea-5761-9ef2-41b77f465d1b","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.W103","Glass installed correct way around"
"31f4730e-776a-5573-a93a-f78db1f8194c","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.W103","Beads installed"
"c10f7e19-f612-58b7-a257-62a78df52aae","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.W103","Wedge installed"
"74d8bcff-ee1d-5705-b329-32e16f411814","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.W103","Trade clean"
"7d7510ce-3edd-4f2f-a4f4-c477a254da56","","folder-normal","","","step","TRUE","FALSE","Level 1"
"f58b218f-f171-4def-af52-c9a5c874a69a","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.1-W1"
"42b41709-8439-5b8a-9f82-ff634e8144f7","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.1-W1","Frame prep"
"e1909f5b-daa7-5fc7-b251-0fd6bb5f6b8f","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.1-W1","Glass installed correct way around"
"e46ae7cb-8963-5f50-8326-444436718a10","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.1-W1","Beads installed"
"aa60bdbc-98cf-5d33-81d8-0e0d9f055a1d","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.1-W1","Wedge installed"
"7dc95959-b647-5839-b379-3e15011c88b6","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.1-W1","Trade clean"
"6ff6b605-1418-4f08-aa96-db29f6cceba1","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.1-W2"
"d1cbe730-9f7c-5d44-9710-d3c8cc4f13f0","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.1-W2","Frame prep"
"c567847d-1a77-5bdb-a3c6-83b281e304c3","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.1-W2","Glass installed correct way around"
"7ebe417a-a510-59d4-bd7d-988ed16d5811","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.1-W2","Beads installed"
"4ecfe9be-6e2c-5257-88ed-62af6098691a","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.1-W2","Wedge installed"
"db735cc4-feb3-5d9d-b4a3-75565738a164","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.1-W2","Trade clean"
"b13b8563-b5cb-4ce8-8741-eea49da55f93","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.1-W3"
"bcd993fa-a249-5e8e-a17c-cda71baebeb7","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.1-W3","Frame prep"
"0321bc4c-dfd0-5e81-b6c5-1799d570bf4f","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.1-W3","Glass installed correct way around"
"0d952bd7-f5b8-54bb-8610-27688e3ebcce","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.1-W3","Beads installed"
"04c4e6b2-dcd8-5368-ac14-d2ad548e4fef","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.1-W3","Wedge installed"
"106433aa-63a0-5826-bb39-dc9bb1d5f549","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.1-W3","Trade clean"
"d32f05d5-b210-49fc-b03e-d29d52def747","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.2-W1"
"6dd711b5-ba27-5176-bc0c-4169a4a09682","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.2-W1","Frame prep"
"c830c844-3a54-528e-9fc9-3fba04e5629a","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.2-W1","Glass installed correct way around"
"5dbc183f-8ad3-58ce-a4db-e0dd3d268480","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.2-W1","Beads installed"
"5b64b0f5-f9eb-5281-835e-089855ccbca5","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.2-W1","Wedge installed"
"6176c5f0-4648-5e34-acfc-298070553a4d","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.2-W1","Trade clean"
"2883d347-89ab-4d63-8c13-0ffbdb2c5945","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.3-W1"
"1a61ba1a-2990-5833-b4c6-bf0d5bc650ff","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.3-W1","Frame prep"
"1a89de9d-ea2e-52a3-8b53-cc9955e3459f","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.3-W1","Glass installed correct way around"
"d545aa92-a736-53c5-964c-46d8329d2949","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.3-W1","Beads installed"
"b5be0591-438c-5017-9b2f-909217a6af5c","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.3-W1","Wedge installed"
"c408af48-a018-5e86-b371-a7aec8abdc4c","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.3-W1","Trade clean"
"8fd286de-44b9-48a7-b9f8-f688f3eba91b","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.4-W3"
"3bb2a2a7-1737-520f-8b32-5148030046f7","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.4-W3","Frame prep"
"93b22d08-3e5d-5adf-b34d-112cf881a0b7","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.4-W3","Glass installed correct way around"
"187069dc-5cf5-5895-b3cb-31f9f73cfacb","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.4-W3","Beads installed"
"5a1dfc14-2e16-5bc3-9763-ff60d7278e2b","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.4-W3","Wedge installed"
"d0182234-49cd-5e96-a13b-dd6784321f7b","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.4-W3","Trade clean"
"b5641cf1-a3a6-442b-b510-63254557fe71","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.5-W1"
"85612840-ae9b-5aa6-bf96-413077f46bbb","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.5-W1","Frame prep"
"0d64e824-0139-5486-9b89-24c018ed23fa","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.5-W1","Glass installed correct way around"
"a01078c6-0c66-50b2-8399-51952638d70d","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.5-W1","Beads installed"
"1809deab-534f-5d5f-928d-7ceac94caffb","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.5-W1","Wedge installed"
"17e8d126-3cf8-5545-9cab-0f55702e0937","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.5-W1","Trade clean"
"fcb44884-0687-474a-8731-608aa84ef1c7","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.6-W2"
"4404fe6c-a775-56dd-bbbc-e7a802583120","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.6-W2","Frame prep"
"88352e81-1c4b-551f-b6c2-adabf33f3e81","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.6-W2","Glass installed correct way around"
"1a95fbb2-2fc2-5ed7-a90c-77ff8ca5d1ab","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.6-W2","Beads installed"
"c2b0ae91-81e4-5f38-bb71-87d9e96e2504","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.6-W2","Wedge installed"
"db7d92a5-d65d-5801-82d0-51bc15a012a1","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.6-W2","Trade clean"
"6149c9d8-ce06-457a-a1d9-f67fbb3d8c8c","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.7-W2"
"40b301d9-f060-5b8b-9da0-3b86d8465ed9","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.7-W2","Frame prep"
"bf0ccab4-46c3-5d0a-a171-b28ed40a9a91","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.7-W2","Glass installed correct way around"
"90204dd9-8ce5-57ec-a3d5-92f0e2b488ab","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.7-W2","Beads installed"
"692325fa-f225-5cac-9945-a2123f72db88","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.7-W2","Wedge installed"
"23dc61f2-b639-557d-9c93-78a6e501d675","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.7-W2","Trade clean"
"fe695e7c-b596-4752-bbd7-22217c46bc00","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.4-W1"
"dd562783-260a-5a59-a584-d751b31ffd74","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.4-W1","Frame prep"
"3b8d432a-c572-56e4-8b40-96054867b6bd","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.4-W1","Glass installed correct way around"
"e8d9239a-bc61-5f84-8cc1-348c312a6d37","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.4-W1","Beads installed"
"69230ff7-668e-56b4-9fe4-f85be645de2b","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.4-W1","Wedge installed"
"2e5ccbc9-654a-57cb-9fe5-fe68b7cd1501","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.4-W1","Trade clean"
"6620551d-bf11-42c3-b948-e229349df57e","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.5-W3"
"36efcdd1-3b8f-5a31-b4e2-85bd30637edd","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.5-W3","Frame prep"
"8908471c-7bbf-59a7-b303-c08db8ab1c22","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.5-W3","Glass installed correct way around"
"5f714c5f-846f-54ab-872b-42c04b0d7d84","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.5-W3","Beads installed"
"7f2cd854-03a7-5902-b474-8e62ac7421f2","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.5-W3","Wedge installed"
"ea451390-472f-5582-b811-12cd812e0dac","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.5-W3","Trade clean"
"931e9bb3-5206-4263-979a-acb5a83016cb","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.6-W1"
"6df351bf-304e-5528-a167-b2f3ae5881e7","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.6-W1","Frame prep"
"a71c23b5-fd37-5e25-a271-401781d07b33","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.6-W1","Glass installed correct way around"
"e5d5a8cf-d03c-5963-85cc-79103ef30a11","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.6-W1","Beads installed"
"739915f7-8c18-5342-ae55-2044d3527a5d","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.6-W1","Wedge installed"
"25850df7-13db-5061-aa86-9ca1cfe68cb6","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.6-W1","Trade clean"
"6fdb5912-b9fa-4421-8731-c658e88cb2b2","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.7-W1"
"d88dc423-0117-52d1-8da7-1d458c50a9b6","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.7-W1","Frame prep"
"8d29a809-3274-5032-a903-2fc88fa90208","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.7-W1","Glass installed correct way around"
"be86c2e9-e7e9-5e00-b65b-254b8dae86d5","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.7-W1","Beads installed"
"932526eb-e05a-5919-8ded-feb8dd607c64","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.7-W1","Wedge installed"
"4ae9c633-b9b6-5a6d-8164-de7421075235","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.7-W1","Trade clean"
"e9d06506-e042-4a2c-83f8-ca99beb57f5e","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.4-W2"
"c8808d86-e875-5279-aafd-f319c6bfb566","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.4-W2","Frame prep"
"066673ba-2ce0-5e0a-b31f-3b499c440dfb","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.4-W2","Glass installed correct way around"
"084e8c1b-a917-5f07-83e0-5a0eb3b423f1","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.4-W2","Beads installed"
"3f5ada96-91ee-50a1-bf0e-43c4116741c4","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.4-W2","Wedge installed"
"854df4b3-1a64-557a-900c-38d08db88fae","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.4-W2","Trade clean"
"37ac7a19-9abd-49e3-9e2f-4ff3a92ca4c2","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.W104"
"b2fb1bc2-14dc-5063-bdd8-bcf9f4a97952","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.W104","Frame prep"
"e2ae85fd-6609-5d39-a9b6-8d1066db2fa6","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.W104","Glass installed correct way around"
"c12ad694-a079-5ee8-881c-564d984f27c2","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.W104","Beads installed"
"ee4f6587-a9f7-554a-a6ad-b0041a387410","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.W104","Wedge installed"
"472e27e7-65e7-57fd-bea4-22ddcbca8238","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.W104","Trade clean"
"68d0bac8-cc65-441b-9a86-8510935718a8","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.5-W2"
"34ed8bc5-3ef3-566f-bd10-84559e593d16","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.5-W2","Frame prep"
"f9e85fe0-ac19-571e-8758-8f76a943719c","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.5-W2","Glass installed correct way around"
"6fdb779b-5eaf-59e1-8074-a1ccf70b00cc","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.5-W2","Beads installed"
"8345310d-fd72-52ec-9873-66b36c68fca1","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.5-W2","Wedge installed"
"7e61a802-1df2-5005-bc8c-ac3e9f84fd49","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Level 1","1.5-W2","Trade clean"
"f9a85d18-0da8-4484-8c8f-8d9ff79d703d","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Level 1","1.W105"
"4eb95aca-4bc5-526e-b148-7ec549fbcf8f","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Level 1","1.W105","Frame prep"
"b2696c98-dd57-50d1-becd-42a5bc689953","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Level 1","1.W105","Glass installed correct way around"
"934d5d89-c1d2-5da3-8d16-a14b928892d6","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Level 1","1.W105","Beads installed"
"3d8adc5b-193f-5126-882a-708393cbf55d","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Level 1","1.W105","Wedge installed"
