resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,624. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,625. HOUSE KEEPING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,626. SERVICE LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,627. STAIR 2,,,,,,,,,,,,,,,,,
,step,,,,Level 7,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,701. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,702. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,703. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,704. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,705. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,706. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,707. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,708. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,709. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,710. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,711. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,712. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,713. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,714. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,715. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,716. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,717. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,718. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,719. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,720. ROOM (ACC),,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,721. STAIR 1,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,722. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,723. LIFT LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,724. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,725. HOUSE KEEPING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,726. SERVICE LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,727. STAIR 2,,,,,,,,,,,,,,,,,
,step,,,,Level 8,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,801. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,802. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,803. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,804. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,805. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,806. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,807. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,808. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,809. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,810. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,811. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,812. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,813. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,814. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,815. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,816. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,817. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,818. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,819. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,820. ROOM (ACC),,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,821. STAIR 1,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,822. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,823. LIFT LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,824. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,825. HOUSE KEEPING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,826. SERVICE LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,827. STAIR 2,,,,,,,,,,,,,,,,,
,step,,,,Level 9,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,901. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,902. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,903. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,904. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,905. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,906. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,907. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,908. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,909. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,910. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,911. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,912. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,913. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,914. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,915. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,916. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,917. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,918. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,919. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,920. ROOM (ACC),,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,921. STAIR 1,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,922. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,923. LIFT LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,924. CORRIDOR,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,925. HOUSE KEEPING,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,926. SERVICE LOBBY,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,927. STAIR 2,,,,,,,,,,,,,,,,,
,step,,,,Level 10,,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1001. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1002. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1003. ROOM,,,,,,,,,,,,,,,,,
QA - Painting,folder-with-checklists,,,,,1004. ROOM,,,,,,,,,,,,,,,,,
