"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8b19d7f2-a6bb-43f9-8a0c-ffa1cbd1cb5c","","folder-normal","fail","","step","TRUE","FALSE","Asphalt Production"
"3899b0b0-f456-4237-acde-bbb35821633f","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221213-PI-022 ITP012"
"53a6f82a-a309-4c74-a30b-453e7da8490e","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221213-SC-000 ITP012"
"fdf9c426-e44d-4e22-bea1-c42313f3f6de","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221212-SC-000 ITP012 "
"03def892-2b06-46b7-b87c-bcb933fd7a6b","","checklist-sectioned","work-in-progress","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221215-PB-023 ITP012 "
"64b75dce-64db-4af9-9883-28781100b636","","checklist-sectioned","work-in-progress","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221215-PI-023 ITP012"
"9817ac0b-64db-46d0-ac18-87cd6aad995b","","checklist-sectioned","work-in-progress","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221219-PB-024 ITP012 "
"a95d4987-2087-4ab5-8842-6a423076395f","","checklist-sectioned","work-in-progress","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221219-PI-024 ITP012 "
"4b1f7777-e3fb-4ba6-8d5f-9f006e39c70d","","checklist-sectioned","pass","9b6f6ed9a1ed0afac383f04eb103c7dd80121a08e8667d9439caa00740db1849","checklist","FALSE","FALSE","Asphalt Placement","221219-PB-000 ITP012 - Asphalt Placement"
"c7908ac9-593a-4a29-aad1-c440f3bd9090","","folder-normal","work-in-progress","","step","TRUE","FALSE","Line Marking"
"4a4b521a-ea30-4a10-9348-3aafc0c1be45","","checklist-sectioned","pass","cd1d83d01f05c2bfc2aa6c8b418ae4c1699bdc925abb60addfd974ec432dd248","checklist","FALSE","FALSE","Line Marking","221106-SC-001"
"7345eedc-2f84-4ba3-93f5-bad44ef6c18c","","checklist-sectioned","pass","cd1d83d01f05c2bfc2aa6c8b418ae4c1699bdc925abb60addfd974ec432dd248","checklist","FALSE","FALSE","Line Marking","221107-PB-002 ITP008 - Pavement Marking"
"0b759598-849f-4b13-9762-68931435c088","","checklist-sectioned","pass","cd1d83d01f05c2bfc2aa6c8b418ae4c1699bdc925abb60addfd974ec432dd248","checklist","FALSE","FALSE","Line Marking","221108-PB-003 ITP008 - Pavement Marking"
"074b0d94-4bf3-41de-abb6-70cc2704b7b4","","checklist-sectioned","pass","cd1d83d01f05c2bfc2aa6c8b418ae4c1699bdc925abb60addfd974ec432dd248","checklist","FALSE","FALSE","Line Marking","221109-PB-004 ITP008 - Pavement Marking"
"6aa5c194-f985-456d-b377-547fb281c13d","","checklist-sectioned","pass","cd1d83d01f05c2bfc2aa6c8b418ae4c1699bdc925abb60addfd974ec432dd248","checklist","FALSE","FALSE","Line Marking","221114-PB-005 ITP008 - Pavement Marking"
"8ca9a7b4-ce2d-4463-8af3-85107956803a","","checklist-sectioned","work-in-progress","acf0ea8382228089dd5ae53f3e45a3f0776bf04bc3dda96dd242c60d41171017","checklist","FALSE","FALSE","Line Marking","221115-PB-006 ITP008 - Pavement Marking - Main Works"
"7044f4be-ffa1-4132-a6ed-f4959070680c","","checklist-sectioned","pass","ITP008 - Pavement Marking - Main Works","checklist","FALSE","FALSE","Line Marking","221117-PI-008 ITP008 - Pavement Marking - Main Works"
"38d3e9eb-49aa-402a-a521-64edfb47141a","","checklist-sectioned","pass","ITP008 - Pavement Marking - Main Works","checklist","FALSE","FALSE","Line Marking","221122-PB-010 ITP008 - Pavement Marking - Main Works"
"142fa3c9-6d00-47da-a8d6-e9bcd7c6afdd","","checklist-sectioned","work-in-progress","ITP008 - Pavement Marking - Main Works","checklist","FALSE","FALSE","Line Marking","221123-PB-011 ITP008 - Pavement Marking - Main Works"
"b6ee496b-f231-4cb2-ae7a-b1e697df9c4b","","checklist-sectioned","pass","ITP008 - Pavement Marking - Main Works","checklist","FALSE","FALSE","Line Marking","221121-PI-009 ITP008 - Pavement Marking - Main Works"
"9744f149-a4fe-4a8a-8594-1de9b98fc1db","","checklist-sectioned","pass","ITP008 - Pavement Marking - Main Works","checklist","FALSE","FALSE","Line Marking","221124-PB-012 - ITP008 - Pavement Marking - Main Works"
