"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b21ae1a3-c892-48fe-ab44-c237c6940c2d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"2d32a65d-11cd-4b61-96ba-3be2cac30995","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 3"
"7221659a-e604-4952-a84f-97199ec748a7","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 32","South","Set Out"
"9fa3afcd-f2e1-4dbf-95a4-48af2885affe","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 33"
"33657d44-cf37-4a57-b2f7-9c683d2c6e74","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 33","Amenities"
"6835b89c-d6a6-4157-ba42-3d12ba3f8cd2","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 33","Floor Plate"
"861a9252-3f4f-4926-b8fb-283bc61a41c3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 33","North"
"2494194e-efac-46c6-9a5f-02c1a2826105","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 33","North","Set Out"
"b7a5f29f-acc5-44c1-867f-17a655b99bdd","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 33","South"
"abdb9016-ad2c-4969-8018-82b5d6cf5e23","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 33","South","Set Out"
"7539ed32-60fa-4f4f-bc93-cc4389a182d0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 34"
"c750c230-346a-48b1-8cf4-6c62239ea54b","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 34","Amenities"
"8e646dd4-3d07-472d-b153-077174fb82fb","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 34","Floor Plate"
"ece409dd-c85d-4f1e-a464-9ef337b486e3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 34","North"
"012826d6-5506-4097-a2d2-ec7b332125a6","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 34","North","Set Out"
"3c90b5f3-f9bd-4362-98d8-81af10fa61bb","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 34","South"
"293f14d1-4772-41b8-a6fa-3fa078837a80","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 34","South","Set Out"
"f46a6e5a-2621-40a0-bbcd-7b2e5838f7fd","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 35"
"947e1f6c-1044-4312-82c1-037daaec5b6a","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 35","Amenities"
"183ab485-4f76-4107-84a7-64e26c7c3340","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 35","Floor Plate"
"140de150-839b-44f0-833e-be3741c6ad71","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 35","North"
"8e854426-1286-4c7c-8f0a-506e90bf2434","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 35","North","Set Out"
"e126d81f-8be1-41e6-a0d5-b8481010acf3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 35","South"
"d55fdc8f-55d7-44a5-965f-70ff596a3663","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 35","South","Set Out"
"67d1f724-6085-4acf-a6ba-a5551cb0248c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 36"
"c41ce9dd-b1f3-406f-9992-79b8648bea7f","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 36","Amenities"
"b236a7f0-09d9-4cd2-8c92-3f2e667d6627","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 36","Floor Plate"
"3f0f81c6-4a04-46c1-b47e-c14f89c141da","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 36","North"
"a3f04fac-fe67-456c-a63f-37f91e7da092","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 36","North","Set Out"
"7c82a995-0787-4bf7-b97a-957c90c74abb","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 36","South"
"a8803074-bd6e-47ec-85aa-bfd2587b2195","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 36","South","Set Out"
"fb4c22a8-3946-4097-8b36-5daba27b13d5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 37"
"641adbe8-9f1c-463a-ac53-45300a657b47","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 37","Amenities"
"f24943e5-6ed2-422b-9c9d-aab876dac312","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 37","Floor Plate"
"b37819d1-90d5-48c9-9406-3f2d1eabd37a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 37","North"
"dc133b29-14a5-48e6-8351-a98e0cfab74a","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 37","North","Set Out"
"e4bb9a1f-fb91-4032-82df-cced8c966ff1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 37","South"
"d161ab1d-13fd-41e8-a57d-37d4081c1952","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 37","South","Set Out"
"da0c61b2-3383-4b7f-88fc-146f9d61ad5d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 38"
"f201308b-aa32-4bcd-9f90-819f804c35b5","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 38","Amenities"
"4021069f-61f2-4d3d-91fe-ee79a0207ef6","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 38","Floor Plate"
"c57e934f-52c5-47a7-8612-981ca54a68ce","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 38","North"
"23f0eb60-54c3-4d66-8623-1b0c0e482317","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 38","North","Set Out"
"e7739a81-39db-4f13-83c2-7f763233bc7b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 38","South"
"b7f2f83a-bed7-468a-a59e-8a40e806211b","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 38","South","Set Out"
"25dbc293-6f1c-4d8a-94d9-d18d00a82e17","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 39"
"91ed6e6a-4005-4239-ada2-c8935dcc61b5","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 39","Amenities"
"51b88010-d8d3-4e9e-be4e-2739a9117826","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 39","Floor Plate"
"2cf8d665-a52b-4752-9a26-dce6b2ec0b4a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 39","North"
"6d07fb60-9b8a-44ff-ba29-14c3e3bfa411","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 39","North","Set Out"
"edaec2ef-ad8e-4c5d-9900-71cd12976c05","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 39","South"
"7407cd79-538f-4423-b493-71198d28be43","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 39","South","Set Out"
"7fd3f934-7960-4618-949e-b03893d8d39e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 40"
"2f4f4565-d18e-45e6-98d3-5a79b58f3946","","checklist-flat","not-started","SYS - Amenities (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 40","Amenities"
"f4e4a92f-0564-42f4-a854-951a7b064143","","checklist-flat","not-started","SYS - Floor Plate (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 40","Floor Plate"
"1085ec73-6bd6-4ae6-860e-1b4bba79a2cb","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 40","North"
"6a819f98-fb3d-4fc8-82a2-1b5699b4abf3","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 40","North","Set Out"
"0af356e2-2d9e-4296-8b96-4f69196efac3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 40","South"
"cee36512-798d-42ca-a838-d9d4e99aab05","","checklist-flat","not-started","SYS - Set Out (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 40","South","Set Out"
"efdd5f73-82ad-4062-acc5-7e3acdb20b93","","checklist-flat","work-in-progress","Add Delivery Docket","checklist-flat","FALSE","FALSE","Delivery"
"5d4c98bd-3ebb-4ffe-91a3-7365dabe1d7e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacturers QA documents"
"18cd95ae-2b45-449c-8636-44ca04215957","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacturers QA documents","Speed panel"
"daa00d23-39d1-4462-a869-4c7003eae2c2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacturers QA documents","Speed panel","L9 dockets"
"49a9dfef-591b-4685-a641-6545fee2c7aa","","checklist-flat","work-in-progress","Add Delivery Docket","checklist-flat","FALSE","FALSE","Manufacturers QA documents","Speed panel","L9 dockets","Delivery speedpanel"
