Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,
20a39967-ff97-4ee8-944e-7fa3ada42df0,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,245,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
6cecdf02-e430-4ad7-9bf0-6db1ca764ae2,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,SOUTH Level 2,246,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
270b4b47-093a-4f1d-96c3-949251b46b88,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,308,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
7e8d2e5e-7ee8-40d3-bd83-c0897f7f43fe,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,309,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
7cc2b8ee-ac5f-420a-a465-1ce32d3617c1,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,310,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
0e2444bd-daaf-4f30-bd96-79d9959e81c0,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,311,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
8e223e91-0821-4475-934f-c9fd6f1eda34,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,312,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
32601b03-09ba-4e08-9f68-6cb21ffdd49d,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,313,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
5f34c633-aa04-4e39-a14a-73ce0b429310,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,314,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
473af660-1b38-4e9b-8d92-ec8afb20cc14,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,315,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
987a2c66-195d-4990-86c0-fcfee5832393,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,316,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
e78281b0-c132-4b1e-8122-ae6c134df5a5,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,317,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
0c0b2724-ac9f-4a78-a871-00c7440b4be6,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,318,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
1119deee-61b4-4bf8-9d26-17680d9b15e2,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,319,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
6741cd40-d3cf-472a-a46d-6ac384cf3977,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,320,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
42fe0bf4-452d-4125-b18e-13b294573cf6,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,321,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
1f2a40c9-98b1-4a04-b536-86e44e004963,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 3,322,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
