"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3aadc3c5-7aba-4bca-aa24-7d8abdb3fd28","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-12 BN42-E and BN06-W","Byford U-Beam Stage-2 Casting Checklist BN42-E"
"90ac57bb-7a86-4b58-91e9-f15865694e9e","","work-in-progress","217b6015c252e9869a9c5cdbe780c46482353eadf347c55a62827465f22d570b","checklist","FALSE","FALSE","Site QA","Cast-12 BN42-E and BN06-W","Byford U-Beam Stage-1 Casting BN06-W"
"ffe2ec7c-c13d-44e6-b494-5cb33fd93aab","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-12 BN42-E and BN06-W","Byford U-Beam Stage-2 Casting Checklist BN06-W"
"68e692f0-9e34-42d7-a2bc-d8ed3c68cb01","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-13 Wungong Bridge B01-E and B01-W"
"929a8080-c33a-4994-82ed-e1f333c054f9","","work-in-progress","4c43c103bda9880f615817748c79ada136d0771ce72ec7f2174c9dc0f937610e","checklist","FALSE","FALSE","Site QA","Cast-13 Wungong Bridge B01-E and B01-W","Byford U-Beam Stage-1 Casting Wungong B01-E"
"875616b4-ae2d-4f02-9e51-d5649d1a1d0d","","pass","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-13 Wungong Bridge B01-E and B01-W","Byford U-Beam Stage-2 Casting Checklist Wungong B01-E"
"d023929a-5e0e-4c69-bf4c-b273badaee0d","","work-in-progress","3c69f12d1f4922dc91e598ed395b3f0d5f9438c9496bc2490102c9623590dbf6","checklist","FALSE","FALSE","Site QA","Cast-13 Wungong Bridge B01-E and B01-W","Byford U-Beam Stage-1 Casting Wungong B01-W"
"ba01dbb2-0cc5-4d9b-9468-593f29069566","","pass","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-13 Wungong Bridge B01-E and B01-W","Byford U-Beam Stage-2 Casting Checklist Wungong B01-W"
"73b877c9-c147-49d3-aea7-4ac781bccf12","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-14 BN33-CW and BN30-W"
"fbec53be-8d48-46e0-a992-dec83a5f3d6c","","work-in-progress","217b6015c252e9869a9c5cdbe780c46482353eadf347c55a62827465f22d570b","checklist","FALSE","FALSE","Site QA","Cast-14 BN33-CW and BN30-W","Byford U-Beam Stage-1 Casting BN33-CW"
"4236285d-3558-4d21-91b1-c2135ad60622","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-14 BN33-CW and BN30-W","Byford U-Beam Stage-2 Casting Checklist BN33-CW"
"e39d4bb4-c835-4656-94f2-d07981ec0311","","work-in-progress","217b6015c252e9869a9c5cdbe780c46482353eadf347c55a62827465f22d570b","checklist","FALSE","FALSE","Site QA","Cast-14 BN33-CW and BN30-W","Byford U-Beam Stage-1 Casting BN30-W"
"9791ad64-f5ca-42c6-a806-fff00e647730","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-14 BN33-CW and BN30-W","Byford U-Beam Stage-2 Casting Checklist BN30-W"
"770b1c4d-a0c6-43e9-a9f3-5d8c9ec696c3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-15 BN34-CW and BN29-W"
"db1abb4f-2887-438d-a09f-d11c3bf6d691","","work-in-progress","217b6015c252e9869a9c5cdbe780c46482353eadf347c55a62827465f22d570b","checklist","FALSE","FALSE","Site QA","Cast-15 BN34-CW and BN29-W","Byford U-Beam Stage-1 Casting BN34-CW"
"cda56796-64ac-4b77-a02e-fcf5a76207dc","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-15 BN34-CW and BN29-W","Byford U-Beam Stage-2 Casting Checklist BN34-CW"
"93371640-4a1a-471b-aa82-e0dd94093f01","","work-in-progress","217b6015c252e9869a9c5cdbe780c46482353eadf347c55a62827465f22d570b","checklist","FALSE","FALSE","Site QA","Cast-15 BN34-CW and BN29-W","Byford U-Beam Stage-1 Casting BN29-W"
"7c306945-6c81-434a-ab1a-e50b74f15adc","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-15 BN34-CW and BN29-W","Byford U-Beam Stage-2 Casting Checklist BN29-W"
"e7b848c1-ee04-4508-a3b0-3037d64340e0","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-16 BN44-E and BN45-W"
"97f00015-9618-4c45-b7b8-86467ebd717f","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-16 BN44-E and BN45-W","Byford U-Beam Stage-1 Casting BN44-E"
"09bea738-beb9-4e82-aa2e-90c76a784374","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-16 BN44-E and BN45-W","Byford U-Beam Stage-2 Casting Checklist BN44-E"
"7430813c-1adf-4a1f-aa34-65b047b2d1d1","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-16 BN44-E and BN45-W","Byford U-Beam Stage-1 Casting BN45-W"
"be294dd6-ef02-41dd-aa22-c7a479ff6068","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-16 BN44-E and BN45-W","Byford U-Beam Stage-2 Casting Checklist BN45-W"
"752c3743-7303-455b-8af7-b28554b36130","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-17 BN03-E and BN42-W"
"556490e2-81a7-4ff5-bcac-3b6d74570aeb","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-17 BN03-E and BN42-W","Byford U-Beam Stage-1 Casting BN03-E"
"03cbb6f1-e144-4688-ab11-7548d3219c13","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-17 BN03-E and BN42-W","Byford U-Beam Stage-2 Casting Checklist BN03-E"
"0c5846c0-3f9b-4533-87c5-20ec6ea49930","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-17 BN03-E and BN42-W","Byford U-Beam Stage-1 Casting BN42-W"
"c32a3c2c-d789-4a31-b081-83ffc7935d11","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-17 BN03-E and BN42-W","Byford U-Beam Stage-2 Casting Checklist BN42-W"
"0b491888-fd61-4099-a410-db0dc88702da","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-18 BN06-E and BN35-CE"
"01054911-9ce9-45c1-be14-bbf9423648bd","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-18 BN06-E and BN35-CE","Byford U-Beam Stage-1 Casting BN06-E"
"e53e8ec6-3580-4456-8c22-19525ba8c6f2","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-18 BN06-E and BN35-CE","Byford U-Beam Stage-2 Casting Checklist BN06-E"
"595015d8-7f15-48b7-9160-96d94b5e9305","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-18 BN06-E and BN35-CE","Byford U-Beam Stage-1 Casting BN35-CE"
"049af736-c262-420e-868b-689c8a0b53fe","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-18 BN06-E and BN35-CE","Byford U-Beam Stage-2 Casting Checklist BN35-CE"
"0ffc3ba9-ea73-43f6-a59a-89331303cc10","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-19 BN02-W and BN14-W"
