Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,
76c407ed-05cd-4f33-b53f-4c94557bf5c5,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140638 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-009),,,,,
471ddf6a-8db0-46a0-a612-5ef4974c5a4d,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140638 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-010),,,,,
c4e2556d-77ff-4639-ae81-65ae35035ec3,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140638 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-011),,,,,
42e2af4d-9b5c-445b-92ed-3cda71c6454e,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140638 (Ducting) Zone 11A,CRAC Units,CRL-ITR-010 - Crack Unit Installation,,,,,
50f10989-4d50-48e0-b541-7d3509299606,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140638 (Ducting) Zone 11A,CRAC Units,CRL-ITR-010 - Crack Unit Installation,,,,,
525720be-5203-4eff-8b78-00f29f639b9d,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140638 (Ducting) Zone 11A,CRAC Units,CRL-ITR-010 - Crack Unit Installation,,,,,
710a7a45-ae35-4dd3-8c1d-5383a1e01043,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140638 (Ducting) Zone 11A,CRAC Units,CRL-ITR-010 - Crack Unit Installation,,,,,
996a2084-36a2-4761-9f08-b572e18609ff,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140639 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-001),,,,,
cdf890fc-15b3-4af6-ad36-285f75566e52,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140639 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-002),,,,,
56a63944-7ed1-4784-a94e-2a697c086a9c,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L2 Plant,Drawing No. 140639 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL2-ASS-FCU-003),,,,,
