"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checkpoint-status",,"","checkpoint","Install Apron Flashing"
"checkpoint-status",,"","checkpoint","New Gutters and Down Pipes"

"checklist-flat",,"","checklist","Weatherboard Cladding","",,,1,"Yes","Stage 4 - Weatherboard Cladding","c402e027-31d9-45ba-bdd2-d21e5b53eb3c"
"checkpoint-status",,"","checkpoint","Apron Flashing Installed"
"checkpoint-status",,"","checkpoint","RAB Board - Adhero Wrap"
"checkpoint-status",,"","checkpoint","Cavity closer"
"checkpoint-status",,"","checkpoint","Cavity Battens - 400mm Crs"
"checkpoint-status",,"","checkpoint","Weatherboard Installed"
"checkpoint-status",,"","checkpoint","Painting completed"

"checklist-flat",,"","checklist","Stage 3 - Library Exterior - North","",,,1,"Yes","Stage 3 - Library Exterior - North","ce716b90-d0f1-4aec-b224-7a7adbee34f0"
"checkpoint-status",,"","checkpoint","Remove Asbestos Soffits"
"checkpoint-status",,"","checkpoint","Remove Existing Windows"
"checkpoint-status",,"","checkpoint","Check Windows Openings Sizes"
"checkpoint-status",,"","checkpoint","Install Jamb Battens"
"checkpoint-status",,"","checkpoint","Install New Flashing Tape - 50mm lap onto Building Paper"
"checkpoint-status",,"","checkpoint","Install New Weatherboard Below Windows"
"checkpoint-status",,"","checkpoint","0.9BMT Powder Coated Aluminium Sill Flashing"
"checkpoint-status",,"","checkpoint","Install New Wall Underlay"
"checkpoint-status",,"","checkpoint","Install New Weatherboards"
"checkpoint-status",,"","checkpoint","Install New Windows"
"checkpoint-status",,"","checkpoint","Install Fascia Between Windows"
"checkpoint-status",,"","checkpoint","Install Scribers"
"checkpoint-status",,"","checkpoint","Install H3.2 Soffit Blocking"
"checkpoint-status",,"","checkpoint","Install Soffit Flashing"
"checkpoint-status",,"","checkpoint","Install Villaboard Soffit"
"checkpoint-status",,"","checkpoint","Paint Weatherboards"
"checkpoint-status",,"","checkpoint","Paint Soffits"

"checklist-flat",,"","checklist","Upper Roof","",,,2,"Yes","Upper Roof","d7fd38ac-84de-49f8-a504-899785a60c24"
"checkpoint-status",,"","checkpoint","Delap photos"
"checkpoint-status",,"","checkpoint","Clean roof"
"checkpoint-status",,"","checkpoint","Remove existing cap flashings"
"checkpoint-status",,"","checkpoint","Install screws to substrate"
"checkpoint-status",,"","checkpoint","Install Trough Infill PIR"
"checkpoint-status",,"","checkpoint","New Vapour Barrier"
"checkpoint-status",,"","checkpoint","New 40mm PIR"
"checkpoint-status",,"","checkpoint","New Fibretite Membrane"
"checkpoint-status",,"","checkpoint","New Fascias"
"checkpoint-status",,"","checkpoint","Parapet flashing"
"checkpoint-status",,"","checkpoint","Gutters and Down pipies"

"checklist-flat",,"","checklist","Stage 3 - Top Plate Fixing","",,,1,"Yes","Stage 3 - Top Plate Fixing","d8cb3fab-ea9a-46b4-9fc8-59a29718db27"
"checkpoint-status",,"","checkpoint","80x6 G300 Plate"

"checklist-flat",,"","checklist","Fume Cupboards","",,,4,"Yes","Fume Cupboards","e57604b6-ac20-4bfe-a6f7-37f01d496099"
"checkpoint-status",,"","checkpoint","Commissioned Results"
"checkpoint-status",,"","checkpoint","Remove existing Fume Vents"
"checkpoint-status",,"","checkpoint","Install Ply upstand"
"checkpoint-status",,"","checkpoint","Membrane and Cricket"
"checkpoint-status",,"","checkpoint","Install Fume Vent"
"checkpoint-status",,"","checkpoint","Welded Aluminium Cap flashing"
"checkpoint-status",,"","checkpoint","Boot Flashing and drive clamp"
"checkpoint-status",,"","checkpoint","Recomissioned results"

"checklist-flat",,"","checklist","Windows - AJ004 & AJ005","",,,2,"Yes","Stage 4 - Windows - AJ004 & AJ005","e8bf74b7-9778-4990-b4db-18e28fe72299"
"checkpoint-status",,"","checkpoint","Remove Windows"
"checkpoint-status",,"","checkpoint","Re frame new opening sizes"
"checkpoint-status",,"","checkpoint","Membrane dressed onto sill"
"checkpoint-status",,"","checkpoint","Sill Flashing"
"checkpoint-status",,"","checkpoint","Flashing Tape"
"checkpoint-status",,"","checkpoint","Cavity Batten"
"checkpoint-status",,"","checkpoint","Window installed"
"checkpoint-status",,"","checkpoint","Window winders"

"checklist-flat",,"","checklist","Block N East Elevation 2","",,,2,"Yes","Block N East Elevation 2","ef36feec-5525-4402-8923-5cae67d90a63"
"checkpoint-status",,"","checkpoint","Remove Asbestos"
"checkpoint-status",,"","checkpoint","Inspect timber framing"
"checkpoint-status",,"","checkpoint","Install Rigid Wall Underlay"
"checkpoint-status",,"","checkpoint","Install Cavity Battens"
"checkpoint-status",,"","checkpoint","Install 9mm Fibre Cement board"
"checkpoint-status",,"","checkpoint","Install Trims"
"checkpoint-status",,"","checkpoint","Paint"

"checklist-flat",,"","checklist","Block N & K South Elevation Infills - Stage 2","",,,10,"Yes","Block N & K South Elevation Infills - Stage 2","f0b39514-69d6-41dd-8690-fab840721dca"
"checkpoint-status",,"","checkpoint","Remove asbestos panels"
"checkpoint-status",,"","checkpoint","Inspect Timber Framing"
"checkpoint-status",,"","checkpoint","Install Rigid Wall Underlay"
"checkpoint-status",,"","checkpoint","Install Flashing tape"
"checkpoint-status",,"","checkpoint","Install Cavity Battens"
"checkpoint-status",,"","checkpoint","Install Cavbat Battens"
"checkpoint-status",,"","checkpoint","Install Powder Coated Aluminium Flashing"

"checklist-flat",,"","checklist","Phase 3 Block M & L - Upper Roof","",,,2,"Yes","Phase 3 Block M & L - Upper Roof","f1fcb9b7-f9ec-48e5-b99b-13a513b7af5f"
