"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checkpoint-status","d8b1d02f-88e1-4d1b-8e38-56896dd9521a","","checkpoint","Splicers, Soakers, Gussets & Fixings Sealed (provide photo reference)"
"checkpoint-status","dac24de1-c69e-4b7c-804d-bb195a3fc6a1","","checkpoint","Panel Fitted & Locked Off"
"checkpoint-status","4bcee763-2d1e-43d5-8e3c-58a995b95692","","checkpoint","Airseal and Internal Flashings (Photo)"
"checkpoint-status","f5ed5a19-e888-4017-a174-5dac712fe505","","checkpoint","External Flashings / Weather Seals / Drainage"
"checkpoint-status","80f082a8-a412-433b-aeb6-2b24cdc14160","","checkpoint","Glass - Frame Glazed"
"checkpoint-status","4cb05d04-f7ee-4c1f-be20-9326605dc028","","checkpoint","Glass - Glazing Rubbered and Complete"
"checkpoint-status","9cc7e389-719c-4f64-994a-5a19143fc9e8","","checkpoint","Trade Clean"
"checkpoint-status","d963950c-4a35-4551-9963-2d05bb6496d6","","checkpoint","Wights - Sign Off"

"checklist-flat","7bf2620e-4ded-4875-ba84-bd24578adc7f","","checklist","125mm Flushglaze - With Window Controls","",,,0,"Yes","125mm Flushglaze - With Window Controls","8c312cf5-32fc-439a-a0c3-d273da5b9e39"
"checkpoint-status","27214e97-1dc2-40f4-a47c-5ac5d4745c99","","checkpoint","Opening Prepared By Main Contractor"
"checkpoint-status","722294d6-53f3-41f0-8224-6897de0247b0","","checkpoint","Setout/Grids/Datum Lines"
"checkpoint-status","359bddc3-ad89-4348-aacc-ccd9218d1c71","","checkpoint","Seismic Installed As Per Shop Drawings"
"checkpoint-status","1a26d497-7ee4-4a5b-b91f-74293aea1a27","","checkpoint","DL Brackets Fitted & Welded correct location"
"checkpoint-status","002cd54f-f0ba-4ad5-bf4b-76a659dc8bfe","","checkpoint","Panel Fitted & Locked Off"
"checkpoint-status","a291bed8-1883-4d2a-8eb6-2da9951034e3","","checkpoint","Splicers & Soakers Sealed (provide photo reference)"
"checkpoint-status","5309c58c-4515-4260-aa31-3801ad59905f","","checkpoint","Airseal and Internal Flashings"
"checkpoint-status","4179f415-6c18-4a86-98ef-00e25d036253","","checkpoint","External Flashings / Weather Seals (provide photo reference)"
"checkpoint-status","d1020779-725e-45dc-9807-cb38456e3726","","checkpoint","Autodoor Unit Installed - Window Control Systems"
"checkpoint-status","7095fe12-bec1-46a9-a11f-8f7b139e3e41","","checkpoint","Autodoor Unit Commisioned - Window Control Systems"
"checkpoint-status","e8e9c4f3-1caa-4d92-8083-447a058548f3","","checkpoint","Site Glazing Completed"
"checkpoint-status","d61cfa26-7f17-49ae-b4d4-678d248896df","","checkpoint","Trade Clean"
"checkpoint-status","230f1153-6c0c-4b7e-88d6-f7b9a48b8955","","checkpoint","Wights - Sign Off"

"checklist-flat","dcb4981f-be21-4d91-8ef1-9ea4c2fcfd25","","checklist","168mm Structural glazed","",,,0,"Yes","168mm Structural glazed","ac47931e-553b-4e59-83ba-f6f227343e01"
"checkpoint-status","0914ef5a-b55d-4e0e-9f87-8011357d21bc","","checkpoint","Opening Prepared By Main contractor"
"checkpoint-status","de153037-aaec-45f7-a122-bdc2a7528091","","checkpoint","Setout/Grids/Datum Lines"
"checkpoint-status","96cf2586-2888-4658-9dc9-a97c28f1c516","","checkpoint","Seismic Installed As Per Shop Drawings"
"checkpoint-status","ce4551b0-11a5-4dfe-a488-219c27c2cb0b","","checkpoint","DL Brackets Fitted & Welded correct location"
"checkpoint-status","19528459-8267-4439-8dd1-339b6812b2c5","","checkpoint","C.W Visual Panel Insert Check"
"checkpoint-status","20973226-e558-424b-ab69-6a1aea888a14","","checkpoint","Panel Fitted & Locked Off"
"checkpoint-status","1a8f288f-1a63-4ca9-8f86-50bfebd0b63f","","checkpoint","Splicers & Soakers Sealed (provide photo reference)"
"checkpoint-status","3ec3000b-623a-4cb6-924f-42f2e3c40c90","","checkpoint","Airseal and Internal Flashings"
"checkpoint-status","5774db7f-2ae8-4761-8b0f-af5c156a2d54","","checkpoint","External Flashings / Weather Seals (provide photo reference)"
"checkpoint-status","13a3930f-7110-482d-9c1c-e429e8add84b","","checkpoint","Site Glazing Completed"
"checkpoint-status","bdf293b7-3989-48f5-9387-3ee34169daa3","","checkpoint","Trade Clean"
"checkpoint-status","a68baad1-f7b1-4b8a-8774-54d5b82e95a6","","checkpoint","Wights - Sign Off"

"checklist-flat","678b5167-313a-47fd-a997-c9319bb07d91","","checklist","Residential Suite","",,,0,"Yes","Residential Suite","d98bd32e-2c12-4129-b6e2-7809abc15283"
"checkpoint-status","10027eb7-a80d-40ed-8add-98d944db7ad4","","checkpoint","Opening Wraped & Prepared Correctly"
"checkpoint-status","c5e095f3-90a7-4f5d-a634-b3c74a0f4617","","checkpoint","External Flashings / Weather Seals As Per Shop Drawing (provide photo reference)"
"checkpoint-status","07783eed-3a0a-44d9-950a-dac013b7ac64","","checkpoint","Installed / Fixed As Per Shop Drawings"
"checkpoint-status","75d9a173-a3b0-421c-9de0-710badd0953e","","checkpoint","Airseals Completed"
"checkpoint-status","c1eeea69-efd6-4456-8e80-172bdf6aba05","","checkpoint","Site Glazing Completed"
"checkpoint-status","1671b721-d22f-4f63-a888-83700d2e568d","","checkpoint","Trade Clean"
"checkpoint-status","b0061179-df6a-4e60-8843-5428ac590569","","checkpoint","Wights - Sign Off"

