"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ff45ed9c-4396-5270-9032-1512b4c8cf9a","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:621ec4b2-6500-5108-af41-38730533fa09:2c0f8c29-ad41-5a2a-b635-0a0aff717668","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"6a72c025-fc37-5015-a6b3-2c4310918a41","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:37e76f2f-26c4-42ce-82a2-cdc5007ac58c","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.8.1 - Maximum Dry Density and Optimum Water Content"
"7b6aaedd-216d-540c-af8b-f6739d4a396a","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:37e76f2f-26c4-42ce-82a2-cdc5007ac58c:c4476e83-179a-4066-b48b-38c709c473a6","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"793a4e53-ca64-579c-b6ec-bfe0d9e2986b","","work-in-progress","DN1210-003 ITP Earthworks Rev IFC5:28a9939c-3398-5e1c-b9f3-fc35b3f555e1","section","FALSE","FALSE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 2 – SITE WON LANDSCAPING FILL"
"50083b6b-468a-5192-8d4b-c75263dc4d42","","work-in-progress","DN1210-003 ITP Earthworks Rev IFC5:28a9939c-3398-5e1c-b9f3-fc35b3f555e1:01aef69a-6763-59ca-9c8d-736ee53b831a","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 2 – SITE WON LANDSCAPING FILL","2.1.1 - On Site track-able Testing"
"731a8ca4-34b7-51e1-85dc-1c051e8bb76e","","work-in-progress","DN1210-003 ITP Earthworks Rev IFC5:28a9939c-3398-5e1c-b9f3-fc35b3f555e1:cea9f37d-9fcc-59d5-a86b-752d34abb6de","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 2 – SITE WON LANDSCAPING FILL","2.1.2 - Shear Vane"
"ae7537bb-ab7b-5b02-b0b6-749351d5f80a","","work-in-progress","DN1210-003 ITP Earthworks Rev IFC5:28a9939c-3398-5e1c-b9f3-fc35b3f555e1:6d1d7126-1928-59ff-a877-462c509c0a9e","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 2 – SITE WON LANDSCAPING FILL","2.1.3 - Proof Roll"
"6a6ca4ab-e2b2-5c9c-9726-642d95d6a9bd","","pass","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2","section","FALSE","FALSE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING"
"8b9f1439-50d2-5b23-a7d2-51ca8e52f29e","","pass","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2:0fcfb85c-2785-506a-902a-ef8862f376ed","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING","3.1.1 - Proof Roll"
"d156c867-88b6-5fe1-8332-8014100b8f70","","pass","DN1210-003 ITP Earthworks Rev IFC5:39d605b8-01ec-570b-b293-b6919dc2d8c2:93b11d4a-04e4-5cfd-8dab-0a37521cebb5","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 3 – CUT SUBGRADE TESTING","3.1.2 - Cut Subgrade Inspection"
