"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Building North Progress"
,"Scope",,
,"Rows"
,,"Level 2","grouping","building north","level 2"
,,"201-454 Riser 6",,"building east","201-454 riser 6","level 4 - zone a"
,,"201-455 ACC",,"201-455 acc","building east","level 4 - zone a"
,,"201-456 GN",,"building east","201-456 gn","level 4 - zone a"
,,"201-457 Male",,"201-457 male","building east","level 4 - zone a"
,,"201-458 Female",,"201-458 female","building east","level 4 - zone a"
,,"201-459 Service Access",,"building east","201-459 service access","level 4 - zone a"
,,"201-498 Paren's Room",,"201-498 paren's room","building east","level 4 - zone a"
,,"(?) Lobby",,"building east","(?) lobby","level 4 - zone a"
,,"(?) Lobby",,"building east","(?) lobby","level 4 - zone a"
,,"(?) Ramp 5",,"building east","(?) ramp 5","level 4 - zone a"
,,"Level 4 - Zone B","grouping","building east","level 4 - zone b"
,,"201-400C1 Circulation",,"201-400c1 circulation","building east","level 4 - zone b"
,,"201-400C1 Circulation",,"201-400c1 circulation","building east","level 4 - zone b"
,,"201-400C2 Circulation",,"201-400c2 circulation","building east","level 4 - zone b"
,,"201-400C4 Circulation",,"201-400c4 circulation","building east","level 4 - zone b"
,,"201-400L1 Wind Lobby",,"building east","level 4 - zone b","201-400l1 wind lobby"
,,"201-400L2 Wind Lobby",,"201-400l2 wind lobby","building east","level 4 - zone b"
,,"201-400S1 Stair 1",,"building east","201-400s1 stair 1","level 4 - zone b"
,,"201-491 Breakout",,"building east","level 4 - zone b","201-491 breakout"
,,"201-491A Manifold 1",,"201-491a manifold 1","building east","level 4 - zone b"
,,"201-492 Breakout",,"201-492 breakout","building east","level 4 - zone b"
,,"201-493 Breakout",,"201-493 breakout","building east","level 4 - zone b"
,,"201-493A Manifold 2",,"201-493a manifold 2","building east","level 4 - zone b"
,,"201-493B Manifold 3",,"building east","level 4 - zone b","201-493b manifold 3"
,,"201-493C Manifold 4",,"building east","level 4 - zone b","201-493c manifold 4"
,,"201-493D DB C/BD",,"building east","level 4 - zone b","201-493d db c/bd"
,,"201-493E AV C/BD",,"201-493e av c/bd","building east","level 4 - zone b"
,,"201-493F Plant",,"201-493f plant","building east","level 4 - zone b"
,,"201-495 Breakout",,"201-495 breakout","building east","level 4 - zone b"
,,"201-496 Breakout",,"building east","level 4 - zone b","201-496 breakout"
,,"201-497 Plantroom",,"201-497 plantroom","building east","level 4 - zone b"
,,"Level 5 - Zone A","grouping","building east","level 5 - zone a"
,,"201-500C1 Circulation",,"building east","level 5 - zone a","201-500c1 circulation"
,,"201-500C2 Circulation",,"building east","201-500c2 circulation","level 5 - zone a"
,,"201-500C3 Circulation",,"201-500c3 circulation","building east","level 5 - zone a"
,,"201-500C4 Circulation",,"building east","201-500c4 circulation","level 5 - zone a"
,,"201-500C5 Office",,"201-500c5 office","building east","level 5 - zone a"
,,"201-500C6 Office",,"201-500c6 office","building east","level 5 - zone a"
,,"201-500C7 Office",,"201-500c7 office","building east","level 5 - zone a"
,,"201-500E1 Lift 1",,"building east","level 5 - zone a","201-500e1 lift 1"
,,"201-500E2 Lift 2",,"201-500e2 lift 2","building east","level 5 - zone a"
,,"201-500E3 Lift 3",,"201-500e3 lift 3","building east","level 5 - zone a"
,,"201-500E4 Lift 4",,"building east","201-500e4 lift 4","level 5 - zone a"
,,"201-500E5 Lift 5",,"building east","201-500e5 lift 5","level 5 - zone a"
,,"201-500L1 Lift Lobby",,"201-500l1 lift lobby","building east","level 5 - zone a"
,,"201-500L2 Lift Lobby",,"building east","level 5 - zone a","201-500l2 lift lobby"
,,"201-500L3 Lift Lobby",,"building east","201-500l3 lift lobby","level 5 - zone a"
,,"201-501 SHWR",,"201-501 shwr","building east","level 5 - zone a"
,,"201-502 ACC",,"building east","level 5 - zone a","201-502 acc"
,,"201-503 Female",,"201-503 female","building east","level 5 - zone a"
,,"201-504 CLNR",,"building east","201-504 clnr","level 5 - zone a"
,,"201-505 Service Access",,"building east","201-505 service access","level 5 - zone a"
,,"201-506 Male",,"building east","201-506 male","level 5 - zone a"
,,"201-508 Riser 3",,"201-508 riser 3","building east","level 5 - zone a"
,,"201-510 PGR",,"building east","level 5 - zone a","201-510 pgr"
,,"201-511 Office",,"201-511 office","building east","level 5 - zone a"
,,"201-512 Office",,"201-512 office","building east","level 5 - zone a"
,,"201-513 Office",,"201-513 office","building east","level 5 - zone a"
,,"201-514 Office",,"building east","201-514 office","level 5 - zone a"
,,"201-515 Office",,"201-515 office","building east","level 5 - zone a"
,,"201-516 Office",,"building east","201-516 office","level 5 - zone a"
,,"201-517 SOP",,"201-517 sop","building east","level 5 - zone a"
,,"201-517A Office",,"building east","201-517a office","level 5 - zone a"
,,"201-517B Office",,"building east","201-517b office","level 5 - zone a"
,,"201-517C Office",,"building east","201-517c office","level 5 - zone a"
,,"201-518 Office",,"building east","201-518 office","level 5 - zone a"
,,"201-519 Office",,"201-519 office","building east","level 5 - zone a"
,,"201-520 Office",,"201-520 office","building east","level 5 - zone a"
,,"201-521 Office",,"building east","201-521 office","level 5 - zone a"
,,"201-522 Office",,"building east","201-522 office","level 5 - zone a"
,,"201-523 Office",,"building east","201-523 office","level 5 - zone a"
,,"201-524 Comms",,"201-524 comms","building east","level 5 - zone a"
,,"201-526 Meeting",,"201-526 meeting","building east","level 5 - zone a"
,,"201-530 Office",,"201-530 office","building east","level 5 - zone a"
,,"201-531 PGR",,"building east","201-531 pgr","level 5 - zone a"
,,"201-532 PGR",,"201-532 pgr","building east","level 5 - zone a"
,,"201-533 Print",,"201-533 print","building east","level 5 - zone a"
,,"201-534 Breakout",,"building east","level 5 - zone a","201-534 breakout"
,,"201-535 Office",,"201-535 office","building east","level 5 - zone a"
,,"201-536 Office",,"201-536 office","building east","level 5 - zone a"
,,"201-537 Office",,"201-537 office","building east","level 5 - zone a"
,,"201-538 Office",,"201-538 office","building east","level 5 - zone a"
,,"201-539 Office",,"201-539 office","building east","level 5 - zone a"
,,"201-540 Office",,"201-540 office","building east","level 5 - zone a"
,,"201-541 Office",,"201-541 office","building east","level 5 - zone a"
,,"201-542 Office",,"201-542 office","building east","level 5 - zone a"
,,"201-543 Office",,"building east","201-543 office","level 5 - zone a"
,,"201-544 Office",,"201-544 office","building east","level 5 - zone a"
,,"201-545 Office",,"building east","201-545 office","level 5 - zone a"
,,"201-546 Office",,"201-546 office","building east","level 5 - zone a"
,,"201-547 Office",,"building east","201-547 office","level 5 - zone a"
,,"201-548 SOP",,"building east","201-548 sop","level 5 - zone a"
,,"201-548A Office",,"201-548a office","building east","level 5 - zone a"
,,"201-548B Office",,"201-548b office","building east","level 5 - zone a"
,,"201-548C Office",,"building east","201-548c office","level 5 - zone a"
,,"201-549 Office",,"building east","level 5 - zone a","201-549 office"
,,"201-551 Office",,"building east","level 5 - zone a","201-551 office"
,,"201-552 PGR",,"201-552 pgr","building east","level 5 - zone a"
,,"201-553 DB",,"building east","201-553 db","level 5 - zone a"
,,"201-554 Riser 6",,"building east","201-554 riser 6","level 5 - zone a"
,,"201-555 ACC",,"201-555 acc","building east","level 5 - zone a"
,,"201-556 GN",,"201-556 gn","building east","level 5 - zone a"
,,"201-557 Male",,"building east","201-557 male","level 5 - zone a"
,,"201-558 Female",,"201-558 female","building east","level 5 - zone a"
,,"201-559 Service Access",,"201-559 service access","building east","level 5 - zone a"
,,"(?) Void",,"building east","(?) void","level 5 - zone a"
,,"Level 6 - Zone A","grouping","level 6 - zone a","building east"
,,"201-600C1 Office",,"level 6 - zone a","201-600c1 office","building east"
,,"201-600C2 Circulation",,"level 6 - zone a","building east","201-600c2 circulation"
,,"201-600C3 Circulation",,"level 6 - zone a","201-600c3 circulation","building east"
,,"201-600C4 Circulation",,"level 6 - zone a","building east","201-600c4 circulation"
,,"201-600C5 Circulation",,"level 6 - zone a","201-600c5 circulation","building east"
,,"201-600C6 Circulation",,"level 6 - zone a","building east","201-600c6 circulation"
,,"201-600C7 Circulation",,"level 6 - zone a","building east","201-600c7 circulation"
,,"201-600E1 Lift 1",,"level 6 - zone a","201-600e1 lift 1","building east"
,,"201-600E5 Lift 5",,"level 6 - zone a","201-600e5 lift 5","building east"
,,"201-600L1 Lift Lobby",,"level 6 - zone a","building east","201-600l1 lift lobby"
,,"201-600L3 Lift Lobby",,"level 6 - zone a","201-600l3 lift lobby","building east"
,,"201-601 SHWR",,"level 6 - zone a","201-601 shwr","building east"
,,"201-602 ACC",,"level 6 - zone a","201-602 acc","building east"
,,"201-603 Female",,"level 6 - zone a","201-603 female","building east"
,,"201-604 Office",,"level 6 - zone a","201-604 office","building east"
,,"201-605 Office",,"level 6 - zone a","201-605 office","building east"
,,"201-606 Office",,"level 6 - zone a","201-606 office","building east"
,,"201-608 Riser",,"level 6 - zone a","201-608 riser","building east"
,,"201-611 Office",,"level 6 - zone a","building east","201-611 office"
,,"201-612 Office",,"level 6 - zone a","201-612 office","building east"
,,"201-613 Office",,"level 6 - zone a","building east","201-613 office"
,,"201-614 Office",,"level 6 - zone a","201-614 office","building east"
,,"201-615 Office",,"level 6 - zone a","building east","201-615 office"
,,"201-616 Office",,"level 6 - zone a","201-616 office","building east"
,,"201-617 SOP",,"level 6 - zone a","201-617 sop","building east"
,,"201-617A Office",,"level 6 - zone a","building east","201-617a office"
,,"201-617B Office",,"level 6 - zone a","201-617b office","building east"
,,"201-617C Office",,"level 6 - zone a","201-617c office","building east"
,,"201-618 Office",,"level 6 - zone a","building east","201-618 office"
,,"201-619 Office",,"level 6 - zone a","building east","201-619 office"
,,"201-620 Office",,"level 6 - zone a","building east","201-620 office"
,,"201-621 Office",,"level 6 - zone a","building east","201-621 office"
,,"201-622 Office",,"level 6 - zone a","building east","201-622 office"
,,"201-623 Office",,"level 6 - zone a","building east","201-623 office"
,,"201-626 Meeting",,"level 6 - zone a","201-626 meeting","building east"
,,"201-630 Meeting",,"level 6 - zone a","building east","201-630 meeting"
,,"201-631 PGR",,"level 6 - zone a","201-631 pgr","building east"
,,"201-652 PGR",,"level 6 - zone a","201-652 pgr","building east"
,,"201-654 Riser 6",,"level 6 - zone a","building east","201-654 riser 6"
,,"201-655 ACC",,"level 6 - zone a","building east","201-655 acc"
,,"201-656 GN",,"level 6 - zone a","building east","201-656 gn"
,,"201-657 Male",,"level 6 - zone a","building east","201-657 male"
,,"201-658 Female",,"level 6 - zone a","201-658 female","building east"
,,"201-659 Service Access",,"level 6 - zone a","201-659 service access","building east"
,,"? (D.635-A)",,"level 6 - zone a","building east","? (d.635-a)"
,,"? (D.636-A)",,"level 6 - zone a","? (d.636-a)","building east"
,,"? (D.637-A) (D.637-A)",,"level 6 - zone a","? (d.637-a) (d.637-a)","building east"
,,"? (D.638-A)",,"level 6 - zone a","? (d.638-a)","building east"
,,"? (D.639-A & W.639-B)",,"level 6 - zone a","building east","? (d.639-a & w.639-b)"
,,"? (D.640-A)",,"level 6 - zone a","? (d.640-a)","building east"
,,"? (D.641-A)",,"level 6 - zone a","building east","? (d.641-a)"
,,"? (D.642-A)",,"level 6 - zone a","building east","? (d.642-a)"
,,"? (D.643-A)",,"level 6 - zone a","building east","? (d.643-a)"
,,"? (D.644-A)",,"level 6 - zone a","building east","? (d.644-a)"
,,"? (D.645-A)",,"level 6 - zone a","? (d.645-a)","building east"
,,"? (D.646-A)",,"level 6 - zone a","? (d.646-a)","building east"
,,"? (D.647-A)",,"level 6 - zone a","building east","? (d.647-a)"
,,"? (D.648-A)",,"level 6 - zone a","? (d.648-a)","building east"
,,"? (D.648A-A)",,"level 6 - zone a","building east","? (d.648a-a)"
,,"? (D.648B-A)",,"level 6 - zone a","? (d.648b-a)","building east"
,,"? (D.648C-A)",,"level 6 - zone a","building east","? (d.648c-a)"
,,"? (D.649-A)",,"level 6 - zone a","building east","? (d.649-a)"
,,"? (D.651-A)",,"level 6 - zone a","building east","? (d.651-a)"
,,"201-600E5 Lift 5",,"level 6 - zone a","201-600e5 lift 5","building east"
,,"? BREAK OUT",,"level 6 - zone a","building east","? break out"
,,"? DB",,"level 6 - zone a","building east","? db"
,,"? PGR",,"level 6 - zone a","building east","? pgr"
,,"? PGR",,"level 6 - zone a","building east","? pgr"
,,"? PRINT",,"level 6 - zone a","building east","? print"
,,"Level 7 - Zone A","grouping","building east","level 7 - zone a"
,,"201-700C1 Circulation",,"201-700c1 circulation","building east","level 7 - zone a"
,,"201-700C2 Circulation",,"201-700c2 circulation","building east","level 7 - zone a"
,,"201-700C3 Office",,"201-700c3 office","building east","level 7 - zone a"
,,"201-700C4 Circulation",,"201-700c4 circulation","building east","level 7 - zone a"
,,"201-700C5 Circulation",,"201-700c5 circulation","building east","level 7 - zone a"
,,"201-700C6 Circulation",,"201-700c6 circulation","building east","level 7 - zone a"
,,"201-700C7 Circulation",,"201-700c7 circulation","building east","level 7 - zone a"
,,"201-700E1 Lift 2",,"building east","201-700e1 lift 2","level 7 - zone a"
,,"201-700E2 Lift 2",,"201-700e2 lift 2","building east","level 7 - zone a"
,,"201-700E3 Lift 3",,"building east","level 7 - zone a","201-700e3 lift 3"
,,"201-700E4 Lift 4",,"building east","201-700e4 lift 4","level 7 - zone a"
,,"201-700L1 Lift Lobby",,"building east","201-700l1 lift lobby","level 7 - zone a"
,,"201-700L2 Lift Lobby",,"201-700l2 lift lobby","building east","level 7 - zone a"
,,"201-700L3 Lift Lobby",,"201-700l3 lift lobby","building east","level 7 - zone a"
,,"201-700S3 Stair 3",,"building east","level 7 - zone a","201-700s3 stair 3"
,,"201-700S5 Stair 5",,"building east","201-700s5 stair 5","level 7 - zone a"
,,"201-701 SHWR",,"201-701 shwr","building east","level 7 - zone a"
,,"201-702 ACC",,"building east","level 7 - zone a","201-702 acc"
,,"201-703 Female",,"building east","level 7 - zone a","201-703 female"
,,"201-704 CLNR",,"building east","level 7 - zone a","201-704 clnr"
,,"201-705 Service Access",,"201-705 service access","building east","level 7 - zone a"
,,"201-706 Male",,"building east","level 7 - zone a","201-706 male"
,,"201-708 Riser 3",,"building east","level 7 - zone a","201-708 riser 3"
,,"201-710 PGR",,"201-710 pgr","building east","level 7 - zone a"
,,"201-711 Office",,"201-711 office","building east","level 7 - zone a"
,,"201-712 Office",,"building east","level 7 - zone a","201-712 office"
,,"201-713 Office",,"201-713 office","building east","level 7 - zone a"
,,"201-714 Office",,"building east","level 7 - zone a","201-714 office"
,,"201-715 Office",,"building east","level 7 - zone a","201-715 office"
,,"201-716 Office",,"building east","level 7 - zone a","201-716 office"
,,"201-717 SOP",,"building east","level 7 - zone a","201-717 sop"
,,"201-717A HOS Office",,"building east","201-717a hos office","level 7 - zone a"
,,"201-717B Office",,"201-717b office","building east","level 7 - zone a"
,,"201-717C Store",,"building east","level 7 - zone a","201-717c store"
,,"201-718 Office",,"building east","level 7 - zone a","201-718 office"
,,"201-720 Office",,"building east","level 7 - zone a","201-720 office"
,,"201-722 Office",,"building east","level 7 - zone a","201-722 office"
,,"201-724 Comms",,"201-724 comms","building east","level 7 - zone a"
,,"201-726 Meeting",,"201-726 meeting","building east","level 7 - zone a"
,,"201-730 Meeting",,"building east","201-730 meeting","level 7 - zone a"
,,"201-731 PGR",,"201-731 pgr","building east","level 7 - zone a"
,,"201-732 PGR",,"building east","level 7 - zone a","201-732 pgr"
,,"201-733 Print",,"building east","level 7 - zone a","201-733 print"
,,"201-734 Breakout",,"201-734 breakout","building east","level 7 - zone a"
,,"201-735 Office",,"201-735 office","building east","level 7 - zone a"
,,"201-736 Office",,"building east","201-736 office","level 7 - zone a"
,,"201-737 Office",,"201-737 office","building east","level 7 - zone a"
,,"201-738 Office",,"building east","level 7 - zone a","201-738 office"
,,"201-739 Office",,"201-739 office","building east","level 7 - zone a"
,,"201-740 Office",,"201-740 office","building east","level 7 - zone a"
,,"201-741 Office",,"building east","level 7 - zone a","201-741 office"
,,"201-742 Office",,"201-742 office","building east","level 7 - zone a"
,,"201-743 Office",,"building east","level 7 - zone a","201-743 office"
,,"201-744 Office",,"building east","level 7 - zone a","201-744 office"
,,"201-745 Office",,"building east","level 7 - zone a","201-745 office"
,,"201-746 Office",,"building east","level 7 - zone a","201-746 office"
,,"201-747 Office",,"building east","level 7 - zone a","201-747 office"
,,"201-748 Breakout",,"201-748 breakout","building east","level 7 - zone a"
,,"201-748A Office",,"201-748a office","building east","level 7 - zone a"
,,"201-748B DEAN'S OFFICE",,"building east","level 7 - zone a","201-748b dean's office"
,,"201-749 Office",,"201-749 office","building east","level 7 - zone a"
,,"201-751 Office",,"building east","201-751 office","level 7 - zone a"
,,"201-752 PGR",,"building east","level 7 - zone a","201-752 pgr"
,,"201-753 DB",,"building east","level 7 - zone a","201-753 db"
,,"201-754 Riser 6",,"building east","201-754 riser 6","level 7 - zone a"
,,"201-755 ACC",,"building east","level 7 - zone a","201-755 acc"
,,"201-756 GN",,"201-756 gn","building east","level 7 - zone a"
,,"201-758 Female",,"building east","level 7 - zone a","201-758 female"
,,"201-759 Service Access",,"building east","level 7 - zone a","201-759 service access"
,,"? DB -(NB: Doors D.707-A & D.707-B)",,"building east","? db -(nb: doors d.707-a & d.707-b)","level 7 - zone a"
,,"Level 8 - Zone A","grouping","level 8 - zone a","building east"
,,"201-800C1 Circulation",,"level 8 - zone a","building east","201-800c1 circulation"
,,"201-800C2 Circulation",,"201-800c2 circulation","level 8 - zone a","building east"
,,"201-800C3 Circulation",,"level 8 - zone a","building east","201-800c3 circulation"
,,"201-800C4 Circulation",,"201-800c4 circulation","level 8 - zone a","building east"
,,"201-800C5 Circulation",,"level 8 - zone a","building east","201-800c5 circulation"
,,"201-800C6 Circulation",,"201-800c6 circulation","level 8 - zone a","building east"
,,"201-800C7 CIRCULATION",,"level 8 - zone a","building east","201-800c7 circulation"
,,"201-800E1 Lift 1",,"level 8 - zone a","201-800e1 lift 1","building east"
,,"201-800E2 Lift 4",,"201-800e2 lift 4","level 8 - zone a","building east"
,,"201-800E3 Lift 3",,"201-800e3 lift 3","level 8 - zone a","building east"
,,"201-800E4 Lift 2",,"level 8 - zone a","building east","201-800e4 lift 2"
,,"201-800E5 Lift 5",,"level 8 - zone a","building east","201-800e5 lift 5"
,,"201-800L1 Lift Lobby",,"level 8 - zone a","201-800l1 lift lobby","building east"
,,"201-800L2 Lift Lobby",,"level 8 - zone a","201-800l2 lift lobby","building east"
,,"201-800L3 LIFT LOBBY",,"level 8 - zone a","building east","201-800l3 lift lobby"
,,"201-800S3 Stair 3",,"level 8 - zone a","building east","201-800s3 stair 3"
,,"201-800S5 Stair 5",,"level 8 - zone a","201-800s5 stair 5","building east"
,,"201-801 SHWR",,"level 8 - zone a","201-801 shwr","building east"
,,"201-802 ACC",,"level 8 - zone a","201-802 acc","building east"
,,"201-803 Female",,"level 8 - zone a","building east","201-803 female"
,,"201-804 CLNR",,"level 8 - zone a","building east","201-804 clnr"
,,"201-805 Service Access",,"level 8 - zone a","building east","201-805 service access"
,,"201-806 Male",,"level 8 - zone a","building east","201-806 male"
,,"201-807 DB",,"level 8 - zone a","201-807 db","building east"
,,"201-808 Riser 3",,"level 8 - zone a","building east","201-808 riser 3"
,,"201-810 PGR",,"level 8 - zone a","201-810 pgr","building east"
,,"201-811 Office",,"level 8 - zone a","building east","201-811 office"
,,"201-812 Office",,"level 8 - zone a","building east","201-812 office"
,,"201-813 Office",,"level 8 - zone a","building east","201-813 office"
,,"201-814 Office",,"level 8 - zone a","building east","201-814 office"
,,"201-815 Office",,"level 8 - zone a","building east","201-815 office"
,,"201-816 Office",,"level 8 - zone a","building east","201-816 office"
,,"201-817 SOP",,"201-817 sop","level 8 - zone a","building east"
,,"201-817A Office",,"level 8 - zone a","building east","201-817a office"
,,"201-817B Office",,"201-817b office","level 8 - zone a","building east"
,,"201-817C Office",,"level 8 - zone a","building east","201-817c office"
,,"201-818 Office",,"level 8 - zone a","building east","201-818 office"
,,"201-819 Office",,"201-819 office","level 8 - zone a","building east"
,,"201-820 Office",,"level 8 - zone a","201-820 office","building east"
,,"201-821 Office",,"level 8 - zone a","building east","201-821 office"
,,"201-822 Office",,"201-822 office","level 8 - zone a","building east"
,,"201-823 Office",,"level 8 - zone a","building east","201-823 office"
,,"201-824 Comms",,"level 8 - zone a","201-824 comms","building east"
,,"201-826 Meeting",,"201-826 meeting","level 8 - zone a","building east"
,,"201-830 Meeting",,"level 8 - zone a","building east","201-830 meeting"
,,"201-831 PGR",,"level 8 - zone a","building east","201-831 pgr"
,,"201-832 PGR",,"level 8 - zone a","building east","201-832 pgr"
,,"201-833 Print",,"level 8 - zone a","201-833 print","building east"
,,"201-834 Breakout",,"level 8 - zone a","201-834 breakout","building east"
,,"201-835 Office",,"level 8 - zone a","building east","201-835 office"
,,"201-836 Office",,"level 8 - zone a","201-836 office","building east"
,,"201-837 Office",,"level 8 - zone a","building east","201-837 office"
,,"201-838 Office",,"201-838 office","level 8 - zone a","building east"
,,"201-839 Office",,"level 8 - zone a","building east","201-839 office"
,,"201-840 Office",,"level 8 - zone a","building east","201-840 office"
,,"201-841 Office",,"level 8 - zone a","building east","201-841 office"
,,"201-842 Office",,"level 8 - zone a","building east","201-842 office"
,,"201-843 Office",,"level 8 - zone a","building east","201-843 office"
,,"201-844 Office",,"level 8 - zone a","building east","201-844 office"
,,"201-845 Office",,"level 8 - zone a","building east","201-845 office"
,,"201-846 Office",,"201-846 office","level 8 - zone a","building east"
,,"201-847 Office",,"level 8 - zone a","building east","201-847 office"
,,"201-848 SOP",,"level 8 - zone a","building east","201-848 sop"
,,"201-848A Office",,"201-848a office","level 8 - zone a","building east"
,,"201-848B Office",,"level 8 - zone a","building east","201-848b office"
,,"201-848C Office",,"level 8 - zone a","building east","201-848c office"
,,"201-849 Office",,"level 8 - zone a","building east","201-849 office"
,,"201-851 Office",,"201-851 office","level 8 - zone a","building east"
,,"201-852 PGR",,"level 8 - zone a","building east","201-852 pgr"
,,"201-854 Riser 6",,"level 8 - zone a","201-854 riser 6","building east"
,,"201-855 ACC",,"level 8 - zone a","201-855 acc","building east"
,,"201-856 GN",,"level 8 - zone a","building east","201-856 gn"
,,"201-857 Male",,"level 8 - zone a","building east","201-857 male"
,,"201-858 Female",,"level 8 - zone a","building east","201-858 female"
,,"201-859 Service Access",,"level 8 - zone a","building east","201-859 service access"
,,"Level 9 - Zone A","grouping","level 9 - zone a","building east"
,,"201-900C1 Circulation",,"level 9 - zone a","building east","201-900c1 circulation"
,,"201-900C2 Circulation",,"level 9 - zone a","building east","201-900c2 circulation"
,,"201-900C3 Office",,"level 9 - zone a","building east","201-900c3 office"
,,"201-900C4 Circulation",,"level 9 - zone a","building east","201-900c4 circulation"
,,"201-900C5 Circulation",,"level 9 - zone a","building east","201-900c5 circulation"
,,"201-900C6 Circulation",,"level 9 - zone a","building east","201-900c6 circulation"
,,"201-900C7 Circulation",,"level 9 - zone a","building east","201-900c7 circulation"
,,"201-900E1 Lift 1",,"201-900e1 lift 1","level 9 - zone a","building east"
,,"201-900E2 Lift 2",,"level 9 - zone a","building east","201-900e2 lift 2"
,,"201-900E3 Lift 3",,"level 9 - zone a","building east","201-900e3 lift 3"
,,"201-900E4 Lift 4",,"level 9 - zone a","201-900e4 lift 4","building east"
,,"201-900E5 Lift 5",,"level 9 - zone a","building east","201-900e5 lift 5"
,,"201-900L1 Lift Lobby",,"201-900l1 lift lobby","level 9 - zone a","building east"
,,"201-900L2 Lift Lobby",,"level 9 - zone a","building east","201-900l2 lift lobby"
,,"201-900L3 Lift Lobby",,"level 9 - zone a","building east","201-900l3 lift lobby"
,,"201-900S3 Stair 3",,"level 9 - zone a","building east","201-900s3 stair 3"
,,"201-900S5 Stair 5",,"level 9 - zone a","building east","201-900s5 stair 5"
,,"201-900S7 Stair 7",,"level 9 - zone a","201-900s7 stair 7","building east"
,,"201-900S8 Stair 8",,"level 9 - zone a","building east","201-900s8 stair 8"
,,"201-901 SHWR",,"level 9 - zone a","building east","201-901 shwr"
,,"201-902 ACC",,"201-902 acc","level 9 - zone a","building east"
,,"201-903 Female",,"level 9 - zone a","building east","201-903 female"
,,"201-905 Service Access",,"level 9 - zone a","building east","201-905 service access"
,,"201-906 Male",,"level 9 - zone a","building east","201-906 male"
,,"201-908 Riser 3",,"level 9 - zone a","building east","201-908 riser 3"
,,"201-908 Riser 3",,"level 9 - zone a","building east","201-908 riser 3"
,,"201-910 PGR",,"level 9 - zone a","building east","201-910 pgr"
,,"201-911 Office",,"level 9 - zone a","building east","201-911 office"
,,"201-912 Office",,"level 9 - zone a","building east","201-912 office"
,,"201-913 Office",,"level 9 - zone a","building east","201-913 office"
,,"201-914 Office",,"level 9 - zone a","building east","201-914 office"
,,"201-915 Office",,"level 9 - zone a","building east","201-915 office"
,,"201-916 Office",,"201-916 office","level 9 - zone a","building east"
,,"201-917 SOP",,"level 9 - zone a","building east","201-917 sop"
,,"201-917A Office",,"level 9 - zone a","201-917a office","building east"
,,"201-917B Office",,"201-917b office","level 9 - zone a","building east"
,,"201-917C Office",,"level 9 - zone a","building east","201-917c office"
,,"201-918 Office",,"201-918 office","level 9 - zone a","building east"
,,"201-919 Office",,"level 9 - zone a","building east","201-919 office"
,,"201-920 Office",,"level 9 - zone a","building east","201-920 office"
,,"201-921 Office",,"201-921 office","level 9 - zone a","building east"
,,"201-922 Office",,"level 9 - zone a","building east","201-922 office"
,,"201-923 Office",,"level 9 - zone a","201-923 office","building east"
,,"201-924 Comms",,"level 9 - zone a","building east","201-924 comms"
,,"201-926 Meeting",,"201-926 meeting","level 9 - zone a","building east"
,,"201-930 Meeting",,"level 9 - zone a","building east","201-930 meeting"
,,"201-931 PGR",,"level 9 - zone a","building east","201-931 pgr"
,,"201-932 PGR",,"201-932 pgr","level 9 - zone a","building east"
,,"201-933 Print",,"level 9 - zone a","building east","201-933 print"
,,"201-934 Breakout",,"201-934 breakout","level 9 - zone a","building east"
,,"201-935 Office",,"201-935 office","level 9 - zone a","building east"
,,"201-936 Office",,"level 9 - zone a","building east","201-936 office"
,,"201-937 Office",,"level 9 - zone a","building east","201-937 office"
,,"201-938 Office",,"level 9 - zone a","building east","201-938 office"
,,"201-939 Office",,"level 9 - zone a","building east","201-939 office"
,,"201-940 Office",,"level 9 - zone a","building east","201-940 office"
,,"201-941 Office",,"level 9 - zone a","building east","201-941 office"
,,"201-942 Office",,"level 9 - zone a","building east","201-942 office"
,,"201-943 Office",,"level 9 - zone a","building east","201-943 office"
,,"201-944 Office",,"level 9 - zone a","building east","201-944 office"
,,"201-945 Office",,"201-945 office","level 9 - zone a","building east"
,,"201-946 Office",,"level 9 - zone a","building east","201-946 office"
,,"201-947 Office",,"201-947 office","level 9 - zone a","building east"
,,"201-948 SOP",,"level 9 - zone a","201-948 sop","building east"
,,"201-948A Office",,"201-948a office","level 9 - zone a","building east"
,,"201-948B Office",,"level 9 - zone a","building east","201-948b office"
,,"201-948C Office",,"201-948c office","level 9 - zone a","building east"
,,"201-949 Office",,"level 9 - zone a","201-949 office","building east"
,,"201-951 Office",,"level 9 - zone a","201-951 office","building east"
,,"201-952 PGR",,"201-952 pgr","level 9 - zone a","building east"
,,"201-954 Riser 6",,"level 9 - zone a","building east","201-954 riser 6"
,,"201-955 ACC",,"level 9 - zone a","201-955 acc","building east"
,,"201-956 GN",,"201-956 gn","level 9 - zone a","building east"
,,"201-957 Male",,"level 9 - zone a","building east","201-957 male"
,,"201-958 Female",,"level 9 - zone a","building east","201-958 female"
,,"201-959 Service Access",,"level 9 - zone a","201-959 service access","building east"
,,"Level 10 - Zone A","grouping","level 10 - zone a","building east"
,,"201-1000E1 Lift",,"level 10 - zone a","201-1000e1 lift","building east"
,,"201-1000E5 Lift Overrun",,"201-1000e5 lift overrun","level 10 - zone a","building east"
,,"201-1000L1 Plantroom",,"201-1000l1 plantroom","level 10 - zone a","building east"
