"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"127a2eda-a72f-41c7-9179-bcd0f6001424","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.23.D"
"5b634f3c-85a4-4427-adb6-a9aa627fe12e","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.24.L"
"48a899f9-21be-41b4-8b9c-9339553671d0","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.25.I"
"4a7040c9-51e1-4ec5-9920-f4ff5dc9305b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.26.D"
"3383ad1a-71d9-4ee3-bca7-4d3200dc5327","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.27.L"
"34fa2f23-30df-46c0-bd32-59fb5659835c","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.28.I"
"2a06fe9b-1a08-47de-9120-02b322b99b36","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.29.D"
"fdfd1008-a627-4ed3-9067-6c0a0ea6781b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.30.J"
"175ecbdd-80e4-4279-85c6-5ff6a9e6170d","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.31.I"
"89086714-b2cf-480b-9ef4-9db7856959fc","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.32.K"
"7d975966-a2ce-4b50-bb69-ccb496bc399d","","folder-normal","not-started","","step","TRUE","FALSE","Level 03","Townhouse South"
"ee1d2777-85ff-4a1d-a56b-a3da6d017fe3","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse South","W.03.33.N"
"7ad7f001-149e-40e8-8d52-122f9fa73ef3","","folder-normal","not-started","","step","TRUE","FALSE","Level 03","Basement"
"801d5c95-5970-43c9-8696-b5238e0ced7b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Basement","W.03.26.C"
"a9da402e-1a0b-4b56-9ab6-ebd1bb54ba62","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Basement","W.03.26.E"
"82cded03-83f3-41eb-bd4c-f99f99d80f7b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Basement","W.03.27.C"
"1967294f-28ae-4305-8d95-673ec888c3a0","","folder-normal","not-started","","step","TRUE","FALSE","Level 04"
"0332e82c-8bd0-4d5c-9500-cf54889a5741","","folder-normal","not-started","","step","TRUE","FALSE","Level 04","West Tower"
"6cb95075-cf54-4c70-af20-43c0fca86390","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.01.1"
"bb0ef5d8-d975-447e-96a4-291442c3d1d9","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.02.2A"
"5dbaad08-75f9-4ede-b20e-f5814ebef0a5","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.03.3"
"64e2c8f3-6fcb-4145-ab6b-7144c0b75f65","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.04.17"
"00865be3-c99b-4bc8-a9e7-5f79549d6837","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.12.8"
"654c1926-0997-42da-86e0-ef224ab94a02","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.13.9"
"880a53ea-dda4-4120-8fac-dcf2022bf52f","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.14.10"
"2aeb1c28-6ef1-4d89-99b2-484257faf64a","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.15.17"
"2d7cfd96-ba3b-41d8-9f82-63096b61ddd5","","folder-normal","not-started","","step","TRUE","FALSE","Level 04","East Tower"
"a14f5e91-149d-429d-8c40-b3b69fc7eae7","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","East Tower","W.04.05.4"
"9cb703c2-d046-473a-b632-3bb78a45d83c","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","East Tower","W.04.06.2B"
"341e1381-9030-4509-b72b-4ac71216464a","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","East Tower","W.04.07.5"
"bda65c04-9737-4fb8-aa65-7dc2d092f2de","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","East Tower","W.04.09.16"
"5c1a1922-a2a8-49cf-a686-2e239822a65c","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","East Tower","W.04.10.6"
"003874ac-e49c-4f98-b68d-bcdbae2148aa","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","East Tower","W.04.11.7"
"1d1b1f63-d05e-452e-b9b7-a65572a8df37","","folder-normal","not-started","","step","TRUE","FALSE","Level 04","Townhouse"
