"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ecd2c4c8-348f-4cec-ad3a-7abf2d9c9582","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","South/East Section","7.3.1 - Pilaster - P2x1 - Precast - Precast Installation"
"0a4fd97a-4b07-4cb2-a032-75a8e27bd5ed","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","South/East Section","7.3.2 - Wall Panels - W1x4, W4x1 - Precast - Precast Installation"
"f54c92bd-1eb2-4321-871f-d0df53542960","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","South/East Section","7.3.3 - Insitu Joins x6 - Precast Installation"
"8b54cb1c-e320-4c51-9c92-780bf35185b0","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","South/East Section","7.4.1 - Pilaster - P1x1 -Precast - Precast Installation"
"987eb935-6533-4f5e-8709-f70ccca68b22","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","South/East Section","7.4.2 - Wall Panels - W1x5 - Precast - Precast Installation"
"682f024a-402f-4f23-bab9-4a07b2048f87","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","South/East Section","7.4.3 - Insitu Joins x6 - Precast Installation"
"e1874525-ab7f-4449-af89-e8a84556cff6","","work-in-progress","","folder","TRUE","FALSE","Walls","Column"
"d69a3021-43f8-4f46-a06d-f20b56475fee","","work-in-progress","FHIMS-QA-6006-ITP-Insitu Concrete","checklist","FALSE","FALSE","Walls","Column","7.5.1 - Column - Insitu - Insitu Concrete"
"67fbb132-38a7-4898-bf76-c5bbc1167f16","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","Column","7.5.2 - Capital - Precast - Precast Installation"
"7328bcb8-56a3-46cf-8c84-fcb39a0d2b79","","not-started","","folder","TRUE","FALSE","Walls","Post-Tensioning"
"dbd99898-9f55-455b-91a6-4b231e122846","","not-started","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Walls","Post-Tensioning","7.6.1 - Post Tensioning - Compliance Record"
"72f3ba14-c138-4b45-a843-c4615b85e3a4","","work-in-progress","","folder","TRUE","FALSE","Walls","End Beams"
"693812e9-4cf1-4844-89ab-7498a9c511ec","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","End Beams","7.7.1 - End Beams x12 - Precast Installation"
"798c3543-b2eb-43a8-a062-84f674bfa7d5","","not-started","","folder","TRUE","FALSE","Roof"
"fedb3fca-1d7b-4bc5-88fc-0b387d248421","","not-started","","folder","TRUE","FALSE","Roof","Tee Beams"
"13cae9e4-34b6-4432-8c6b-56c3f1189e1f","","not-started","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Roof","Tee Beams","8.1.1 - Tee Beams x47 - Precast - Precast Installation"
"cba31323-af3b-46a7-81dc-41752d4c00a1","","not-started","","folder","TRUE","FALSE","Roof","Insitu Capital"
"3ff742e0-ca4a-4739-9186-049aba3fddac","","not-started","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Roof","Insitu Capital","8.2.1 - Insitu Capital - Precast Installation"
"9ab248d5-5426-4d19-bd3b-128e6bbc0c02","","not-started","","folder","TRUE","FALSE","Roof","Topping Slab"
"0b61d89c-13e4-49fe-af69-72d7a2970eb8","","not-started","FHIMS-QA-6006-ITP-Insitu Concrete","checklist","FALSE","FALSE","Roof","Topping Slab","8.3.1 - Pour 1 - Insitu Concrete"
"f28c931b-e1b0-4014-a9b1-73f5b8d7f843","","not-started","FHIMS-QA-6006-ITP-Insitu Concrete","checklist","FALSE","FALSE","Roof","Topping Slab","8.3.2 - Pour 2 - Insitu Concrete"
"4b1583b9-83ae-4c7c-80e5-6cee154b8dfe","","not-started","","folder","TRUE","FALSE","Roof","Openings"
"343c32ce-0289-4bd9-bb7f-ecb25acae25e","","not-started","FHIMS-QA-6006-ITP-Insitu Concrete","checklist","FALSE","FALSE","Roof","Openings","8.4.1 - Construction Access Nib - Insitu Concrete"
"4789b6a4-4cc7-4425-a64a-3a68c10435a3","","not-started","FHIMS-QA-6006-ITP-Insitu Concrete","checklist","FALSE","FALSE","Roof","Openings","8.4.2 - Access Hatch Nib - Insitu Concrete"
"618cb983-79cc-4af0-93e5-eb40095419d7","","not-started","","folder","TRUE","FALSE","M&E Fitout"
"2e37cb63-af4a-41d5-bdcf-f0bbe57a8704","","not-started","","folder","TRUE","FALSE","M&E Fitout","Steel Fabrication"
"5146d4c9-0c36-43bd-8f68-3cacbf75b388","","not-started","FHIMS-QA-6038-ITP-Steel Fabrication & Painting","checklist","FALSE","FALSE","M&E Fitout","Steel Fabrication","9.1.1 - Air Vents - Mechanical Installation"
"2b354c08-29da-49a2-ab0c-b7a3fca489de","","not-started","FHIMS-QA-6038-ITP-Steel Fabrication & Painting","checklist","FALSE","FALSE","M&E Fitout","Steel Fabrication","9.1.2 - External Staircase - Mechanical Installation"
"0692b24d-9659-4470-9dd0-f800fef45079","","not-started","FHIMS-QA-6038-ITP-Steel Fabrication & Painting","checklist","FALSE","FALSE","M&E Fitout","Steel Fabrication","9.1.3 - Internal Ladder - Mechanical Installation"
"f25d5e44-605c-4ee4-ba00-455c30e231b0","","not-started","FHIMS-QA-6038-ITP-Steel Fabrication & Painting","checklist","FALSE","FALSE","M&E Fitout","Steel Fabrication","9.1.4 - Hatches - Mechanical Installation"
"8b530fd0-74ba-4dbc-a859-3b8323f2d187","","not-started","FHIMS-QA-6038-ITP-Steel Fabrication & Painting","checklist","FALSE","FALSE","M&E Fitout","Steel Fabrication","9.1.5 - Valve Chamber Lid & Stairs - Mechanical Installation"
"5e89aded-37d9-42b1-a72a-4b2da4a24393","","not-started","","folder","TRUE","FALSE","Pavement"
"d42eff8a-aae9-4295-a806-bbc22ccb0f32","","not-started","","folder","TRUE","FALSE","Pavement","Pavement"
"72934337-654f-44ba-b735-a0f7d0103baf","","not-started","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Pavement","Pavement","10.1.1 - Subgrade - Compliance Record"
"f0e1d05e-e321-4e77-a59b-f95963490e57","","not-started","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Pavement","Pavement","10.1.2 - Kerb & Channel - Compliance Record"
"259d9acf-f62a-41a7-8c63-30b3ecd26546","","not-started","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Pavement","Pavement","10.1.3 - Pavement Construction - sub-base, basecourse & surfacing - Compliance Record"
"533017d1-43d1-4cf6-b401-63f943cefdb0","","not-started","","folder","TRUE","FALSE","Landscaping"
"fb2900c9-62a2-4261-9173-87aa54208b1c","","not-started","","folder","TRUE","FALSE","Landscaping","Planting"
"16b23306-961d-4e0d-951e-f3ead0839c0c","","not-started","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Landscaping","Planting","11.1.1 - Planting Tress & Shrubs - Compliance Record"
"115deaec-2eb7-4bff-805e-60ae19ba629a","","not-started","","folder","TRUE","FALSE","Landscaping","Fencing"
"2134c1e4-a335-4e73-a582-cb7ec61468c5","","not-started","FHIMS-QA-6038-ITP-Steel Fabrication & Painting","checklist","FALSE","FALSE","Landscaping","Fencing","11.2.1 - Farm Fencing - Mechanical Installation"
"9ce6cccd-3048-4699-b52a-950c52c7069a","","not-started","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Landscaping","Fencing","11.2.2 - Security Fencing & Gate - Compliance Record"
"9cde4b47-cb6e-456f-99bb-6b35cf47a07a","","not-started","","folder","TRUE","FALSE","Landscaping","Structural"
"2bd3e070-a129-4009-8d4b-e08cae895374","","not-started","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Landscaping","Structural","11.3.1 - Access Stairway & Landscape Wall - Compliance Record"
"75658421-ea0e-48a0-9f0e-44b4e67d9afe","","not-started","","folder","TRUE","FALSE","Commissioning"
"56985f0f-423d-494d-8a92-ece0b85b23ee","","not-started","","folder","TRUE","FALSE","Commissioning","Electrical"
"315c8893-1d30-4b59-ada5-39921baa9d82","","not-started","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Commissioning","Electrical","12.1.1 - Electrical fitout (by others) - Compliance Record"
"dae173f7-87b6-45b1-bb41-3737d58bfff1","","not-started","","folder","TRUE","FALSE","Commissioning","Leak Testing"
"35941262-79fa-48c6-a536-ec6e2e7fd3e3","","not-started","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Commissioning","Leak Testing","12.2.1 - Roof Leak Test - Compliance Record"
"de5f1534-e4b8-42d8-8200-77183f2465d2","","not-started","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Commissioning","Leak Testing","12.2.2 - Reservoir Leak Test - Compliance Record"
"8255d78a-6ff8-4a46-839c-b7b42eabbe4e","","not-started","","folder","TRUE","FALSE","Commissioning","Disinfection"
"b29c7bed-0bd4-4220-88f6-2e4edc7e6ebf","","not-started","FHIMS-QA-6000-ITP-Compliance Record","checklist","FALSE","FALSE","Commissioning","Disinfection","12.3.1 - Clean, Disinfect, Neutralise & Final Fill - Compliance Record"
